kapt_code,area_group_id,exclusive_area_sqm,supply_area_sqm,type_name,households,source,verified_at,valid_from,valid_to,verification_status,scope,notes
A60275104,exclusive_59_34,59.34,75.61,22평,244,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5905,2026-09-18,,,verified,sale_apartment,
A60275104,exclusive_84_96,84.96,108.25,32평,228,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5905,2026-09-18,,,verified,sale_apartment,
A60275104,exclusive_119_37,119.37,152.1,46평,92,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5905,2026-09-18,,,verified,sale_apartment,
A60270501,exclusive_60,60.0,76.34,23평,202,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=12874,2026-09-18,,,verified,sale_apartment,
A60270501,exclusive_85,85.0,102.83,31평,299,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=12874,2026-09-18,,,verified,sale_apartment,
A60270501,exclusive_117_59,117.59,135.6,41평,112,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=12874,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_59_62,59.62,79.47,24평B,89,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_59_98,59.98,79.74,24평A,33,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_59_95,59.95,79.85,24평C,87,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_59_99,59.99,79.87,24평E,87,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_59_97,59.97,79.99,24평F,27,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_59_94,59.94,80.17,24평D,184,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_84_38,84.38,111.14,33평A,144,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_84_84,84.84,111.55,33평E,57,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_84_8,84.8,111.68,33평D,86,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_84_92,84.92,111.87,33평B,115,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_84_92_33평C,84.92,111.98,33평C,327,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_99_93,99.93,131.83,39평,63,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_110_14,110.14,146.65,44평,1,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_115_97,115.97,153.55,46평,2,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10023790,exclusive_84_86,84.86,119.46,36평B,216,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,2026-09-18,,,verified,sale_apartment,
A10023790,exclusive_84_51,84.51,119.88,36평A,216,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,2026-09-18,,,verified,sale_apartment,
A10023790,exclusive_92_75,92.75,131.82,39평C,162,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,2026-09-18,,,verified,sale_apartment,
A10023790,exclusive_92_9,92.9,131.85,39평D,162,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,2026-09-18,,,verified,sale_apartment,
A10023790,exclusive_105_47,105.47,149.04,45평F,126,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,2026-09-18,,,verified,sale_apartment,
A10023790,exclusive_105_53,105.53,149.33,45평E,126,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,2026-09-18,,,verified,sale_apartment,
A10023790,exclusive_116_55,116.55,164.4,49평G,126,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,2026-09-18,,,verified,sale_apartment,
A10023790,exclusive_116_12,116.12,164.44,49평H,108,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,2026-09-18,,,verified,sale_apartment,
A10023790,exclusive_138_86,138.86,195.19,59평I,126,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,2026-09-18,,,verified,sale_apartment,
A10024998,exclusive_72_71,72.71,98.89,29평,214,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33795,2026-09-18,,,verified,sale_apartment,
A10024998,exclusive_73_9,73.9,100.91,30평,214,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33795,2026-09-18,,,verified,sale_apartment,
A10024998,exclusive_84_94,84.94,115.36,34평B,214,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33795,2026-09-18,,,verified,sale_apartment,
A10024998,exclusive_84_96,84.96,116.54,35평A,214,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33795,2026-09-18,,,verified,sale_apartment,
A10025359,exclusive_69_48,69.48,102.34,30평A,70,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,2026-09-18,,,verified,sale_apartment,
A10025359,exclusive_69_93,69.93,102.92,31평C,105,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,2026-09-18,,,verified,sale_apartment,
A10025359,exclusive_69_73,69.73,103.69,31평B,70,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,2026-09-18,,,verified,sale_apartment,
A10025359,exclusive_84_68,84.68,123.91,37평A,350,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,2026-09-18,,,verified,sale_apartment,
A10025359,exclusive_84_7,84.7,124.5,37평C,87,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,2026-09-18,,,verified,sale_apartment,
A10025359,exclusive_84_87,84.87,125.13,37평B,70,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,2026-09-18,,,verified,sale_apartment,
A10025380,exclusive_59_66,59.66,85.74,25평,263,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,2026-09-18,,,verified,sale_apartment,
A10025380,exclusive_69_21,69.21,99.43,30평B,43,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,2026-09-18,,,verified,sale_apartment,
A10025380,exclusive_69_51,69.51,100.1,30평A,350,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,2026-09-18,,,verified,sale_apartment,
A10025380,exclusive_82_87,82.87,118.41,35평,132,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_59_87,59.87,87.3,26평,392,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_75_55,75.55,108.8,32평C,293,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_75_64,75.64,108.98,32평A,490,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_75_67,75.67,109.05,32평B,188,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_84_63,84.63,119.92,36평A,390,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_84_9,84.9,121.78,36평B,287,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
