kapt_code,area_group_id,exclusive_area_sqm,households,exclusive_area_decimal
A60809004,exclusive_59_97,59.97,92,59.97
A60809004,exclusive_59_99,59.99,276,59.99
A60809004,exclusive_60,60,92,60
A60809004,exclusive_63_238,63.238,138,63.238
A60809004,exclusive_69_72,69.72,92,69.72
A60809004,exclusive_70_918,70.918,92,70.918
A60809004,exclusive_84_888,84.888,712,84.888
A60809004,exclusive_84_98,84.98,1078,84.98
A60809004,exclusive_85,85,614,85
A60809004,exclusive_102_52,102.52,538,102.52
A60809004,exclusive_103_528,103.528,336,103.528
A60809004,exclusive_119_25,119.25,436,119.25
A60809004,exclusive_125_4,125.4,200,125.4
A60809004,exclusive_126_638,126.638,828,126.638
A60809004,exclusive_144_48,144.48,590,144.48
A60809004,exclusive_145_918,145.918,341,145.918
A60809004,exclusive_164_76,164.76,196,164.76
A60809004,exclusive_166_578,166.578,198,166.578
A60809004,exclusive_188_08,188.08,144,188.08
A60809004,exclusive_196_84,196.84,49,196.84
A60809004,exclusive_196_858,196.858,147,196.858
A60809004,exclusive_243_35,243.35,138,243.35
A60809004,exclusive_244_849,244.849,47,244.849
