month,kapt_code,complex_name,sigungu,dong,households,confirmed_households,priced_households,household_coverage,price_coverage,share_3m,share_6m,share_12m,market_cap_krw,partial_cap_krw,per_household_krw,market_cap_1m_krw,small_sample_1m,grade,reason,composition_hash,method_signature,historical_limit,initial_history_short,input_hash,rules_hash,master_hash,run_id,executed_at,kapt_name,bjd_code,sido,sigungu_kapt,eupmyeondong,as4,legal_address,sale_type,codeHeatNm,kaptTarea,kaptDongCnt,total_households,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,road_address,codeMgrNm,codeHallNm,approval_date,kaptFax,ho_households,kaptMarea,kapt_mparea_60,kapt_mparea_85,kapt_mparea_135,kapt_mparea_136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
2026-08,A10024328,동대신역비스타동원아파트,서구,동대신동1가,503.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형별 세대수 보완 필요,c38eb7731a2edbf2c405dc922468ded84aa651100a03e86668e60fb8b6b0b8e7,[],현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,5fb6c1e071a73763f6eb52e67a11f05f6d609819ae4f39c925745faf40f5b4fd,8b30a9aec44c70f7b04a7800,2026-09-17T13:53:18.573481+09:00,동대신역비스타동원아파트,2614010100,부산광역시,서구,동대신동1가,,부산광역시 서구 동대신동1가 24 동대신역비스타동원아파트,분양,개별난방,71907.68,6,503.0,(주)동원개발,동대신2구역주택재개발조합,0512545558, ,아파트,부산광역시 서구 보수대로154번길 29,위탁관리,혼합식,20210330,0512545559,503,48834.004,212.0,291.0,0.0,0.0,35045.5856,29,29,3,15,49220,위탁관리,5,(주)아주관리,위탁관리,3,(주)에스케이쉴더스,위탁관리,5,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,3050,종합계약,상주선임,GR형,부스타방식,위탁관리,15,0,558,유,208,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5분이내,,,0,12,Y
2026-08,A10024875,동대신동 브라운스톤하이포레아파트,서구,동대신동3가,554.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인,c38eb7731a2edbf2c405dc922468ded84aa651100a03e86668e60fb8b6b0b8e7,[],현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,5fb6c1e071a73763f6eb52e67a11f05f6d609819ae4f39c925745faf40f5b4fd,8b30a9aec44c70f7b04a7800,2026-09-17T13:53:18.573481+09:00,동대신동 브라운스톤하이포레아파트,2614010300,부산광역시,서구,동대신동3가,,부산광역시 서구 동대신동3가 63-2 동대신동 브라운스톤하이포레아파트,혼합,개별난방,82203.45,6,554.0,이수건설,동대신1구역주택재개발정비사업조합,0512572920,https://v2admin.aptner.com/,아파트,부산광역시 서구 동대로19번길 32,위탁관리,계단식,20200922,0512572921,554,56614.21,79.0,475.0,0.0,0.0,42489.85,27,27,2,13,49201,위탁관리,5,부경공영(주),위탁관리,4,주식회사 에스원,위탁관리,6,음식물쓰레기종량제,위탁관리,5,분무식,철근콘크리트구조,3950,단일계약,상주선임,R형,부스타방식,위탁관리,13,0,592,유,203,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,1호선,,10~15분이내,관공서(서구청) 병원(동아대학교병원) 공원(대신공원),초등학교(구덕초) 중학교(대신중) 고등학교(경남고) 대학교(동아대),0,12,Y
2026-08,A10026034,대신푸르지오아파트,서구,서대신동1가,959.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인,c38eb7731a2edbf2c405dc922468ded84aa651100a03e86668e60fb8b6b0b8e7,[],현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,5fb6c1e071a73763f6eb52e67a11f05f6d609819ae4f39c925745faf40f5b4fd,8b30a9aec44c70f7b04a7800,2026-09-17T13:53:18.573481+09:00,대신푸르지오아파트,2614010400,부산광역시,서구,서대신동1가,,부산광역시 서구 서대신동1가 212 대신푸르지오아파트,혼합,개별난방,154017.0,8,959.0,대우건설,서대신7구역주택재개발정비사업조합,0512578652, ,아파트,부산광역시 서구 대영로38번길 11,위탁관리,혼합식,20180427,0512578653,959,79714.19,139.0,638.0,182.0,0.0,79714.1912,34,34,3,19,49232,위탁관리,9,(주)하나종합관리,위탁관리,6,(주)에스원,위탁관리,10,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,5500,단일계약,상주선임,R형,부스타방식,위탁관리,22,0,1154,유,275,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,1호선,,5~10분이내,"관공서(서구청,서부산세무서,서부경찰서) 병원(동아대병원,삼육병원) 공원(대신공원)","초등학교(부민초등학교) 중학교(중앙여중,대신중학교) 고등학교(부경고등학교) 대학교(동아대학교)",0,24,Y
2026-08,A10023704,대신해모로센트럴아파트,서구,서대신동2가,733.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인,c38eb7731a2edbf2c405dc922468ded84aa651100a03e86668e60fb8b6b0b8e7,[],현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,5fb6c1e071a73763f6eb52e67a11f05f6d609819ae4f39c925745faf40f5b4fd,8b30a9aec44c70f7b04a7800,2026-09-17T13:53:18.573481+09:00,대신해모로센트럴아파트,2614010500,부산광역시,서구,서대신동2가,,부산광역시 서구 서대신동2가 394-7 대신해모로센트럴아파트,혼합,개별난방,113336.01,8,733.0,HJ중공업 건설,서대신5구역주택재개발 정비사업조합,0512436011, ,아파트,부산광역시 서구 대티로 178,위탁관리,복도식,20220729,0512436013,733,74664.12,243.0,433.0,57.0,0.0,55745.7195,29,29,6,24,49230,위탁관리,7,(주)듀델코리아,위탁관리,5,(주)에스원,위탁관리,9,음식물쓰레기종량제,위탁관리,3,분무식,철골철근콘크리트구조,3050,단일계약,상주선임,R형,고가수조식,위탁관리,24,0,800,유,311,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5분이내,"관공서(서부산세무서, 서부경찰서) 병원(삼육부산병원, 동아대학교병원, 부산대학교병원) 백화점(롯데백화점) 대형상가(탑마트, 롯데마트) 공원(대신공원, 중앙공원, 부산민주공원)","초등학교(대신초등학교, 동신초등학교) 중학교(부산대신중학교, 부산중앙여자중학교, 부산여자중학교) 고등학교(부경고등학교, 경성전자고등학교, 부산서여자고등학교, 경남고등학교) 대학교(동아대학교)",0,40,Y
2026-08,A10024535,대신2차푸르지오,서구,서대신동2가,815.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형별 세대수 보완 필요,c38eb7731a2edbf2c405dc922468ded84aa651100a03e86668e60fb8b6b0b8e7,[],현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,5fb6c1e071a73763f6eb52e67a11f05f6d609819ae4f39c925745faf40f5b4fd,8b30a9aec44c70f7b04a7800,2026-09-17T13:53:18.573481+09:00,대신2차푸르지오,2614010500,부산광역시,서구,서대신동2가,,부산광역시 서구 서대신동2가 414-1 대신2차푸르지오,분양,개별난방,123548.06,7,815.0,(주)대우건설,서대신6구역주택재개발정비사업조합,0512430815, ,아파트,부산광역시 서구 고운들로 181,위탁관리,계단식,20210122,0512430816,815,87988.89,146.0,489.0,180.0,0.0,65395.6975,31,31,3,19,49229,위탁관리,7,(주)대우에스티,위탁관리,4,남부건업(주),위탁관리,9,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,3150,단일계약,상주선임,R형,부스타방식,위탁관리,19,0,944,유,149,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5분이내,관공서() 병원() 백화점() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,19,Y
2026-08,A10028182,대신롯데캐슬아파트,서구,서대신동3가,753.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형별 세대수 보완 필요,c38eb7731a2edbf2c405dc922468ded84aa651100a03e86668e60fb8b6b0b8e7,[],현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,5fb6c1e071a73763f6eb52e67a11f05f6d609819ae4f39c925745faf40f5b4fd,8b30a9aec44c70f7b04a7800,2026-09-17T13:53:18.573481+09:00,대신롯데캐슬아파트,2614010600,부산광역시,서구,서대신동3가,,부산광역시 서구 서대신동3가 650 대신롯데캐슬아파트,분양,개별난방,119013.62,10,753.0,(주)롯데건설,서대신1구역 주택재개발 정비사업,0512449002, ,아파트,부산광역시 서구 대티로 161,위탁관리,계단식,20141030,0512449008,753,83758.086,204.0,388.0,161.0,0.0,63135.2395,22,22,4,23,49208,위탁관리,6,(주)주우관리,위탁관리,0,,위탁관리,8,음식물쓰레기종량제,위탁관리,6,분무식,철골철근콘크리트구조,5000,단일계약,상주선임,R형,부스타방식,위탁관리,23,0,888,유,247,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5분이내,"관공서(서대신3동 주민센터, 서부산세무서, 서부경찰서) 병원(삼육병원, 동아대병원) 대형상가(서원유통, 서대신동 시장) 공원(체육공원)","초등학교(대신초등학교) 중학교(부산대신중학교) 고등학교(부경고등학교, 경성전자고등학교) 대학교(동아대학교 부민캠퍼스)",0,18,Y
2026-08,A60275104,남성한빛아파트,서구,서대신동3가,564.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형별 세대수 보완 필요,c38eb7731a2edbf2c405dc922468ded84aa651100a03e86668e60fb8b6b0b8e7,[],현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,5fb6c1e071a73763f6eb52e67a11f05f6d609819ae4f39c925745faf40f5b4fd,8b30a9aec44c70f7b04a7800,2026-09-17T13:53:18.573481+09:00,남성한빛아파트,2614010600,부산광역시,서구,서대신동3가,,부산광역시 서구 서대신동3가 161-13 남성한빛아파트,분양,개별난방,68401.62,2,564.0,남성건설,남성건설,0512462806, ,아파트,부산광역시 서구 꽃마을로 43,위탁관리,혼합식,19961010,0512543934,564,59280.2,244.0,228.0,92.0,0.0,44831.88,23,23,2,11,49207,위탁관리,5,(주)명건,위탁관리,6,범양기업,위탁관리,5,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,1600,종합계약,상주선임,P형,고가수조식,위탁관리,11,119,342,무,64,"관리사무소, 노인정, 어린이놀이터, 기타",5~10분이내,1호선,,10~15분이내,"관공서(서부교육청,서구청,서부산세무서) 병원(위생병원) 대형상가(LG하이프라자) 공원(꽃마을공원) 기타(구덕운동장)",초등학교(대신초등교) 중학교(중앙여중교) 고등학교(경성전자정보고등학교),0,9,Y
2026-08,A60270501,부민e-편한세상아파트,서구,부민동3가,613.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형별 세대수 보완 필요,c38eb7731a2edbf2c405dc922468ded84aa651100a03e86668e60fb8b6b0b8e7,[],현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,5fb6c1e071a73763f6eb52e67a11f05f6d609819ae4f39c925745faf40f5b4fd,8b30a9aec44c70f7b04a7800,2026-09-17T13:53:18.573481+09:00,부민e-편한세상아파트,2614011100,부산광역시,서구,부민동3가,,부산광역시 서구 부민동3가 76 부민e-편한세상아파트,분양,개별난방,81507.0,8,613.0,대림산업,부민동주택재개발조합,0512551603, ,아파트,부산광역시 서구 해돋이로 313,위탁관리,계단식,20040916,07082601605,613,61357.04,202.0,299.0,112.0,0.0,50705.304,20,20,5,18,49239,위탁관리,5,(주)디이씨오,위탁관리,8,(주)디이씨오,위탁관리,5,음식물쓰레기종량제,위탁관리,5,분무식,철근콘크리트구조,1950,단일계약,상주선임,R형,부스타방식,위탁관리,18,106,504,무,142,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 기타",5~10분이내,1호선,,5~10분이내,"관공서(부민동주민센터, 서구청) 병원(부산대학교병원) 백화점(롯대백화점) 기타(임시수도기념관)","초등학교(부민초등학교, 토성초등학교) 중학교(경남중학교) 대학교(동아대학교 부민캠퍼스)",0,13,Y
2026-08,A10022985,경동포레스트힐 행복주택 아미,서구,아미동2가,767.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인,c38eb7731a2edbf2c405dc922468ded84aa651100a03e86668e60fb8b6b0b8e7,[],현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,5fb6c1e071a73763f6eb52e67a11f05f6d609819ae4f39c925745faf40f5b4fd,8b30a9aec44c70f7b04a7800,2026-09-17T13:53:18.573481+09:00,경동포레스트힐 행복주택 아미,2614011600,부산광역시,서구,아미동2가,,부산광역시 서구 아미동2가 286 경동포레스트힐 행복주택 아미,임대,개별난방,69189.305,4,767.0,경동건설,부산도시공사,0519310701, ,아파트,부산광역시 서구 까치고개로130번길 11-4,위탁관리,복도식,20230901,0519310702,767,67293.36,767.0,0.0,0.0,0.0,30275.473,20,20,0,13,49242,위탁관리,7,(주)에이치엠 우성,위탁관리,0,,위탁관리,5,음식물쓰레기종량제,,,,,,,,,,위탁관리,13,,,유,,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,1호선,,15~20분이내,병원(),,0,0,Y
2026-08,A60275201,남부민풀리페,서구,남부민동,782.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인,c38eb7731a2edbf2c405dc922468ded84aa651100a03e86668e60fb8b6b0b8e7,[],현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,5fb6c1e071a73763f6eb52e67a11f05f6d609819ae4f39c925745faf40f5b4fd,8b30a9aec44c70f7b04a7800,2026-09-17T13:53:18.573481+09:00,남부민풀리페,2614012300,부산광역시,서구,남부민동,,부산광역시 서구 남부민동 706 남부민풀리페,임대,개별난방,73925.6,6,782.0,코오롱건설외 4개 콘소시움,부산도시공사,0512577011,www.apthome.co.kr/2129,아파트,부산광역시 서구 해돋이로 23,위탁관리,혼합식,20130625,0512577013,783,73139.086,782.0,0.0,0.0,0.0,41107.88,24,24,0,21,49265,위탁관리,8,(주)명가종합관리,위탁관리,6,주식회사 삼성보안공사,위탁관리,7,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,2300,단일계약,상주선임,R형,부스타방식,위탁관리,21,197,434,무,101,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,1호선,,15~20분이내,관공서(남부민2동사무소) 병원(송가정의원) 대형상가(삼성디지털프라자),"초등학교(천마초등학교) 중학교(송도중학교) 고등학교(부산정보디자인고, 부산맹아학교)",0,42,Y
