kapt_code,kapt_name,legal_dong,kapt_address,kapt_households,kb_complex_id,kb_name,kb_address,kb_households,kb_url,match_score,match_confidence,match_method,verified_at
A10024535,대신2차푸르지오,서대신동2가,부산광역시 서구 서대신동2가 414-1 대신2차푸르지오,815.0,38311,대신2차푸르지오,,,https://kbland.kr/map?complex=38311,,high,playwright_search,2026-09-18T10:29:10.354288
A10028182,대신롯데캐슬아파트,서대신동3가,부산광역시 서구 서대신동3가 650 대신롯데캐슬아파트,753.0,26187,대신롯데캐슬,,,https://kbland.kr/map?complex=26187,,high,playwright_search,2026-09-18T10:29:12.588334
A60275104,남성한빛아파트,서대신동3가,부산광역시 서구 서대신동3가 161-13 남성한빛아파트,564.0,5905,남성한빛가든,,,https://kbland.kr/map?complex=5905,,high,playwright_search,2026-09-18T10:29:14.811191
A60270501,부민e-편한세상아파트,부민동3가,부산광역시 서구 부민동3가 76 부민e-편한세상아파트,613.0,12874,부민e-편한세상,,,https://kbland.kr/map?complex=12874,,high,playwright_search,2026-09-18T10:29:16.994203
A10022434,e편한세상 송도 더퍼스트비치,암남동,부산광역시 서구 암남동 419- e편한세상 송도 더퍼스트비치,1302.0,1097603,e편한세상송도더퍼스트비치,,,https://kbland.kr/map?complex=1097603,,high,playwright_search,2026-09-18T10:29:23.220800
A10023790,힐스테이트이진베이시티,암남동,부산광역시 서구 암남동 123-15 힐스테이트이진베이시티,1368.0,39443,힐스테이트이진베이시티,,,https://kbland.kr/map?complex=39443,,high,playwright_search,2026-09-18T10:29:25.440587
A10024998,범양레우스 센트럴베이,초량동,부산광역시 동구 초량동 1224 범양레우스 센트럴베이,856.0,33795,범양레우스센트럴베이,,,https://kbland.kr/map?complex=33795,,high,playwright_search,2026-09-18T10:29:27.624944
A10025359,e편한세상부산항,초량동,부산광역시 동구 초량동 1218 e편한세상부산항,752.0,33044,e편한세상부산항,,,https://kbland.kr/map?complex=33044,,high,playwright_search,2026-09-18T10:29:29.848423
A10025380,협성휴포레부산진역오션뷰아파트,수정동,부산광역시 동구 수정동 1352 협성휴포레부산진역오션뷰아파트,788.0,31737,협성휴포레부산진역오션뷰,,,https://kbland.kr/map?complex=31737,,high,playwright_search,2026-09-18T10:29:32.038257
A10023963,부산항일동미라주더오션아파트,좌천동,부산광역시 동구 좌천동 120 부산항일동미라주더오션아파트,546.0,43695,부산항일동미라주더오션1지구,,,,,medium,playwright_search,2026-09-18T10:29:38.416251
