kapt_code,complex_name,sigungu,dong,households,eligible_households,confirmed_households,priced_households,valuation_scope,market_cap_krw,partial_cap_krw,per_household_krw,status,release_status,reason,rank,district_rank,adjusted_market_cap_krw,estimated_households,adjusted_status,adjusted_scope,adjustment_source
A60809004,LG메트로시티아파트,남구,용호동,7374.0,7374.0,7374.0,7374.0,전체 분양 주거 세대,4513089990000.0,4513089990000.0,612027392.1887714,산정 완료,VERIFIED_MASTER,,1.0,1.0,4513089990000.0,0,산정 완료,전체 분양 주거 세대,
A61271204,더샵센텀파크1차,해운대구,재송동,2752.0,2752.0,2752.0,2752.0,전체 분양 주거 세대,4222920000000.0,4222920000000.0,1534491279.0697675,산정 완료,VERIFIED_MASTER,,2.0,1.0,4222920000000.0,0,산정 완료,전체 분양 주거 세대,
A61673308,화명롯데캐슬카이저,북구,화명동,5239.0,5239.0,5239.0,5239.0,전체 분양 주거 세대,3912335000000.0,3912335000000.0,746771330.4065661,산정 완료,VERIFIED_MASTER,,3.0,1.0,3912335000000.0,0,산정 완료,전체 분양 주거 세대,
A61301003,삼익비치아파트,수영구,남천동,3060.0,3060.0,3060.0,3060.0,전체 분양 주거 세대,3816990000000.0,3816990000000.0,1247382352.9411764,산정 완료,VERIFIED_MASTER,,4.0,1.0,3816990000000.0,0,산정 완료,전체 분양 주거 세대,
A61202007,해운대두산위브더제니스,해운대구,우동,1788.0,1788.0,1788.0,1788.0,전체 분양 주거 세대,3466845000000.0,3466845000000.0,1938951342.2818792,산정 완료,VERIFIED_MASTER,,5.0,2.0,3466845000000.0,0,산정 완료,전체 분양 주거 세대,
A61274013,해운대아이파크,해운대구,우동,1631.0,1631.0,1631.0,1631.0,전체 분양 주거 세대,2998627390000.0,2998627390000.0,1838520778.6633966,산정 완료,VERIFIED_MASTER,,6.0,3.0,2998627390000.0,0,산정 완료,전체 분양 주거 세대,
A10025181,해운대 LCT 더샵아파트,해운대구,중동,882.0,882.0,882.0,882.0,전체 분양 주거 세대,2971327080000.0,2971327080000.0,3368851564.62585,산정 완료,VERIFIED_MASTER,,7.0,4.0,2971327080000.0,0,산정 완료,전체 분양 주거 세대,
A10026452,대연롯데캐슬레전드,남구,대연동,3149.0,3149.0,3149.0,3149.0,전체 분양 주거 세대,2339145000000.0,2339145000000.0,742821530.6446491,산정 완료,VERIFIED_MASTER,,8.0,2.0,2339145000000.0,0,산정 완료,전체 분양 주거 세대,
A10028037,해운대힐스테이트위브,해운대구,중동,2369.0,2369.0,2369.0,2369.0,전체 분양 주거 세대,1999081780000.0,1999081780000.0,843850476.9945124,산정 완료,VERIFIED_MASTER,,9.0,5.0,1999081780000.0,0,산정 완료,전체 분양 주거 세대,
A60809003,오륙도SK VIEW,남구,용호동,3000.0,3000.0,3000.0,3000.0,전체 분양 주거 세대,1835351500000.0,1835351500000.0,611783833.3333334,산정 완료,VERIFIED_MASTER,,10.0,3.0,1835351500000.0,0,산정 완료,전체 분양 주거 세대,
A60778608,사직쌍용예가,동래구,사직동,2947.0,2947.0,2947.0,2947.0,전체 분양 주거 세대,1720265000000.0,1720265000000.0,583734306.0739735,산정 완료,VERIFIED_MASTER,,11.0,1.0,1720265000000.0,0,산정 완료,전체 분양 주거 세대,
A61274508,동부올림픽아파트,해운대구,우동,1680.0,1680.0,1680.0,1680.0,전체 분양 주거 세대,1542000000000.0,1542000000000.0,917857142.8571428,산정 완료,VERIFIED_MASTER,,12.0,6.0,1542000000000.0,0,산정 완료,전체 분양 주거 세대,
A10023208,두산위브더제니스 하버시티,동구,범일동,2040.0,2040.0,2040.0,2040.0,전체 분양 주거 세대,1315125000000.0,1315125000000.0,644669117.6470588,산정 완료,VERIFIED_MASTER,,13.0,1.0,1315125000000.0,0,산정 완료,전체 분양 주거 세대,
A60809002,GS하이츠자이,남구,용호동,1149.0,1149.0,1149.0,1149.0,전체 분양 주거 세대,1309965000000.0,1309965000000.0,1140091383.8120105,산정 완료,VERIFIED_MASTER,,14.0,4.0,1309965000000.0,0,산정 완료,전체 분양 주거 세대,
A60931207,구서동롯데캐슬골드2단지(1049),금정구,구서동,1926.0,1926.0,1926.0,1926.0,전체 분양 주거 세대,1280365000000.0,1280365000000.0,664779335.4101765,산정 완료,VERIFIED_MASTER,,15.0,1.0,1280365000000.0,0,산정 완료,전체 분양 주거 세대,
A10027937,더샵 파크시티,연제구,연산동,1758.0,1758.0,1758.0,1758.0,전체 분양 주거 세대,1219735000000.0,1219735000000.0,693819681.4562002,산정 완료,VERIFIED_MASTER,,16.0,1.0,1219735000000.0,0,산정 완료,전체 분양 주거 세대,
A61271302,더샵센텀파크2차,해운대구,재송동,998.0,998.0,998.0,998.0,전체 분양 주거 세대,1177960000000.0,1177960000000.0,1180320641.282565,산정 완료,VERIFIED_MASTER,,17.0,7.0,1177960000000.0,0,산정 완료,전체 분양 주거 세대,
A10027054,사직롯데캐슬더클래식,동래구,사직동,1064.0,978.0,978.0,978.0,분양 세대만 (임대 제외),1173990000000.0,1173990000000.0,1200398773.006135,산정 완료,VERIFIED_MASTER,,18.0,2.0,1173990000000.0,0,산정 완료,분양 세대만 (임대 제외),
A10023790,힐스테이트이진베이시티,서구,암남동,1368.0,1368.0,1368.0,1368.0,전체 분양 주거 세대,1169136000000.0,1169136000000.0,854631578.9473684,산정 완료,VERIFIED_MASTER,,19.0,1.0,1169136000000.0,0,산정 완료,전체 분양 주거 세대,
A60701004,명륜아이파크,동래구,명륜동,1409.0,1285.0,1285.0,1285.0,분양 세대만 (임대 제외),1123195000000.0,1123195000000.0,874081712.0622568,산정 완료,VERIFIED_MASTER,,20.0,3.0,1123195000000.0,0,산정 완료,분양 세대만 (임대 제외),
A10022844,롯데캐슬라센트,부산진구,부암동,2195.0,2079.0,2079.0,2079.0,분양 세대만 (임대 제외),1118512500000.0,1118512500000.0,538005050.5050505,산정 완료,VERIFIED_MASTER,,21.0,1.0,1118512500000.0,0,산정 완료,분양 세대만 (임대 제외),
A61274707,삼호가든아파트,해운대구,우동,1076.0,1076.0,1076.0,1076.0,전체 분양 주거 세대,1111860000000.0,1111860000000.0,1033327137.5464684,산정 완료,VERIFIED_MASTER,,22.0,8.0,1111860000000.0,0,산정 완료,전체 분양 주거 세대,
A61271919,아시아선수촌아파트,해운대구,반여동,2290.0,2290.0,2290.0,2290.0,전체 분양 주거 세대,1102970000000.0,1102970000000.0,481646288.209607,산정 완료,VERIFIED_MASTER,,23.0,9.0,1102970000000.0,0,산정 완료,전체 분양 주거 세대,
A10025540,삼한골든뷰센트럴파크,부산진구,범전동,1272.0,1272.0,1272.0,1272.0,전체 분양 주거 세대,1081200000000.0,1081200000000.0,850000000.0,산정 완료,VERIFIED_MASTER,,24.0,2.0,1081200000000.0,0,산정 완료,전체 분양 주거 세대,
A10027832,백양디이스트,북구,만덕동,3790.0,3160.0,3160.0,3160.0,분양 세대만 (임대 제외),1078742500000.0,1078742500000.0,341374208.8607595,산정 완료,VERIFIED_MASTER,,25.0,2.0,1078742500000.0,0,산정 완료,분양 세대만 (임대 제외),
A61202009,해운대자이,해운대구,우동,1059.0,1008.0,1008.0,1008.0,분양 세대만 (임대 제외),1068455000000.0,1068455000000.0,1059975198.4126984,산정 완료,VERIFIED_MASTER,,26.0,10.0,1068455000000.0,0,산정 완료,분양 세대만 (임대 제외),
A61403001,서면센트럴스타,부산진구,부전동,1360.0,1360.0,1360.0,1360.0,전체 분양 주거 세대,1050023550000.0,1050023550000.0,772076139.7058823,산정 완료,VERIFIED_MASTER,,27.0,3.0,1050023550000.0,0,산정 완료,전체 분양 주거 세대,
