kapt_code,area_group_id,exclusive_area_sqm,supply_area_sqm,type_name,households,source,verified_at,valid_from,valid_to,verification_status,scope,notes
A60275104,exclusive_59.34,59.34,75.61,22평,244.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5905,2026-09-18,,,verified,sale_apartment,
A60275104,exclusive_84.96,84.96,108.25,32평,228.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5905,2026-09-18,,,verified,sale_apartment,
A60275104,exclusive_119.37,119.37,152.1,46평,92.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5905,2026-09-18,,,verified,sale_apartment,
A60270501,exclusive_60,60.0,76.34,23평,202.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=12874,2026-09-18,,,verified,sale_apartment,
A60270501,exclusive_85,85.0,102.83,31평,299.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=12874,2026-09-18,,,verified,sale_apartment,
A60270501,exclusive_117.59,117.59,135.6,41평,112.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=12874,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_59.62,59.62,79.47,24평B,89.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_59.98,59.98,79.74,24평A,33.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_59.95,59.95,79.85,24평C,87.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_59.99,59.99,79.87,24평E,87.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_59.97,59.97,79.99,24평F,27.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_59.94,59.94,80.17,24평D,184.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_84.38,84.38,111.14,33평A,144.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_84.84,84.84,111.55,33평E,57.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_84.8,84.8,111.68,33평D,86.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_84.92,84.92,,33평B | 33평C,442.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment, | 동일 전용면적 타입 세대수 합산; 실거래는 타입 구별 불가
A10022434,exclusive_99.93,99.93,131.83,39평,63.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_110.14,110.14,146.65,44평,1.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10022434,exclusive_115.97,115.97,153.55,46평,2.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,2026-09-18,,,verified,sale_apartment,
A10023790,exclusive_84.86,84.86,119.46,36평B,216.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,2026-09-18,,,verified,sale_apartment,
