kapt_code,kapt_name,area_group_id,exclusive_area_sqm,households,processing_status,source_type,source_name,source_url,source_page,kb_complex_id,kb_type_id,kapt_total_households,collected_total_households,sale_households,rental_households,match_method,match_confidence,verification_method,verified_at,notes
A60275104,남성한빛아파트,exclusive_59_34,59.34,244,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5905,https://kbland.kr,,,,564,244,244,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A60275104,남성한빛아파트,exclusive_84_96,84.96,228,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5905,https://kbland.kr,,,,564,228,228,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A60275104,남성한빛아파트,exclusive_119_37,119.37,92,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5905,https://kbland.kr,,,,564,92,92,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A60270501,부민e-편한세상아파트,exclusive_60,60.0,202,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=12874,https://kbland.kr,,,,613,202,202,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A60270501,부민e-편한세상아파트,exclusive_85,85.0,299,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=12874,https://kbland.kr,,,,613,299,299,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A60270501,부민e-편한세상아파트,exclusive_117_59,117.59,112,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=12874,https://kbland.kr,,,,613,112,112,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_59_62,59.62,89,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,89,89,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_59_98,59.98,33,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,33,33,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_59_95,59.95,87,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,87,87,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_59_99,59.99,87,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,87,87,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_59_97,59.97,27,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,27,27,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_59_94,59.94,184,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,184,184,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_84_38,84.38,144,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,144,144,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_84_84,84.84,57,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,57,57,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_84_8,84.8,86,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,86,86,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_84_92,84.92,115,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,115,115,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_84_92_33평C,84.92,327,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,327,327,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_99_93,99.93,63,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,63,63,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_110_14,110.14,1,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,1,1,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10022434,e편한세상 송도 더퍼스트비치,exclusive_115_97,115.97,2,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,https://kbland.kr,,,,1302,2,2,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10023790,힐스테이트이진베이시티,exclusive_84_86,84.86,216,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,https://kbland.kr,,,,1368,216,216,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10023790,힐스테이트이진베이시티,exclusive_84_51,84.51,216,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,https://kbland.kr,,,,1368,216,216,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10023790,힐스테이트이진베이시티,exclusive_92_75,92.75,162,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,https://kbland.kr,,,,1368,162,162,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10023790,힐스테이트이진베이시티,exclusive_92_9,92.9,162,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,https://kbland.kr,,,,1368,162,162,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10023790,힐스테이트이진베이시티,exclusive_105_47,105.47,126,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,https://kbland.kr,,,,1368,126,126,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10023790,힐스테이트이진베이시티,exclusive_105_53,105.53,126,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,https://kbland.kr,,,,1368,126,126,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10023790,힐스테이트이진베이시티,exclusive_116_55,116.55,126,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,https://kbland.kr,,,,1368,126,126,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10023790,힐스테이트이진베이시티,exclusive_116_12,116.12,108,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,https://kbland.kr,,,,1368,108,108,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10023790,힐스테이트이진베이시티,exclusive_138_86,138.86,126,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,https://kbland.kr,,,,1368,126,126,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10024998,범양레우스 센트럴베이,exclusive_72_71,72.71,214,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33795,https://kbland.kr,,,,856,214,214,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10024998,범양레우스 센트럴베이,exclusive_73_9,73.9,214,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33795,https://kbland.kr,,,,856,214,214,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10024998,범양레우스 센트럴베이,exclusive_84_94,84.94,214,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33795,https://kbland.kr,,,,856,214,214,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10024998,범양레우스 센트럴베이,exclusive_84_96,84.96,214,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33795,https://kbland.kr,,,,856,214,214,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10025359,e편한세상부산항,exclusive_69_48,69.48,70,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,https://kbland.kr,,,,752,70,70,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10025359,e편한세상부산항,exclusive_69_93,69.93,105,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,https://kbland.kr,,,,752,105,105,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10025359,e편한세상부산항,exclusive_69_73,69.73,70,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,https://kbland.kr,,,,752,70,70,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10025359,e편한세상부산항,exclusive_84_68,84.68,350,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,https://kbland.kr,,,,752,350,350,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
A10025359,e편한세상부산항,exclusive_84_7,84.7,87,VERIFIED,KB,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,https://kbland.kr,,,,752,87,87,0,pipeline_verified,HIGH,official_and_api_verified,2026-09-18,
