kapt_code,kapt_name,audited_status,in_master,in_rental,in_pending
A10024328,동대신역비스타동원아파트,MASTER_INCLUDED,True,False,False
A10024875,동대신동 브라운스톤하이포레아파트,MASTER_INCLUDED,True,False,False
A10026034,대신푸르지오아파트,MASTER_INCLUDED,True,False,False
A10023704,대신해모로센트럴아파트,MASTER_INCLUDED,True,False,False
A10024535,대신2차푸르지오,MASTER_INCLUDED,True,False,False
A10028182,대신롯데캐슬아파트,MASTER_INCLUDED,True,False,False
A60275104,남성한빛아파트,MASTER_INCLUDED,True,False,False
A60270501,부민e-편한세상아파트,MASTER_INCLUDED,True,False,False
A10022985,경동포레스트힐 행복주택 아미,EXCLUDED_RENTAL_ONLY,False,True,False
A60275201,남부민풀리페,EXCLUDED_RENTAL_ONLY,False,True,False
A10022434,e편한세상 송도 더퍼스트비치,MASTER_INCLUDED,True,False,False
A10023790,힐스테이트이진베이시티,MASTER_INCLUDED,True,False,False
A10024998,범양레우스 센트럴베이,MASTER_INCLUDED,True,False,False
A10025359,e편한세상부산항,MASTER_INCLUDED,True,False,False
A10025380,협성휴포레부산진역오션뷰아파트,MASTER_INCLUDED,True,False,False
A10023963,부산항일동미라주더오션아파트,MASTER_INCLUDED,True,False,False
A10023208,두산위브더제니스 하버시티,MASTER_INCLUDED,True,False,False
A10026746,오션브릿지,MASTER_INCLUDED,True,False,False
A60106001,한성기린프라자,MASTER_INCLUDED,True,False,False
A60106002,두산위브포세이돈Ⅱ,MASTER_INCLUDED,True,False,False
A60681702,영선동반도보라아파트,MASTER_INCLUDED,True,False,False
A60675801,미광마린타워아파트,MASTER_INCLUDED,True,False,False
A10024303,영도 센트럴 에일린의뜰,MASTER_INCLUDED,True,False,False
A60607003,신영도롯데낙천대,MASTER_INCLUDED,True,False,False
A60607004,청학영도신도브래뉴,MASTER_INCLUDED,True,False,False
A10022267,오션라이프에일린의 뜰,MASTER_INCLUDED,True,False,False
A10023837,부산오션시티푸르지오,MASTER_INCLUDED,True,False,False
A60608002,조양비취맨션,MASTER_INCLUDED,True,False,False
A60608303,동삼그린힐,FINAL_PENDING,False,False,True
A60670101,도시공사동삼2지구영구임대아파트,EXCLUDED_RENTAL_ONLY,False,True,False
A60675110,함지그린,MASTER_INCLUDED,True,False,False
A60676104,부산동삼1,EXCLUDED_RENTAL_ONLY,False,True,False
A60676205,부산동삼2주공,EXCLUDED_RENTAL_ONLY,False,True,False
A60680909,국제마마뉴비치,MASTER_INCLUDED,True,False,False
A60680912,절영아파트,MASTER_INCLUDED,True,False,False
A10020870,양정자이더샵SKVIEW,MASTER_INCLUDED,True,False,False
A10023040,양정 포레힐즈 스위첸,MASTER_INCLUDED,True,False,False
A61475403,양정현대1차아파트,MASTER_INCLUDED,True,False,False
