kapt_code,kapt_name,kapt_households,master_households,difference,audit_result,detailed_cause
A10024328,동대신역비스타동원아파트,503,503,0,PASS,K-apt 총세대수와 100% exact 일치
A10024875,동대신동 브라운스톤하이포레아파트,554,524,-30,WARNING,일반 분양단지 세대수 차이
A10026034,대신푸르지오아파트,959,932,-27,WARNING,일반 분양단지 세대수 차이
A10023704,대신해모로센트럴아파트,733,733,0,PASS,K-apt 총세대수와 100% exact 일치
A10024535,대신2차푸르지오,815,783,-32,WARNING,일반 분양단지 세대수 차이
A10028182,대신롯데캐슬아파트,753,673,-80,WARNING,일반 분양단지 세대수 차이
A60275104,남성한빛아파트,564,564,0,PASS,K-apt 총세대수와 100% exact 일치
A60270501,부민e-편한세상아파트,613,613,0,PASS,K-apt 총세대수와 100% exact 일치
A10022434,e편한세상 송도 더퍼스트비치,1302,1302,0,PASS,K-apt 총세대수와 100% exact 일치
A10023790,힐스테이트이진베이시티,1368,1368,0,PASS,K-apt 총세대수와 100% exact 일치
A10024998,범양레우스 센트럴베이,856,856,0,PASS,K-apt 총세대수와 100% exact 일치
A10025359,e편한세상부산항,752,752,0,PASS,K-apt 총세대수와 100% exact 일치
A10025380,협성휴포레부산진역오션뷰아파트,788,788,0,PASS,K-apt 총세대수와 100% exact 일치
A10023963,부산항일동미라주더오션아파트,546,546,0,PASS,K-apt 총세대수와 100% exact 일치
A10023208,두산위브더제니스 하버시티,2040,2040,0,PASS,K-apt 총세대수와 100% exact 일치
A10026746,오션브릿지,652,652,0,PASS,K-apt 총세대수와 100% exact 일치
A60106001,한성기린프라자,547,547,0,PASS,K-apt 총세대수와 100% exact 일치
A60106002,두산위브포세이돈Ⅱ,690,690,0,PASS,K-apt 총세대수와 100% exact 일치
A60681702,영선동반도보라아파트,868,868,0,PASS,K-apt 총세대수와 100% exact 일치
A60675801,미광마린타워아파트,676,676,0,PASS,K-apt 총세대수와 100% exact 일치
A10024303,영도 센트럴 에일린의뜰,1216,1216,0,PASS,K-apt 총세대수와 100% exact 일치
A60607003,신영도롯데낙천대,528,528,0,PASS,K-apt 총세대수와 100% exact 일치
A60607004,청학영도신도브래뉴,508,508,0,PASS,K-apt 총세대수와 100% exact 일치
A10022267,오션라이프에일린의 뜰,0,1228,1228,PASS,혼합단지 분양(sale_apartment) 세대수 분리 적재
A10023837,부산오션시티푸르지오,846,846,0,PASS,K-apt 총세대수와 100% exact 일치
A60608002,조양비취맨션,630,628,-2,PASS_WITH_WARNING,상가/부대시설 분리 및 대장 미세차이 (0.3~0.5%)
A60675110,함지그린,1000,1000,0,PASS,K-apt 총세대수와 100% exact 일치
A60680909,국제마마뉴비치,522,522,0,PASS,K-apt 총세대수와 100% exact 일치
A60680912,절영아파트,1340,1340,0,PASS,K-apt 총세대수와 100% exact 일치
A10020870,양정자이더샵SKVIEW,0,2276,2276,PASS,혼합단지 분양(sale_apartment) 세대수 분리 적재
A10023040,양정 포레힐즈 스위첸,0,1262,1262,PASS,K-apt 신축 세대수 미등재 단지 공식 공급세대수 반영
A61475403,양정현대1차아파트,1733,1733,0,PASS,K-apt 총세대수와 100% exact 일치
A61479104,양정현대2차아파트,1901,1901,0,PASS,K-apt 총세대수와 100% exact 일치
A61479902,대원칸타빌멤버스,840,840,0,PASS,K-apt 총세대수와 100% exact 일치
A10023625,e편한세상 시민공원 아파트,1401,1401,0,PASS,K-apt 총세대수와 100% exact 일치
A10024602,서면아이파크아파트,2144,2144,0,PASS,K-apt 총세대수와 100% exact 일치
A61404006,서면한신,705,705,0,PASS,K-apt 총세대수와 100% exact 일치
A61404007,서면롯데캐슬스카이,1395,1395,0,PASS,K-apt 총세대수와 100% exact 일치
A61404203,서면대우디오빌2,751,751,0,PASS,K-apt 총세대수와 100% exact 일치
A61477302,서면유림노르웨이아침,512,512,0,PASS,K-apt 총세대수와 100% exact 일치
A61486301,한라비발디,511,511,0,PASS,K-apt 총세대수와 100% exact 일치
A61403001,서면센트럴스타,1360,1360,0,PASS,K-apt 총세대수와 100% exact 일치
A61473002,네오스포아파트,782,782,0,PASS,K-apt 총세대수와 100% exact 일치
A10023750,e편한세상 서면 더센트럴,998,998,0,PASS,K-apt 총세대수와 100% exact 일치
A10027052,서면DS·협성엘리시안아파트,630,630,0,PASS,K-apt 총세대수와 100% exact 일치
A61402003,서면베르빌2,606,606,0,PASS,K-apt 총세대수와 100% exact 일치
A61476002,범천경남아파트,950,950,0,PASS,K-apt 총세대수와 100% exact 일치
A61483202,서면e-편한세상,623,623,0,PASS,K-apt 총세대수와 100% exact 일치
A10025540,삼한골든뷰센트럴파크,1272,1272,0,PASS,K-apt 총세대수와 100% exact 일치
A10023616,래미안 어반파크,2616,2484,-132,WARNING,일반 분양단지 세대수 차이
A61478807,화인연지아파트,654,654,0,PASS,K-apt 총세대수와 100% exact 일치
A61478901,연지자이2차,1011,940,-71,WARNING,일반 분양단지 세대수 차이
A61485906,연지2차청구아파트,554,554,0,PASS,K-apt 총세대수와 100% exact 일치
A61486005,연지자이1차아파트,547,547,0,PASS,K-apt 총세대수와 100% exact 일치
A61486008,세동한신아파트,789,789,0,PASS,K-apt 총세대수와 100% exact 일치
A10022574,초읍하늘채포레스원아파트,756,716,-40,WARNING,일반 분양단지 세대수 차이
A10024953,포레나부산초읍,1113,1113,0,PASS,K-apt 총세대수와 100% exact 일치
A10020721,백양산서희스타힐스(백양산서희스타힐스),1295,1295,0,PASS,K-apt 총세대수와 100% exact 일치
