kapt_code,mapping_category,in_legacy_mapping_csv
A60275104,HAS_KB_MAPPING,True
A60270501,HAS_KB_MAPPING,True
A10022434,HAS_KB_MAPPING,True
A10023790,HAS_KB_MAPPING,True
A10024998,HAS_KB_MAPPING,True
A10025359,HAS_KB_MAPPING,True
A10025380,HAS_KB_MAPPING,True
A10023208,HAS_KB_MAPPING,True
A10026746,HAS_KB_MAPPING,True
A60106001,HAS_KB_MAPPING,True
A60106002,HAS_KB_MAPPING,True
A60681702,HAS_KB_MAPPING,True
A60675801,HAS_KB_MAPPING,True
A60607003,HAS_KB_MAPPING,True
A10023837,HAS_KB_MAPPING,True
A60675110,HAS_KB_MAPPING,True
A60680909,HAS_KB_MAPPING,True
A60680912,HAS_KB_MAPPING,True
A61479902,HAS_KB_MAPPING,True
A61404006,HAS_KB_MAPPING,True
A61404007,HAS_KB_MAPPING,True
A61477302,HAS_KB_MAPPING,True
A61486301,HAS_KB_MAPPING,True
A61473002,HAS_KB_MAPPING,True
A10023750,HAS_KB_MAPPING,True
A10027052,HAS_KB_MAPPING,True
A61476002,HAS_KB_MAPPING,True
A61483202,HAS_KB_MAPPING,True
A10025540,HAS_KB_MAPPING,True
A61478807,HAS_KB_MAPPING,True
A61485906,HAS_KB_MAPPING,True
A61486005,HAS_KB_MAPPING,True
A61486008,HAS_KB_MAPPING,True
A10020721,HAS_KB_MAPPING,True
A10026861,HAS_KB_MAPPING,True
A10028147,HAS_KB_MAPPING,True
A61409002,HAS_KB_MAPPING,True
A61409005,HAS_KB_MAPPING,True
A61409302,HAS_KB_MAPPING,True
A61479403,HAS_KB_MAPPING,True
A61484004,HAS_KB_MAPPING,True
A61484005,HAS_KB_MAPPING,True
A10023021,HAS_KB_MAPPING,True
A10025434,HAS_KB_MAPPING,True
A61410304,HAS_KB_MAPPING,True
A61475202,HAS_KB_MAPPING,True
A61475903,HAS_KB_MAPPING,True
A61477806,HAS_KB_MAPPING,True
A61479605,HAS_KB_MAPPING,True
A61482207,HAS_KB_MAPPING,True
A61482302,HAS_KB_MAPPING,True
A61482303,HAS_KB_MAPPING,True
A10020213,HAS_KB_MAPPING,True
A61476403,HAS_KB_MAPPING,True
A61479502,HAS_KB_MAPPING,True
A10023409,HAS_KB_MAPPING,True
A10026363,HAS_KB_MAPPING,True
A61475512,HAS_KB_MAPPING,True
A61477009,HAS_KB_MAPPING,True
A61477105,HAS_KB_MAPPING,True
A61477403,HAS_KB_MAPPING,True
A61480908,HAS_KB_MAPPING,True
A10026360,HAS_KB_MAPPING,True
A10027972,HAS_KB_MAPPING,True
A60710004,HAS_KB_MAPPING,True
A60777604,HAS_KB_MAPPING,True
A60778502,HAS_KB_MAPPING,True
A60782701,HAS_KB_MAPPING,True
A10025662,HAS_KB_MAPPING,True
A60775407,HAS_KB_MAPPING,True
A60775605,HAS_KB_MAPPING,True
A60776006,HAS_KB_MAPPING,True
A60780104,HAS_KB_MAPPING,True
A60780108,HAS_KB_MAPPING,True
A60702002,HAS_KB_MAPPING,True
A10023781,HAS_KB_MAPPING,True
A10025687,HAS_KB_MAPPING,True
A10023417,HAS_KB_MAPPING,True
A10025463,HAS_KB_MAPPING,True
A10026316,HAS_KB_MAPPING,True
A60775306,HAS_KB_MAPPING,True
A60783306,HAS_KB_MAPPING,True
A60784207,HAS_KB_MAPPING,True
A10022591,HAS_KB_MAPPING,True
A10027341,HAS_KB_MAPPING,True
A60712001,HAS_KB_MAPPING,True
A60712204,HAS_KB_MAPPING,True
A60776402,HAS_KB_MAPPING,True
A60778608,HAS_KB_MAPPING,True
A10022847,HAS_KB_MAPPING,True
A10026094,HAS_KB_MAPPING,True
A10026184,HAS_KB_MAPPING,True
A10026452,HAS_KB_MAPPING,True
A60874408,HAS_KB_MAPPING,True
A60875509,HAS_KB_MAPPING,True
A60877710,HAS_KB_MAPPING,True
A60877907,HAS_KB_MAPPING,True
A10023436,HAS_KB_MAPPING,True
A60809002,HAS_KB_MAPPING,True
A60876301,HAS_KB_MAPPING,True
A60876402,HAS_KB_MAPPING,True
A61202008,HAS_KB_MAPPING,True
A60883003,HAS_KB_MAPPING,True
A10020004,HAS_KB_MAPPING,True
A10023533,HAS_KB_MAPPING,True
A10023872,HAS_KB_MAPPING,True
A10025508,HAS_KB_MAPPING,True
A60804003,HAS_KB_MAPPING,True
A60872101,HAS_KB_MAPPING,True
A60877107,HAS_KB_MAPPING,True
A60875305,HAS_KB_MAPPING,True
A60880104,HAS_KB_MAPPING,True
A61674912,HAS_KB_MAPPING,True
A61676006,HAS_KB_MAPPING,True
A61676316,HAS_KB_MAPPING,True
A61676509,HAS_KB_MAPPING,True
A61676605,HAS_KB_MAPPING,True
A61677013,HAS_KB_MAPPING,True
A61681107,HAS_KB_MAPPING,True
A61684110,HAS_KB_MAPPING,True
A61612010,HAS_KB_MAPPING,True
A61612017,HAS_KB_MAPPING,True
A61612018,HAS_KB_MAPPING,True
A61612019,HAS_KB_MAPPING,True
A61673302,HAS_KB_MAPPING,True
A61673305,HAS_KB_MAPPING,True
A61673308,HAS_KB_MAPPING,True
A61679206,HAS_KB_MAPPING,True
A61679207,HAS_KB_MAPPING,True
A61683305,HAS_KB_MAPPING,True
A10023725,HAS_KB_MAPPING,True
A10025235,HAS_KB_MAPPING,True
A61673103,HAS_KB_MAPPING,True
A61675601,HAS_KB_MAPPING,True
A61675806,HAS_KB_MAPPING,True
A61678209,HAS_KB_MAPPING,True
A61678706,HAS_KB_MAPPING,True
A61678804,HAS_KB_MAPPING,True
A61682607,HAS_KB_MAPPING,True
A61682907,HAS_KB_MAPPING,True
A61682908,HAS_KB_MAPPING,True
A10022905,HAS_KB_MAPPING,True
A10023684,HAS_KB_MAPPING,True
A61610003,HAS_KB_MAPPING,True
A61670501,HAS_KB_MAPPING,True
A61677608,HAS_KB_MAPPING,True
A61682303,HAS_KB_MAPPING,True
A10024201,HAS_KB_MAPPING,True
A61609002,HAS_KB_MAPPING,True
A61680707,HAS_KB_MAPPING,True
A61273306,HAS_KB_MAPPING,True
A61280805,HAS_KB_MAPPING,True
A10023647,HAS_KB_MAPPING,True
A61206110,HAS_KB_MAPPING,True
A61206113,HAS_KB_MAPPING,True
A61206114,HAS_KB_MAPPING,True
A61206118,HAS_KB_MAPPING,True
A61270515,HAS_KB_MAPPING,True
A61271919,HAS_KB_MAPPING,True
A61272011,HAS_KB_MAPPING,True
A61279802,HAS_KB_MAPPING,True
A61281117,HAS_KB_MAPPING,True
A61205002,HAS_KB_MAPPING,True
A61205003,HAS_KB_MAPPING,True
A61271204,HAS_KB_MAPPING,True
A61271302,HAS_KB_MAPPING,True
A61274815,HAS_KB_MAPPING,True
A61278214,HAS_KB_MAPPING,True
A61281512,HAS_KB_MAPPING,True
A61283211,HAS_KB_MAPPING,True
A61283410,HAS_KB_MAPPING,True
A61286403,HAS_KB_MAPPING,True
A10022568,HAS_KB_MAPPING,True
A10023542,HAS_KB_MAPPING,True
A10025214,HAS_KB_MAPPING,True
A61202004,HAS_KB_MAPPING,True
A61202007,HAS_KB_MAPPING,True
A61271101,HAS_KB_MAPPING,True
A61274011,HAS_KB_MAPPING,True
A61274013,HAS_KB_MAPPING,True
A61274114,HAS_KB_MAPPING,True
A61274508,HAS_KB_MAPPING,True
A61274707,HAS_KB_MAPPING,True
A61278912,HAS_KB_MAPPING,True
A61286810,HAS_KB_MAPPING,True
A10024591,HAS_KB_MAPPING,True
A10028037,HAS_KB_MAPPING,True
A61201007,HAS_KB_MAPPING,True
A61203012,HAS_KB_MAPPING,True
A61203013,HAS_KB_MAPPING,True
A61203014,HAS_KB_MAPPING,True
A61203015,HAS_KB_MAPPING,True
A61203016,HAS_KB_MAPPING,True
A61203017,HAS_KB_MAPPING,True
A61203019,HAS_KB_MAPPING,True
A61203020,HAS_KB_MAPPING,True
A61203021,HAS_KB_MAPPING,True
A61203023,HAS_KB_MAPPING,True
A61203024,HAS_KB_MAPPING,True
A61203026,HAS_KB_MAPPING,True
A61203027,HAS_KB_MAPPING,True
A61203028,HAS_KB_MAPPING,True
A61203031,HAS_KB_MAPPING,True
A61203032,HAS_KB_MAPPING,True
A61203035,HAS_KB_MAPPING,True
A61203036,HAS_KB_MAPPING,True
A61203037,HAS_KB_MAPPING,True
A61203038,HAS_KB_MAPPING,True
A61203039,HAS_KB_MAPPING,True
A61275302,HAS_KB_MAPPING,True
A10023440,HAS_KB_MAPPING,True
A10024383,HAS_KB_MAPPING,True
A60474905,HAS_KB_MAPPING,True
A60476101,HAS_KB_MAPPING,True
A60476206,HAS_KB_MAPPING,True
A10023928,HAS_KB_MAPPING,True
A10027236,HAS_KB_MAPPING,True
A60403002,HAS_KB_MAPPING,True
A60475903,HAS_KB_MAPPING,True
A60476805,HAS_KB_MAPPING,True
A60483404,HAS_KB_MAPPING,True
A10022280,HAS_KB_MAPPING,True
A60477315,HAS_KB_MAPPING,True
A60484514,HAS_KB_MAPPING,True
A60405002,HAS_KB_MAPPING,True
A60474307,HAS_KB_MAPPING,True
A60475305,HAS_KB_MAPPING,True
A60475408,HAS_KB_MAPPING,True
A60475412,HAS_KB_MAPPING,True
