kapt_code,kapt_name,sale_households,rental_households_excluded,kapt_households,split_validity,source_type
A10022267,오션라이프에일린의 뜰,1228,0,0,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10020870,양정자이더샵SKVIEW,2276,0,0,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10027690,명륜2차아이파크아파트,1882,176,2058,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10023975,동래래미안아이파크아파트,3853,0,3853,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10028145,대연롯데캐슬,514,50,564,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10024318,e편한세상 금정산 아파트,1239,730,1969,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10025923,스위트팰리스,142,766,908,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A61872201,부산신호사랑으로부영1차아파트,40,1024,1064,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A61872202,부산신호 사랑으로 부영2차아파트,64,1324,1388,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10022890,레이카운티 아파트,4470,0,0,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10025075,e편한세상오션테라스,1038,0,1038,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A60809004,LG메트로시티아파트,7374,0,7374,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10027832,백양디이스트,3160,630,3790,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A60701004,명륜아이파크,1285,124,1409,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A61202009,해운대자이,1008,51,1059,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10026557,센텀리슈빌 아파트,753,0,753,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A61673902,율리벽산블루밍,538,51,589,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A61175209,연산한양아파트,1452,0,1452,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A60608303,동삼그린힐,2088,0,2088,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A61409004,타워베르빌,566,138,704,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A60976502,부곡늘푸른아파트,735,150,885,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A61776303,주례럭키아파트,1962,331,2293,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10025258,아시아드코오롱하늘채,352,308,660,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10025154,명지화전지구우방아이유쉘아파트,699,816,1515,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A60802001,대연힐스테이트푸르지오,2304,0,2304,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A61377106,부산더샵센텀포레,920,86,1006,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10023616,래미안 어반파크,2404,212,2616,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10022844,롯데캐슬라센트,2079,116,2195,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10023526,힐스테이트연산 아파트,1224,427,1651,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10023040,양정 포레힐즈 스위첸,1168,170,1338,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10027054,사직롯데캐슬더클래식,978,86,1064,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10026484,해운대 자이2차,743,70,813,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A61288603,래미안해운대,681,66,747,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10022999,대연푸르지오클라센트,998,59,1057,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10023104,사상 중흥S-클래스 그랜드센트럴,1434,138,1572,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10026034,대신푸르지오아파트,876,83,959,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10023571,주례롯데캐슬골드스마트,948,50,998,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10024953,포레나부산초읍,1053,60,1113,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10024341,화명푸르지오헤리센트,871,15,886,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10024303,영도 센트럴 에일린의뜰,1061,155,1216,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A61478901,연지자이2차,925,86,1011,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10024535,대신2차푸르지오,783,32,815,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10027790,e편한세상 화명힐스 아파트,732,68,800,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A61202011,해운대센텀두산위브,516,65,581,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10022574,초읍하늘채포레스원아파트,716,40,756,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10023704,대신해모로센트럴아파트,629,104,733,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10023969,사하한신더휴아파트,793,42,835,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10028182,대신롯데캐슬아파트,673,80,753,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10027989,신화명리버뷰자이아파트,717,75,792,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A60471810,당리푸르지오,494,48,542,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10027159,브라운스톤연제,475,46,521,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10024875,동대신동 브라운스톤하이포레아파트,524,30,554,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10022002,래미안포레스티지,3803,240,4043,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10026780,래미안 장전,1824,114,1938,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10024627,연산롯데캐슬골드포레,1162,68,1230,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10025342,e편한세상동래명장,1312,72,1384,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10023627,가야롯데캐슬 골드아너,851,84,935,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10023440,힐스테이트사하역 아파트,1276,38,1314,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10023436,데시앙해링턴플레이스파크시티,1638,87,1725,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
A10022280,두산위브더센트럴사하,1559,84,1643,OFFICIALLY_SUPPORTED,KB & OFFICIAL_NOTICE
