kapt_code,area_group_id,source,source_tier
A60275104,exclusive_59_34,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5905,TIER_2_KB_OFFICIAL_API
A60275104,exclusive_84_96,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5905,TIER_2_KB_OFFICIAL_API
A60275104,exclusive_119_37,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5905,TIER_2_KB_OFFICIAL_API
A60270501,exclusive_60,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=12874,TIER_2_KB_OFFICIAL_API
A60270501,exclusive_85,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=12874,TIER_2_KB_OFFICIAL_API
A60270501,exclusive_117_59,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=12874,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_59_62,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_59_98,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_59_95,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_59_99,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_59_97,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_59_94,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_84_38,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_84_84,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_84_8,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_84_92,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_84_92_33평C,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_99_93,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_110_14,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10022434,exclusive_115_97,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=1097603,TIER_2_KB_OFFICIAL_API
A10023790,exclusive_84_86,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,TIER_2_KB_OFFICIAL_API
A10023790,exclusive_84_51,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,TIER_2_KB_OFFICIAL_API
A10023790,exclusive_92_75,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,TIER_2_KB_OFFICIAL_API
A10023790,exclusive_92_9,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,TIER_2_KB_OFFICIAL_API
A10023790,exclusive_105_47,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,TIER_2_KB_OFFICIAL_API
A10023790,exclusive_105_53,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,TIER_2_KB_OFFICIAL_API
A10023790,exclusive_116_55,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,TIER_2_KB_OFFICIAL_API
A10023790,exclusive_116_12,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,TIER_2_KB_OFFICIAL_API
A10023790,exclusive_138_86,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=39443,TIER_2_KB_OFFICIAL_API
A10024998,exclusive_72_71,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33795,TIER_2_KB_OFFICIAL_API
A10024998,exclusive_73_9,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33795,TIER_2_KB_OFFICIAL_API
A10024998,exclusive_84_94,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33795,TIER_2_KB_OFFICIAL_API
A10024998,exclusive_84_96,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33795,TIER_2_KB_OFFICIAL_API
A10025359,exclusive_69_48,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,TIER_2_KB_OFFICIAL_API
A10025359,exclusive_69_93,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,TIER_2_KB_OFFICIAL_API
