kapt_code,area_group_id,verified_at,valid_from,valid_to,valid_date_format,copied_suspicion
A60275104,exclusive_59_34,2026-09-18,nan,nan,True,False
A60275104,exclusive_84_96,2026-09-18,nan,nan,True,False
A60275104,exclusive_119_37,2026-09-18,nan,nan,True,False
A60270501,exclusive_60,2026-09-18,nan,nan,True,False
A60270501,exclusive_85,2026-09-18,nan,nan,True,False
A60270501,exclusive_117_59,2026-09-18,nan,nan,True,False
A10022434,exclusive_59_62,2026-09-18,nan,nan,True,False
A10022434,exclusive_59_98,2026-09-18,nan,nan,True,False
A10022434,exclusive_59_95,2026-09-18,nan,nan,True,False
A10022434,exclusive_59_99,2026-09-18,nan,nan,True,False
A10022434,exclusive_59_97,2026-09-18,nan,nan,True,False
A10022434,exclusive_59_94,2026-09-18,nan,nan,True,False
A10022434,exclusive_84_38,2026-09-18,nan,nan,True,False
A10022434,exclusive_84_84,2026-09-18,nan,nan,True,False
A10022434,exclusive_84_8,2026-09-18,nan,nan,True,False
A10022434,exclusive_84_92,2026-09-18,nan,nan,True,False
A10022434,exclusive_84_92_33평C,2026-09-18,nan,nan,True,False
A10022434,exclusive_99_93,2026-09-18,nan,nan,True,False
A10022434,exclusive_110_14,2026-09-18,nan,nan,True,False
A10022434,exclusive_115_97,2026-09-18,nan,nan,True,False
A10023790,exclusive_84_86,2026-09-18,nan,nan,True,False
A10023790,exclusive_84_51,2026-09-18,nan,nan,True,False
A10023790,exclusive_92_75,2026-09-18,nan,nan,True,False
A10023790,exclusive_92_9,2026-09-18,nan,nan,True,False
A10023790,exclusive_105_47,2026-09-18,nan,nan,True,False
A10023790,exclusive_105_53,2026-09-18,nan,nan,True,False
A10023790,exclusive_116_55,2026-09-18,nan,nan,True,False
A10023790,exclusive_116_12,2026-09-18,nan,nan,True,False
A10023790,exclusive_138_86,2026-09-18,nan,nan,True,False
A10024998,exclusive_72_71,2026-09-18,nan,nan,True,False
A10024998,exclusive_73_9,2026-09-18,nan,nan,True,False
A10024998,exclusive_84_94,2026-09-18,nan,nan,True,False
A10024998,exclusive_84_96,2026-09-18,nan,nan,True,False
A10025359,exclusive_69_48,2026-09-18,nan,nan,True,False
A10025359,exclusive_69_93,2026-09-18,nan,nan,True,False
A10025359,exclusive_69_73,2026-09-18,nan,nan,True,False
A10025359,exclusive_84_68,2026-09-18,nan,nan,True,False
A10025359,exclusive_84_7,2026-09-18,nan,nan,True,False
A10025359,exclusive_84_87,2026-09-18,nan,nan,True,False
A10025380,exclusive_59_66,2026-09-18,nan,nan,True,False
A10025380,exclusive_69_21,2026-09-18,nan,nan,True,False
A10025380,exclusive_69_51,2026-09-18,nan,nan,True,False
A10025380,exclusive_82_87,2026-09-18,nan,nan,True,False
A10023208,exclusive_59_87,2026-09-18,nan,nan,True,False
A10023208,exclusive_75_55,2026-09-18,nan,nan,True,False
A10023208,exclusive_75_64,2026-09-18,nan,nan,True,False
A10023208,exclusive_75_67,2026-09-18,nan,nan,True,False
A10023208,exclusive_84_63,2026-09-18,nan,nan,True,False
A10023208,exclusive_84_9,2026-09-18,nan,nan,True,False
A10026746,exclusive_59_92,2026-09-18,nan,nan,True,False
A10026746,exclusive_59_95,2026-09-18,nan,nan,True,False
A10026746,exclusive_84_98,2026-09-18,nan,nan,True,False
A10026746,exclusive_84_95,2026-09-18,nan,nan,True,False
A10026746,exclusive_118_89,2026-09-18,nan,nan,True,False
A60106001,exclusive_60,2026-09-18,nan,nan,True,False
A60106001,exclusive_84_21,2026-09-18,nan,nan,True,False
A60106001,exclusive_98_68,2026-09-18,nan,nan,True,False
A60106001,exclusive_115_04,2026-09-18,nan,nan,True,False
A60106002,exclusive_84_95,2026-09-18,nan,nan,True,False
A60106002,exclusive_84_98,2026-09-18,nan,nan,True,False
A60106002,exclusive_84_99,2026-09-18,nan,nan,True,False
A60106002,exclusive_84_99_32평B,2026-09-18,nan,nan,True,False
A60106002,exclusive_84_99_32평B1,2026-09-18,nan,nan,True,False
A60106002,exclusive_84_99_32평C,2026-09-18,nan,nan,True,False
A60106002,exclusive_84_99_32평D,2026-09-18,nan,nan,True,False
A60106002,exclusive_84_99_32평D1,2026-09-18,nan,nan,True,False
A60106002,exclusive_127,2026-09-18,nan,nan,True,False
A60106002,exclusive_127_05,2026-09-18,nan,nan,True,False
A60106002,exclusive_127_24,2026-09-18,nan,nan,True,False
A60106002,exclusive_127_24_48평A1,2026-09-18,nan,nan,True,False
A60106002,exclusive_127_29,2026-09-18,nan,nan,True,False
A60106002,exclusive_150_59,2026-09-18,nan,nan,True,False
A60106002,exclusive_225_83,2026-09-18,nan,nan,True,False
A60106002,exclusive_227_27,2026-09-18,nan,nan,True,False
A60681702,exclusive_59_7,2026-09-18,nan,nan,True,False
A60681702,exclusive_84_81,2026-09-18,nan,nan,True,False
A60681702,exclusive_99_96,2026-09-18,nan,nan,True,False
A60681702,exclusive_134_82,2026-09-18,nan,nan,True,False
A60681702,exclusive_167_66,2026-09-18,nan,nan,True,False
A60675801,exclusive_84_78,2026-09-18,nan,nan,True,False
A60675801,exclusive_84_92,2026-09-18,nan,nan,True,False
A60675801,exclusive_122_74,2026-09-18,nan,nan,True,False
A60675801,exclusive_149_22,2026-09-18,nan,nan,True,False
A60675801,exclusive_189_85,2026-09-18,nan,nan,True,False
A60607003,exclusive_59_96,2026-09-18,nan,nan,True,False
A60607003,exclusive_74_46,2026-09-18,nan,nan,True,False
A60607003,exclusive_84_97,2026-09-18,nan,nan,True,False
A60607003,exclusive_101_79,2026-09-18,nan,nan,True,False
A10023837,exclusive_84_82,2026-09-18,nan,nan,True,False
A10023837,exclusive_84_93,2026-09-18,nan,nan,True,False
A10023837,exclusive_84_91,2026-09-18,nan,nan,True,False
A10023837,exclusive_84_84,2026-09-18,nan,nan,True,False
A10023837,exclusive_84_8,2026-09-18,nan,nan,True,False
A10023837,exclusive_84_98,2026-09-18,nan,nan,True,False
A10023837,exclusive_115_84,2026-09-18,nan,nan,True,False
A10023837,exclusive_115_73,2026-09-18,nan,nan,True,False
A60675110,exclusive_45_5,2026-09-18,nan,nan,True,False
A60675110,exclusive_57_09,2026-09-18,nan,nan,True,False
A60680909,exclusive_85_76,2026-09-18,nan,nan,True,False
A60680909,exclusive_116_63,2026-09-18,nan,nan,True,False
A60680909,exclusive_121_26,2026-09-18,nan,nan,True,False
A60680909,exclusive_146_99,2026-09-18,nan,nan,True,False
A60680912,exclusive_46_27,2026-09-18,nan,nan,True,False
A61479902,exclusive_84_81,2026-09-18,nan,nan,True,False
A61479902,exclusive_84_85,2026-09-18,nan,nan,True,False
A61479902,exclusive_84_86,2026-09-18,nan,nan,True,False
A61479902,exclusive_84_85_38평A,2026-09-18,nan,nan,True,False
A61479902,exclusive_110_93,2026-09-18,nan,nan,True,False
A61479902,exclusive_109_54,2026-09-18,nan,nan,True,False
A61479902,exclusive_118_61,2026-09-18,nan,nan,True,False
A61479902,exclusive_130_34,2026-09-18,nan,nan,True,False
A61404006,exclusive_59_72,2026-09-18,nan,nan,True,False
A61404006,exclusive_59_84,2026-09-18,nan,nan,True,False
A61404006,exclusive_84_98,2026-09-18,nan,nan,True,False
A61404006,exclusive_124_09,2026-09-18,nan,nan,True,False
A61404007,exclusive_25_97,2026-09-18,nan,nan,True,False
A61404007,exclusive_33_74,2026-09-18,nan,nan,True,False
A61404007,exclusive_52_76,2026-09-18,nan,nan,True,False
A61404007,exclusive_59_94,2026-09-18,nan,nan,True,False
A61404007,exclusive_72_21,2026-09-18,nan,nan,True,False
A61404007,exclusive_84_81,2026-09-18,nan,nan,True,False
A61404007,exclusive_102_55,2026-09-18,nan,nan,True,False
A61404007,exclusive_113_03,2026-09-18,nan,nan,True,False
A61404007,exclusive_141_19,2026-09-18,nan,nan,True,False
A61477302,exclusive_28_8,2026-09-18,nan,nan,True,False
A61477302,exclusive_30_49,2026-09-18,nan,nan,True,False
A61477302,exclusive_33_74,2026-09-18,nan,nan,True,False
A61477302,exclusive_38_53,2026-09-18,nan,nan,True,False
A61477302,exclusive_39_82,2026-09-18,nan,nan,True,False
A61477302,exclusive_41_76,2026-09-18,nan,nan,True,False
A61477302,exclusive_44_64,2026-09-18,nan,nan,True,False
A61477302,exclusive_45_15,2026-09-18,nan,nan,True,False
A61477302,exclusive_46_33,2026-09-18,nan,nan,True,False
A61477302,exclusive_60_99,2026-09-18,nan,nan,True,False
A61477302,exclusive_64_23,2026-09-18,nan,nan,True,False
A61486301,exclusive_84_98,2026-09-18,nan,nan,True,False
A61486301,exclusive_84_76,2026-09-18,nan,nan,True,False
A61486301,exclusive_84_86,2026-09-18,nan,nan,True,False
A61486301,exclusive_84_97,2026-09-18,nan,nan,True,False
A61486301,exclusive_126_72,2026-09-18,nan,nan,True,False
A61486301,exclusive_128_91,2026-09-18,nan,nan,True,False
A61473002,exclusive_59_9,2026-09-18,nan,nan,True,False
A61473002,exclusive_71_02,2026-09-18,nan,nan,True,False
A61473002,exclusive_78_76,2026-09-18,nan,nan,True,False
A61473002,exclusive_84_64,2026-09-18,nan,nan,True,False
A61473002,exclusive_122_84,2026-09-18,nan,nan,True,False
A10023750,exclusive_59_99,2026-09-18,nan,nan,True,False
A10023750,exclusive_69_99,2026-09-18,nan,nan,True,False
A10023750,exclusive_84_96,2026-09-18,nan,nan,True,False
A10023750,exclusive_84_99,2026-09-18,nan,nan,True,False
A10027052,exclusive_30_14,2026-09-18,nan,nan,True,False
A10027052,exclusive_59_89,2026-09-18,nan,nan,True,False
A10027052,exclusive_59_8,2026-09-18,nan,nan,True,False
A10027052,exclusive_59_79,2026-09-18,nan,nan,True,False
A10027052,exclusive_62_76,2026-09-18,nan,nan,True,False
A10027052,exclusive_74_7,2026-09-18,nan,nan,True,False
A61476002,exclusive_59_94,2026-09-18,nan,nan,True,False
A61476002,exclusive_84_93,2026-09-18,nan,nan,True,False
A61476002,exclusive_119,2026-09-18,nan,nan,True,False
A61483202,exclusive_84_87,2026-09-18,nan,nan,True,False
A61483202,exclusive_84_98,2026-09-18,nan,nan,True,False
A61483202,exclusive_84_78,2026-09-18,nan,nan,True,False
A61483202,exclusive_84_91,2026-09-18,nan,nan,True,False
A61483202,exclusive_84_65,2026-09-18,nan,nan,True,False
A61483202,exclusive_117_02,2026-09-18,nan,nan,True,False
A61483202,exclusive_119_73,2026-09-18,nan,nan,True,False
A61483202,exclusive_118_02,2026-09-18,nan,nan,True,False
A61483202,exclusive_141_4,2026-09-18,nan,nan,True,False
A10025540,exclusive_84_99,2026-09-18,nan,nan,True,False
A10025540,exclusive_84_97,2026-09-18,nan,nan,True,False
A10025540,exclusive_84_99_35평C,2026-09-18,nan,nan,True,False
A10025540,exclusive_84_97_35평A,2026-09-18,nan,nan,True,False
A61478807,exclusive_39_34,2026-09-18,nan,nan,True,False
A61478807,exclusive_59_72,2026-09-18,nan,nan,True,False
A61478807,exclusive_84_88,2026-09-18,nan,nan,True,False
A61478807,exclusive_134_85,2026-09-18,nan,nan,True,False
A61485906,exclusive_59_89,2026-09-18,nan,nan,True,False
A61485906,exclusive_76_56,2026-09-18,nan,nan,True,False
A61485906,exclusive_84_72,2026-09-18,nan,nan,True,False
