kapt_code,kapt_name,kb_complex_id,kb_complex_name,kb_url,kb_type_id,type_name,households,supply_area_sqm,exclusive_area_sqm,area_precision,kb_sale_general,kb_sale_upper,kb_sale_lower,kb_jeonse_general,kb_jeonse_upper,kb_jeonse_lower,kb_monthly_deposit,kb_monthly_low,kb_monthly_high,kb_price_date,listing_count,collected_at,source_method
A60275104,남성한빛아파트,5905,남성한빛가든,https://kbland.kr/map?complex=5905,5753,22평,244,75.61,59.34,display,17750.0,19250.0,16250.0,15500.0,,,7000.0,30.0,30.0,,41.0,2026-09-18T10:29:14.811203,playwright_dom
A60275104,남성한빛아파트,5905,남성한빛가든,https://kbland.kr/map?complex=5905,54686,32평,228,108.25,84.96,display,24750.0,27250.0,21750.0,20500.0,,,,,,,22.0,2026-09-18T10:29:14.811203,playwright_dom
A60275104,남성한빛아파트,5905,남성한빛가든,https://kbland.kr/map?complex=5905,97331,46평,92,152.1,119.37,display,34000.0,36000.0,31500.0,27000.0,,,,,,,21.0,2026-09-18T10:29:14.811203,playwright_dom
A60270501,부민e-편한세상아파트,12874,부민e-편한세상,https://kbland.kr/map?complex=12874,12665,23평,202,76.34,60.0,display,20000.0,22000.0,18000.0,16000.0,,,5000.0,50.0,55.0,,5.0,2026-09-18T10:29:16.994220,playwright_dom
A60270501,부민e-편한세상아파트,12874,부민e-편한세상,https://kbland.kr/map?complex=12874,60737,31평,299,102.83,85.0,display,24500.0,26500.0,22750.0,20750.0,,,5000.0,60.0,70.0,,22.0,2026-09-18T10:29:16.994220,playwright_dom
A60270501,부민e-편한세상아파트,12874,부민e-편한세상,https://kbland.kr/map?complex=12874,101570,41평,112,135.6,117.59,display,34500.0,36500.0,32000.0,28000.0,,,,,,,10.0,2026-09-18T10:29:16.994220,playwright_dom
A10022434,e편한세상 송도 더퍼스트비치,1097603,e편한세상송도더퍼스트비치,https://kbland.kr/map?complex=1097603,1725701,24평B,89,79.47,59.62,display,,,,,,,,,,,9.0,2026-09-18T10:29:23.220812,playwright_dom
A10022434,e편한세상 송도 더퍼스트비치,1097603,e편한세상송도더퍼스트비치,https://kbland.kr/map?complex=1097603,1725681,24평A,33,79.74,59.98,display,,,,,,,,,,,1.0,2026-09-18T10:29:23.220812,playwright_dom
A10022434,e편한세상 송도 더퍼스트비치,1097603,e편한세상송도더퍼스트비치,https://kbland.kr/map?complex=1097603,1725642,24평C,87,79.85,59.95,display,,,,,,,,,,,16.0,2026-09-18T10:29:23.220812,playwright_dom
A10022434,e편한세상 송도 더퍼스트비치,1097603,e편한세상송도더퍼스트비치,https://kbland.kr/map?complex=1097603,1725660,24평E,87,79.87,59.99,display,,,,,,,,,,,15.0,2026-09-18T10:29:23.220812,playwright_dom
