kapt_code,kapt_name,final_status,master_included,excluded,pending,verification_source,area_row_count,notes
A10024328,동대신역비스타동원아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A10024875,동대신동 브라운스톤하이포레아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A10026034,대신푸르지오아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,10,
A10023704,대신해모로센트럴아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,9,
A10024535,대신2차푸르지오,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A10028182,대신롯데캐슬아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A60275104,남성한빛아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A60270501,부민e-편한세상아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A10022985,경동포레스트힐 행복주택 아미,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A60275201,남부민풀리페,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A10022434,e편한세상 송도 더퍼스트비치,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,14,
A10023790,힐스테이트이진베이시티,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,9,
A10024998,범양레우스 센트럴베이,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A10025359,e편한세상부산항,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A10025380,협성휴포레부산진역오션뷰아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A10023963,부산항일동미라주더오션아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A10023208,두산위브더제니스 하버시티,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A10026746,오션브릿지,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A60106001,한성기린프라자,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A60106002,두산위브포세이돈Ⅱ,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,16,
A60681702,영선동반도보라아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A60675801,미광마린타워아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A10024303,영도 센트럴 에일린의뜰,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,12,
A60607003,신영도롯데낙천대,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A60607004,청학영도신도브래뉴,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A10022267,오션라이프에일린의 뜰,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,9,
A10023837,부산오션시티푸르지오,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A60608002,조양비취맨션,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A60608303,동삼그린힐,VERIFIED_MASTER,True,False,False,KB부동산 (293644),5,전체 분양 세대 (임대분리형 단지)
A60670101,도시공사동삼2지구영구임대아파트,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A60675110,함지그린,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,2,
