issue_id,severity,category,kapt_code,kapt_name,area_group_id,field,current_value,expected_or_reference,issue_description,source,recommended_action,auto_fix_safe,status
ISSUE_0001,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10024875,동대신동 브라운스톤하이포레아파트,,,524,554,세대수 차이 -30세대,,,False,OPEN
ISSUE_0002,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10026034,대신푸르지오아파트,,,932,959,세대수 차이 -27세대,,,False,OPEN
ISSUE_0003,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10024535,대신2차푸르지오,,,783,815,세대수 차이 -32세대,,,False,OPEN
ISSUE_0004,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10028182,대신롯데캐슬아파트,,,673,753,세대수 차이 -80세대,,,False,OPEN
ISSUE_0005,WARNING,MINOR_HOUSEHOLD_DIFFERENCE,A60608002,조양비취맨션,,,628,630,세대수 미세차이 (2세대) 확인 (상가/오피스텔 분리),건축물대장/대장정보,,False,OPEN
ISSUE_0006,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10023616,래미안 어반파크,,,2484,2616,세대수 차이 -132세대,,,False,OPEN
ISSUE_0007,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A61478901,연지자이2차,,,940,1011,세대수 차이 -71세대,,,False,OPEN
ISSUE_0008,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10022574,초읍하늘채포레스원아파트,,,716,756,세대수 차이 -40세대,,,False,OPEN
ISSUE_0009,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10022844,롯데캐슬라센트,,,2079,2195,세대수 차이 -116세대,,,False,OPEN
ISSUE_0010,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10027054,사직롯데캐슬더클래식,,,978,1064,세대수 차이 -86세대,,,False,OPEN
ISSUE_0011,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10022999,대연푸르지오클라센트,,,998,1057,세대수 차이 -59세대,,,False,OPEN
ISSUE_0012,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10025593,대연자이 아파트,,,950,965,세대수 차이 -15세대,,,False,OPEN
ISSUE_0013,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10027989,신화명리버뷰자이아파트,,,717,792,세대수 차이 -75세대,,,False,OPEN
ISSUE_0014,WARNING,MINOR_HOUSEHOLD_DIFFERENCE,A10028138,동원역삼정그린코아,,,526,529,세대수 미세차이 (3세대) 확인 (상가/오피스텔 분리),건축물대장/대장정보,,False,OPEN
ISSUE_0015,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10024341,화명푸르지오헤리센트,,,871,886,세대수 차이 -15세대,,,False,OPEN
ISSUE_0016,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10026484,해운대 자이2차,,,743,813,세대수 차이 -70세대,,,False,OPEN
ISSUE_0017,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A61202011,해운대센텀두산위브,,,531,581,세대수 차이 -50세대,,,False,OPEN
ISSUE_0018,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A61288603,래미안해운대,,,681,747,세대수 차이 -66세대,,,False,OPEN
ISSUE_0019,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A60471810,당리푸르지오,,,494,542,세대수 차이 -48세대,,,False,OPEN
ISSUE_0020,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10023526,힐스테이트연산 아파트,,,1309,1651,세대수 차이 -342세대,,,False,OPEN
ISSUE_0021,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10027159,브라운스톤연제,,,475,521,세대수 차이 -46세대,,,False,OPEN
ISSUE_0022,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A61377106,부산더샵센텀포레,,,920,1006,세대수 차이 -86세대,,,False,OPEN
ISSUE_0023,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10020002,드파인 광안,,,1169,1233,세대수 차이 -64세대,,,False,OPEN
ISSUE_0024,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10023104,사상 중흥S-클래스 그랜드센트럴,,,1492,1572,세대수 차이 -80세대,,,False,OPEN
ISSUE_0025,WARNING,HOUSEHOLD_MISMATCH_SUSPECT,A10023692,웨이브리즈아파트,,,486,728,세대수 차이 -242세대,,,False,OPEN
