kapt_code,kapt_name,legal_dong,address,total_households,approval_date,sale_type,rental_type,evidence_source,exclusion_reason,processing_status,verified_at
A10022985,경동포레스트힐 행복주택 아미,아미동2가,부산광역시 서구 아미동2가 286 경동포레스트힐 행복주택 아미,767,20230901,임대,행복주택,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A60275201,남부민풀리페,남부민동,부산광역시 서구 남부민동 706 남부민풀리페,782,20130625,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A60670101,도시공사동삼2지구영구임대아파트,동삼동,부산광역시 영도구 동삼동 510 도시공사동삼2지구영구임대아파트,1120,19951020,임대,영구임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A60676104,부산동삼1,동삼동,부산광역시 영도구 동삼동 1121 부산동삼1,976,19911115,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A60676205,부산동삼2주공,동삼동,부산광역시 영도구 동삼동 1123 부산동삼2주공,1968,19931020,임대,국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A10025901,부산전포동 사랑으로 부영아파트,전포동,부산광역시 부산진구 전포동 188-9 부산전포동 사랑으로 부영아파트,500,20181130,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A10027340,전포LH아파트,전포동,부산광역시 부산진구 전포동 116 전포LH아파트,794,20161013,임대,LH공공임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61476004,범천LH,범천동,부산광역시 부산진구 범천동 1644 범천LH,533,20130516,임대,LH공공임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61480910,개금2지구도개공임대아파트,개금동,부산광역시 부산진구 개금동 1-1 개금2지구도개공임대아파트,990,19940709,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A60777206,부산안락4휴먼시아,안락동,부산광역시 동래구 안락동 1256 부산안락4휴먼시아,619,20110713,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61674824,부산율리마을,금곡동,부산광역시 북구 금곡동 1882 부산율리마을,840,20040524,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61676118,금곡주공1단지,금곡동,부산광역시 북구 금곡동 53-1 금곡주공1단지,1099,19940813,임대,국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61676215,금곡주공2단지,금곡동,부산광역시 북구 금곡동 98-1 금곡주공2단지,1460,19940813,임대,국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61676422,금곡주공4단지,금곡동,부산광역시 북구 금곡동 1108 금곡주공4단지,1937,19940708,임대,국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61676723,금곡주공7단지,금곡동,부산광역시 북구 금곡동 811 금곡주공7단지,802,19960506,임대,국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61679609,부산만덕3단지 주공아파트,만덕동,부산광역시 북구 만덕동 944-6 부산만덕3단지 주공아파트,1350,20031111,임대,국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61677404,덕천주공2단지,덕천동,부산광역시 북구 덕천동 808 덕천주공2단지,1507,19911030,임대,국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
