kapt_code,kapt_name,legal_dong,kapt_households,candidates_found,matched_kb_id,matched_kb_name,matched_kb_households,match_reason,processing_status,recommended_next_action,verified_at
A60607004,청학영도신도브래뉴,청학동,508,1,22295,영도신도브래뉴,508,도로명 일치 및 세대수 정확 일치 (508세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61475403,양정현대1차아파트,양정동,1733,1,5523,현대(1차),1733,도로명 일치 및 세대수 정확 일치 (1733세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61479104,양정현대2차아파트,양정동,1901,5,5524,현대(2차),1901,도로명 일치 및 세대수 정확 일치 (1901세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61403001,서면센트럴스타,부전동,1360,2,20048,더샵센트럴스타(주상복합),1360,도로명 일치 및 세대수 정확 일치 (1360세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61402003,서면베르빌2,범천동,606,2,13166,서면베르빌Ⅱ,606,도로명 일치 및 세대수 정확 일치 (606세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61409003,일성in4아파트,부암동,546,1,5552,일성인포,546,도로명 일치 및 세대수 정확 일치 (546세대),VERIFIED_KB_REMATCHED,,2026-09-18
A60777205,안락1차SK아파트,안락동,1898,1,5490,안락SK,1898,도로명 일치 및 세대수 정확 일치 (1898세대),VERIFIED_KB_REMATCHED,,2026-09-18
A60701003,동래센트럴파크하이츠2단지,명륜동,680,10,21539,동래센트럴파크하이츠2차,680,도로명 일치 및 세대수 정확 일치 (680세대),VERIFIED_KB_REMATCHED,,2026-09-18
A60701004,명륜아이파크,명륜동,1409,3,,,,,PENDING_NOT_FOUND,CHECK_OFFICIAL_SALE_NOTICE,
A10024005,동래3차 SK VIEW 아파트,온천동,999,3,,,,,PENDING_NOT_FOUND,CHECK_OFFICIAL_SALE_NOTICE,
A10024982,쌍용 더 플래티넘 사직 아시아드,사직동,914,1,29093,쌍용더플래티넘사직아시아드,914,도로명 일치 및 세대수 정확 일치 (914세대),VERIFIED_KB_REMATCHED,,2026-09-18
A60782005,사직삼정그린코아아파트,사직동,874,2,5473,삼정그린코아,874,도로명 일치 및 세대수 정확 일치 (874세대),VERIFIED_KB_REMATCHED,,2026-09-18
A60809003,오륙도SK VIEW,용호동,3000,1,15692,오륙도SK뷰,3000,도로명 일치 및 세대수 정확 일치 (3000세대),VERIFIED_KB_REMATCHED,,2026-09-18
A60883203,일신-님Ⅱ아파트,용호동,710,1,14046,일신님2,710,도로명 일치 및 세대수 정확 일치 (710세대),VERIFIED_KB_REMATCHED,,2026-09-18
A60871104,용당현대I-PARK,용당동,748,6,5368,현대아이파크,748,도로명 일치 및 세대수 정확 일치 (748세대),VERIFIED_KB_REMATCHED,,2026-09-18
A60879704,문현현대아파트,문현동,693,0,,,,,PENDING_NOT_FOUND,CHECK_OFFICIAL_SALE_NOTICE,
A61676814,금곡9단지주공,금곡동,1366,1,36689,"금곡8,9단지주공",1366,도로명 일치 및 세대수 정확 일치 (1366세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61681108,금곡조성협진아파트,금곡동,576,1,36335,"금곡협진태양,조성",576,도로명 일치 및 세대수 정확 일치 (576세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61612011,화명대우이안아파트,화명동,989,1,5657,대우이안,989,도로명 일치 및 세대수 정확 일치 (989세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61612013,화명코오롱하늘채1차아파트,화명동,1280,1,5662,코오롱하늘채1차,1280,도로명 일치 및 세대수 정확 일치 (1280세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61612016,화명수정강변타운,화명동,1780,1,5654,수정강변타운,1780,도로명 일치 및 세대수 정확 일치 (1780세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61673304,화명동원로얄듀크,화명동,1627,2,13016,동원로얄듀크,1627,도로명 일치 및 세대수 정확 일치 (1627세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61679208,화명경남아너스빌,화명동,570,1,5653,경남아너스빌,570,도로명 일치 및 세대수 정확 일치 (570세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61685214,화명코오롱하늘채2차,화명동,1344,1,5646,코오롱하늘채2차,1344,도로명 일치 및 세대수 정확 일치 (1344세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61680705,구포삼정그린코아아파트,구포동,668,1,5594,삼정그린코아,668,도로명 일치 및 세대수 정확 일치 (668세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61273507,반송삼한2차,반송동,848,1,6218,삼한그린타운2차,848,도로명 일치 및 세대수 정확 일치 (848세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61282215,"대우마리나1,2차아파트",우동,1164,1,,,,,PENDING_NOT_FOUND,CHECK_OFFICIAL_SALE_NOTICE,
A61282705,센텀센시빌구새한센시빌,우동,800,1,12309,센텀센시빌,800,도로명 일치 및 세대수 정확 일치 (800세대),VERIFIED_KB_REMATCHED,,2026-09-18
A10025181,해운대 LCT 더샵아파트,중동,882,2,31733,엘시티(주상복합),882,도로명 일치 및 세대수 정확 일치 (882세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61203018,해운대대림2차아파트,좌동,682,0,,,,,PENDING_NOT_FOUND,CHECK_OFFICIAL_SALE_NOTICE,
A61203022,해운대롯데3차아파트,좌동,824,1,6157,롯데(3차),824,도로명 일치 및 세대수 정확 일치 (824세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61203025,해운대벽산1차아파트,좌동,880,1,6133,벽산(1차),880,도로명 일치 및 세대수 정확 일치 (880세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61203029,해운대건영2차아파트,좌동,938,1,6156,건영(2차),938,도로명 일치 및 세대수 정확 일치 (938세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61203033,해운대벽산2차아파트,좌동,1070,1,6134,벽산(2차),1070,도로명 일치 및 세대수 정확 일치 (1070세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61203034,해운대대동타운아파트,좌동,1240,1,6130,대동타운,1240,도로명 일치 및 세대수 정확 일치 (1240세대),VERIFIED_KB_REMATCHED,,2026-09-18
A60402003,하단 SK VIEW 아파트,하단동,1828,1,12610,하단동SK뷰,1828,도로명 일치 및 세대수 정확 일치 (1828세대),VERIFIED_KB_REMATCHED,,2026-09-18
A60474002,장림동원로얄듀크,장림동,1973,1,13085,동원로얄듀크,1973,도로명 일치 및 세대수 정확 일치 (1973세대),VERIFIED_KB_REMATCHED,,2026-09-18
A60474516,장림신세대지큐빌아파트,장림동,990,1,12187,신세대지큐빌,990,도로명 일치 및 세대수 정확 일치 (990세대),VERIFIED_KB_REMATCHED,,2026-09-18
A60405001,다대롯데캐슬몰운대,다대동,3462,1,343677,다대동롯데캐슬몰운대,3462,도로명 일치 및 세대수 정확 일치 (3462세대),VERIFIED_KB_REMATCHED,,2026-09-18
A60482013,다대몰운대아파트,다대동,2960,0,,,,,PENDING_NOT_FOUND,CHECK_OFFICIAL_SALE_NOTICE,
A10027306,대림e편한세상사하1차아파트,구평동,1068,1,29875,e편한세상사하(1차),1068,도로명 일치 및 세대수 정확 일치 (1068세대),VERIFIED_KB_REMATCHED,,2026-09-18
A10027325,구서 SK VIEW 1단지,구서동,532,1,29346,구서SK뷰1단지,532,도로명 일치 및 세대수 정확 일치 (532세대),VERIFIED_KB_REMATCHED,,2026-09-18
A10020264,에코델타 더 베르힐 아파트,강동동,1120,1,804012,에코델타더베르힐,1120,도로명 일치 및 세대수 정확 일치 (1120세대),VERIFIED_KB_REMATCHED,,2026-09-18
A10022696,부산호반써밋스마트시티아파트,강동동,526,1,433181,에코델타호반써밋스마트시티,526,도로명 일치 및 세대수 정확 일치 (526세대),VERIFIED_KB_REMATCHED,,2026-09-18
A10025776,더 힐 시그니처,명지동,1210,1,35316,더힐시그니처,1210,도로명 일치 및 세대수 정확 일치 (1210세대),VERIFIED_KB_REMATCHED,,2026-09-18
A10027953,명지에일린의뜰아파트,명지동,980,1,27117,에일린의뜰,980,도로명 일치 및 세대수 정확 일치 (980세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61881402,명지극동스타클래스,명지동,1124,1,15913,극동스타클래스,1124,도로명 일치 및 세대수 정확 일치 (1124세대),VERIFIED_KB_REMATCHED,,2026-09-18
A10025154,명지화전지구우방아이유쉘아파트,화전동,1515,1,319970,명지화전우방아이유쉘,1515,도로명 일치 및 세대수 정확 일치 (1515세대),PENDING_HOUSEHOLD_MISMATCH,VERIFY_OFFICIAL_HOUSEHOLDS,
A61176709,거제쌍용스윗닷홈아파트,거제동,502,1,5966,쌍용(인텔리전트),502,도로명 일치 및 세대수 정확 일치 (502세대),VERIFIED_KB_REMATCHED,,2026-09-18
A10026902,연산동 일동미라주 더 스타,연산동,624,4,29064,연산동일동미라주더스타,624,도로명 일치 및 세대수 정확 일치 (624세대),VERIFIED_KB_REMATCHED,,2026-09-18
A10027085,센텀리버sk뷰,연산동,529,1,29481,센텀리버SKVIEW,529,도로명 일치 및 세대수 정확 일치 (529세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61313002,망미동the#파크리치,망미동,862,1,15056,더샵파크리치,862,도로명 일치 및 세대수 정확 일치 (862세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61377204,롯데캐슬자이안트아파트,민락동,591,1,12359,롯데캐슬자이언트,591,도로명 일치 및 세대수 정확 일치 (591세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61381805,남천코오롱하늘채골든비치,남천동,987,1,15924,코오롱하늘채골든비치,987,도로명 일치 및 세대수 정확 일치 (987세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61381903,남천뉴비치아파트,남천동,990,1,5915,뉴비치(삼익),990,도로명 일치 및 세대수 정확 일치 (990세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61775401,백양푸른숲입주자대표회의,모라동,900,1,5728,모라주공(4단지),900,도로명 일치 및 세대수 정확 일치 (900세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61776003,괘법2차한신아파트,괘법동,1094,1,5726,괘법한신2차,1094,도로명 일치 및 세대수 정확 일치 (1094세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61776104,주례반도보라매머드아파트,주례동,1206,1,,,,,PENDING_NOT_FOUND,CHECK_OFFICIAL_SALE_NOTICE,
A61783202,신주례2차LG아파트,주례동,874,1,5671,LG신주례(2차),874,도로명 일치 및 세대수 정확 일치 (874세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61783203,LG신주례1단지아파트,주례동,953,1,5571,LG신주례(1차),953,도로명 일치 및 세대수 정확 일치 (953세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61783402,주례현대무지개아파트,주례동,977,1,5672,현대무지개타운,977,도로명 일치 및 세대수 정확 일치 (977세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61778507,엄궁쌍용스윗닷홈,엄궁동,607,1,13777,엄궁동쌍용스윗닷홈,607,도로명 일치 및 세대수 정확 일치 (607세대),VERIFIED_KB_REMATCHED,,2026-09-18
A61990514,기장한신그린코아아파트,기장읍,1131,3,,,,,PENDING_NOT_FOUND,CHECK_OFFICIAL_SALE_NOTICE,
A61970311,기장서부주공아파트,기장읍,702,1,,,,,PENDING_NOT_FOUND,CHECK_OFFICIAL_SALE_NOTICE,
A61990609,기장2주공아파트,기장읍,520,0,,,,,PENDING_NOT_FOUND,CHECK_OFFICIAL_SALE_NOTICE,
A10028081,정관이지더원3차아파트,정관읍,1035,0,,,,,PENDING_NOT_FOUND,CHECK_OFFICIAL_SALE_NOTICE,
A61990110,정관신도시이지더원1차,정관읍,978,1,,,,,PENDING_NOT_FOUND,CHECK_OFFICIAL_SALE_NOTICE,
A61996106,EGthe12차,정관읍,756,0,,,,,PENDING_NOT_FOUND,CHECK_OFFICIAL_SALE_NOTICE,
A61996303,정관신도시 신동아파밀리에,정관읍,655,2,15935,정관신동아파밀리에,655,"동 일치, 유사명칭(0.86) 및 세대수 일치 (655세대)",VERIFIED_KB_REMATCHED,,2026-09-18
A61996306,정관한진해모로,정관읍,763,1,15937,정관신도시한진해모로,763,"동 일치, 유사명칭(0.82) 및 세대수 일치 (763세대)",VERIFIED_KB_REMATCHED,,2026-09-18
