kapt_code,kapt_name,legal_dong,kapt_households,candidates_found,matched_kb_id,matched_kb_name,matched_kb_households,match_reason,processing_status,verified_at,recommended_next_action
A10023963,부산항일동미라주더오션아파트,좌천동,546,4,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A60608303,동삼그린힐,동삼동,2088,1,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A10023625,e편한세상 시민공원 아파트,전포동,1401,2,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A10024602,서면아이파크아파트,전포동,2144,2,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A61404203,서면대우디오빌2,전포동,751,2,13556,서면대우디오빌투,751,도로명 일치 및 세대수 정확 일치 (751세대),VERIFIED_KB_REMATCHED,2026-09-18,
A61409004,타워베르빌,부암동,704,2,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A61481111,신개금LG아파트,개금동,2510,2,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A60802001,대연힐스테이트푸르지오,대연동,2304,5,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A10026391,W 아파트,용호동,1488,1,29506,더블유,1488,도로명 일치 및 세대수 정확 일치 (1488세대),VERIFIED_KB_REMATCHED,2026-09-18,
A60809004,LG메트로시티아파트,용호동,7374,6,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A10024704,문현경동리인,문현동,600,2,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A61673902,율리벽산블루밍,금곡동,589,8,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A10027832,백양디이스트,만덕동,3790,1,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A61609206,구포유림노르웨이숲,구포동,1176,2,13367,유림노르웨이숲,1176,도로명 일치 및 세대수 정확 일치 (1176세대),VERIFIED_KB_REMATCHED,2026-09-18,
A10024249,센텀트루엘 아파트,반여동,531,2,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A61279804,센텀SK뷰,반여동,1374,1,6197,센텀에스케이뷰,1374,도로명 일치 및 세대수 정확 일치 (1374세대),VERIFIED_KB_REMATCHED,2026-09-18,
A10026557,센텀리슈빌 아파트,재송동,753,3,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A61202009,해운대자이,우동,1059,3,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A61274213,해운대롯데아파트,우동,852,1,6104,롯데,852,도로명 일치 및 세대수 정확 일치 (852세대),VERIFIED_KB_REMATCHED,2026-09-18,
A60976502,부곡늘푸른아파트,부곡동,885,1,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A10028117,명지삼정그린코아,명지동,610,2,26489,명지오션시티삼정그린코아,610,도로명 일치 및 세대수 정확 일치 (610세대),VERIFIED_KB_REMATCHED,2026-09-18,
A10025258,아시아드코오롱하늘채,거제동,660,2,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A61175209,연산한양아파트,연산동,1452,6,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A10025075,e편한세상 오션테라스,민락동,1038,4,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A61776303,주례럭키아파트,주례동,2293,1,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
A61777409,구덕대림,학장동,825,1,5701,학장대림(구덕),825,도로명 일치 및 세대수 정확 일치 (825세대),VERIFIED_KB_REMATCHED,2026-09-18,
A61996115,정관이진캐스빌,정관읍,539,2,26361,이진캐스빌,539,법정동 일치 및 이름유사도(0.83) + 세대수 일치 (539세대),VERIFIED_KB_REMATCHED,2026-09-18,
A10023912,일광한신더휴센트럴포레,일광읍,1298,2,,,,,PENDING_LOW_CONFIDENCE,,MANUAL_KB_COMPLEX_SELECTION
