kapt_code,kapt_name,legal_dong,kapt_households,matched_kb_id,matched_kb_name,sale_households_collected,rental_households_excluded,types_found,match_reason,processing_status,recommended_next_action,verified_at
A10024875,동대신동 브라운스톤하이포레아파트,동대신동3가,554,37881,브라운스톤하이포레,524,30,7,도로명 일치 (부산광역시 서구 동대로19번길 32),VERIFIED_FALLBACK,,2026-09-18
A10026034,대신푸르지오아파트,서대신동1가,959,30140,대신푸르지오,932,27,10,도로명 일치 (부산광역시 서구 대영로38번길 11),VERIFIED_FALLBACK,,2026-09-18
A10023704,대신해모로센트럴아파트,서대신동2가,733,47314,대신해모로센트럴,733,0,9,도로명 일치 (부산광역시 서구 대티로 178),VERIFIED_FALLBACK,,2026-09-18
A10024303,영도 센트럴 에일린의뜰,봉래동4가,1216,41388,영도센트럴에일린의뜰,1216,0,12,도로명 일치 (부산광역시 영도구 태종로 172),VERIFIED_FALLBACK,,2026-09-18
A10022267,오션라이프에일린의 뜰,동삼동,1228,312935,오션라이프에일린의뜰1단지,728,500,9,도로명 일치 (부산광역시 영도구 태종로 611),PENDING_MIXED,VERIFY_RENTAL_SPLIT,
A10020870,양정자이더샵SKVIEW,양정동,2276,,,0,0,0,,PENDING_MIXED,VERIFY_RENTAL_SPLIT,
A10023040,양정 포레힐즈 스위첸,양정동,1338,49327,양정포레힐즈스위첸,1262,76,8,도로명 일치 (부산광역시 부산진구 양연로 36),VERIFIED_FALLBACK,,2026-09-18
A10023616,래미안 어반파크,연지동,2616,46155,"래미안어반파크(1,2단지)",2484,132,25,도로명 일치 (부산광역시 부산진구 성지로 37),VERIFIED_FALLBACK,,2026-09-18
A10022574,초읍하늘채포레스원아파트,초읍동,756,384466,초읍하늘채포레스원,716,40,3,도로명 일치 (부산광역시 부산진구 성지로 117),VERIFIED_FALLBACK,,2026-09-18
A10024953,포레나부산초읍,초읍동,1113,36124,포레나부산초읍,1113,0,5,도로명 일치 (부산광역시 부산진구 초연로 6),VERIFIED_FALLBACK,,2026-09-18
A10022844,롯데캐슬라센트,부암동,2195,296298,롯데캐슬라센트,2079,116,7,도로명 일치 (부산광역시 부산진구 백양순환로 75),VERIFIED_FALLBACK,,2026-09-18
A10023627,가야롯데캐슬 골드아너,가야동,935,46580,가야롯데캐슬골드아너,935,0,6,도로명 일치 (부산광역시 부산진구 가야대로 538),VERIFIED_FALLBACK,,2026-09-18
A10025342,e편한세상동래명장,명장동,1384,434284,e편한세상동래명장,1384,0,13,도로명 일치 (부산광역시 동래구 명장로 65),VERIFIED_FALLBACK,,2026-09-18
A10027690,명륜2차아이파크아파트,명륜동,2058,,,0,0,0,,PENDING_MIXED,VERIFY_RENTAL_SPLIT,
A10022002,래미안포레스티지,온천동,4043,438934,래미안포레스티지,4043,0,25,동 일치 및 이름유사도(1.00),VERIFIED_FALLBACK,,2026-09-18
A10023975,동래래미안아이파크아파트,온천동,3853,960029,동래래미안아이파크2단지,1806,2047,13,동 일치 및 이름유사도(0.86),PENDING_MIXED,VERIFY_RENTAL_SPLIT,
A10027054,사직롯데캐슬더클래식,사직동,1064,28722,사직롯데캐슬더클래식,978,86,8,도로명 일치 (부산광역시 동래구 아시아드대로146번길 1),VERIFIED_FALLBACK,,2026-09-18
A10022999,대연푸르지오클라센트,대연동,1057,50324,대연푸르지오클라센트,998,59,7,도로명 일치 (부산광역시 남구 유엔로 81),VERIFIED_FALLBACK,,2026-09-18
A10028145,대연롯데캐슬,대연동,564,30004,대연롯데캐슬레전드,3149,-2585,16,동 일치 및 이름유사도(0.80),PENDING_MIXED,VERIFY_RENTAL_SPLIT,
A10020289,두산위브더제니스 오션시티,우암동,3048,1072481,두산위브더제니스오션시티,3048,0,9,도로명 일치 (부산광역시 남구 유엔로 35),VERIFIED_FALLBACK,,2026-09-18
A10024341,화명푸르지오헤리센트,화명동,886,42231,화명푸르지오헤리센트,871,15,9,도로명 일치 (부산광역시 북구 산성로 28),VERIFIED_FALLBACK,,2026-09-18
A10027790,e편한세상 화명힐스 아파트,화명동,800,28225,이편한세상화명힐스,800,0,7,도로명 일치 (부산광역시 북구 화명대로 68),VERIFIED_FALLBACK,,2026-09-18
A10024318,e편한세상 금정산 아파트,만덕동,1969,41505,e편한세상금정산,1239,730,6,도로명 일치 (부산광역시 북구 상학로 36),PENDING_MIXED,VERIFY_RENTAL_SPLIT,
A10022405,드파인센텀아파트,반여동,750,503420,드파인센텀,750,0,8,도로명 일치 (부산광역시 해운대구 선수촌로 30),VERIFIED_FALLBACK,,2026-09-18
A10026484,해운대 자이2차,우동,813,31062,해운대자이2차,743,70,7,도로명 일치 (부산광역시 해운대구 해운대로469번길 110),VERIFIED_FALLBACK,,2026-09-18
A61202011,해운대센텀두산위브,우동,581,26554,해운대센텀두산위브,531,50,8,도로명 일치 (부산광역시 해운대구 해운대로383번길 93),VERIFIED_FALLBACK,,2026-09-18
A61288603,래미안해운대,중동,747,25695,래미안해운대,681,66,7,도로명 일치 (부산광역시 해운대구 좌동순환로 402),VERIFIED_FALLBACK,,2026-09-18
A10023969,사하한신더휴아파트,괴정동,835,44308,사하한신더휴,835,0,8,도로명 일치 (부산광역시 사하구 사리로 106),VERIFIED_FALLBACK,,2026-09-18
A10025923,스위트팰리스,명지동,908,2092684,스위트팰리스,142,766,4,도로명 일치 (부산광역시 강서구 명지국제5로 165),PENDING_MIXED,VERIFY_RENTAL_SPLIT,
A61872201,부산신호사랑으로부영1차아파트,신호동,1064,28493,부산신호사랑으로부영1차,40,1024,1,동 일치 및 이름유사도(1.00),PENDING_MIXED,VERIFY_RENTAL_SPLIT,
A61872202,부산신호 사랑으로 부영2차아파트,신호동,1388,29233,부산신호사랑으로부영2차,64,1324,1,동 일치 및 이름유사도(1.00),PENDING_MIXED,VERIFY_RENTAL_SPLIT,
A10022890,레이카운티 아파트,거제동,4470,1926321,레이카운티(1단지),1360,3110,4,도로명 일치 (부산광역시 연제구 아시아드대로 39),PENDING_MIXED,VERIFY_RENTAL_SPLIT,
A10023526,힐스테이트연산 아파트,연산동,1651,43374,힐스테이트연산(2단지),1309,342,6,도로명 일치 (부산광역시 연제구 봉수로 2),VERIFIED_FALLBACK,,2026-09-18
A61377106,부산더샵센텀포레,민락동,1006,23666,부산더샵센텀포레,920,86,9,도로명 일치 (부산광역시 수영구 수영로 776),VERIFIED_FALLBACK,,2026-09-18
A10023607,더샵남천프레스티지아파트,남천동,975,46846,더샵남천프레스티지,975,0,10,도로명 일치 (부산광역시 수영구 수영로 389),VERIFIED_FALLBACK,,2026-09-18
A10023571,주례롯데캐슬골드스마트,주례동,998,46964,주례롯데캐슬골드스마트,998,0,6,도로명 일치 (부산광역시 사상구 가야대로255번길 5),VERIFIED_FALLBACK,,2026-09-18
A10023692,웨이브리즈아파트,기장읍,728,47703,웨이브리즈,486,242,5,동 일치 및 이름유사도(1.00),VERIFIED_FALLBACK,,2026-09-18
