kapt_code,kapt_name,legal_dong,kb_complex_id,kb_name,reason_code,reason,match_score,match_confidence,kapt_households,kb_households,types_found,recommended_next_action,source_url
A10024875,동대신동 브라운스톤하이포레아파트,동대신동3가,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,554,,0,,
A10026034,대신푸르지오아파트,서대신동1가,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,959,,0,,
A10023704,대신해모로센트럴아파트,서대신동2가,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,733,,0,,
A10024535,대신2차푸르지오,서대신동2가,38311.0,대신2차푸르지오,HOUSEHOLDS_MISMATCH,"세대수 불일치 (KB합계=783, K-apt=815, 차이=32)",,high,815,,7,,https://kbland.kr/map?complex=38311
A10028182,대신롯데캐슬아파트,서대신동3가,26187.0,대신롯데캐슬,HOUSEHOLDS_MISMATCH,"세대수 불일치 (KB합계=673, K-apt=753, 차이=80)",,high,753,,6,,https://kbland.kr/map?complex=26187
A10022985,경동포레스트힐 행복주택 아미,아미동2가,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,767,,0,,
A60275201,남부민풀리페,남부민동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,782,,0,,
A10023963,부산항일동미라주더오션아파트,좌천동,43695.0,부산항일동미라주더오션1지구,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,546,,0,,
A10024303,영도 센트럴 에일린의뜰,봉래동4가,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,1216,,0,,
A60607004,청학영도신도브래뉴,청학동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,508,,0,,
A10022267,오션라이프에일린의 뜰,동삼동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,1228,,0,,
A60608002,조양비취맨션,동삼동,6065.0,조양비취맨션,HOUSEHOLDS_MISMATCH,"세대수 불일치 (KB합계=628, K-apt=630, 차이=2)",,high,630,,8,,https://kbland.kr/map?complex=6065
A60608303,동삼그린힐,동삼동,293644.0,동삼그린힐,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,2088,,0,,
A60670101,도시공사동삼2지구영구임대아파트,동삼동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1120,,0,,
A60676104,부산동삼1,동삼동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,976,,0,,
A60676205,부산동삼2주공,동삼동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1968,,0,,
A10020870,양정자이더샵SKVIEW,양정동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,2276,,0,,
A10023040,양정 포레힐즈 스위첸,양정동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,1338,,0,,
A61475403,양정현대1차아파트,양정동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1733,,0,,
A61479104,양정현대2차아파트,양정동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1901,,0,,
A10023625,e편한세상 시민공원 아파트,전포동,47081.0,e편한세상시민공원1단지,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,1401,,0,,
A10024602,서면아이파크아파트,전포동,39358.0,서면아이파크1단지,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,2144,,0,,
A10025901,부산전포동 사랑으로 부영아파트,전포동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,500,,0,,
A10027340,전포LH아파트,전포동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,794,,0,,
A61404203,서면대우디오빌2,전포동,17130.0,서면대우디오빌2,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,751,,0,,
A61403001,서면센트럴스타,부전동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1360,,0,,
A61402003,서면베르빌2,범천동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,606,,0,,
A61476004,범천LH,범천동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,533,,0,,
