kapt_code,kapt_name,legal_dong,kapt_households,original_reason_code,recommended_next_action,review_status
A10023963,부산항일동미라주더오션아파트,좌천동,546,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A10022267,오션라이프에일린의 뜰,동삼동,1228,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING
A60608002,조양비취맨션,동삼동,630,HOUSEHOLDS_MISMATCH,VERIFY_OFFICIAL_HOUSEHOLDS,STILL_PENDING
A60608303,동삼그린힐,동삼동,2088,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A10020870,양정자이더샵SKVIEW,양정동,2276,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING
A10023625,e편한세상 시민공원 아파트,전포동,1401,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A10024602,서면아이파크아파트,전포동,2144,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A61409004,타워베르빌,부암동,704,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A61481111,신개금LG아파트,개금동,2510,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A10027690,명륜2차아이파크아파트,명륜동,2058,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING
A60701004,명륜아이파크,명륜동,1409,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A10023975,동래래미안아이파크아파트,온천동,3853,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING
A10024005,동래3차 SK VIEW 아파트,온천동,999,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A10028145,대연롯데캐슬,대연동,564,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING
A60802001,대연힐스테이트푸르지오,대연동,2304,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A60809004,LG메트로시티아파트,용호동,7374,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A10024704,문현경동리인,문현동,600,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A60879704,문현현대아파트,문현동,693,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A10028138,동원역삼정그린코아,금곡동,529,HOUSEHOLDS_MISMATCH,VERIFY_OFFICIAL_HOUSEHOLDS,STILL_PENDING
A61673902,율리벽산블루밍,금곡동,589,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A10024318,e편한세상 금정산 아파트,만덕동,1969,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING
