kapt_code,kapt_name,reason_code,reason_detail,attempted_sources,best_candidate,remaining_problem,recommended_next_action,manual_review_priority,notes
A60608303,동삼그린힐,MATCH,KB 단지 복합 분할(차수/단지 다수) 또는 세대수 차이로 수동 확인 필요,KB intgraSerch (다각도 쿼리),"[{""kb_complex_id"": ""293644"", ""kb_name"": ""동삼그린힐"", ""kb_address"": ""부산광역시 영도구 동삼동"", ""kb_dong"": ""동삼동"", ""kb_road_address"": ""부산광역시 영도구 상리로 1"", ""kb_households"": 4056, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=293644""}]",다중 단지 분할 또는 세대수 차이로 수동 확인 필요,MANUAL_KB_COMPLEX_SELECTION,HIGH,후보 1개 확보
A61409004,타워베르빌,MATCH,KB 단지 복합 분할(차수/단지 다수) 또는 세대수 차이로 수동 확인 필요,KB intgraSerch (다각도 쿼리),"[{""kb_complex_id"": ""13595"", ""kb_name"": ""타워베르빌"", ""kb_address"": ""부산광역시 부산진구 부암동"", ""kb_dong"": ""부암동"", ""kb_road_address"": ""부산광역시 부산진구 시민공원로19번길 65"", ""kb_households"": 566, ""property_type"": ""주상복합"", ""kb_url"": ""https://kbland.kr/map?complex=13595""}, {""kb_complex_id"": ""17134"", ""kb_name"": ""타워베르빌"", ""kb_address"": ""부산광역시 부산진구 부암동"", ""kb_dong"": ""부암동"", ""kb_road_address"": ""부산광역시 부산진구 시민공원로19번길 65"", ""kb_households"": 114, ""property_type"": ""오피스텔"", ""kb_url"": ""https://kbland.kr/map?complex=17134""}]",다중 단지 분할 또는 세대수 차이로 수동 확인 필요,MANUAL_KB_COMPLEX_SELECTION,HIGH,후보 2개 확보
A60809004,LG메트로시티아파트,MATCH,KB 단지 복합 분할(차수/단지 다수) 또는 세대수 차이로 수동 확인 필요,KB intgraSerch (다각도 쿼리),"[{""kb_complex_id"": ""5389"", ""kb_name"": ""LG메트로시티(1차)"", ""kb_address"": ""부산광역시 남구 용호동"", ""kb_dong"": ""용호동"", ""kb_road_address"": ""부산광역시 남구 분포로 111"", ""kb_households"": 2637, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=5389""}, {""kb_complex_id"": ""12245"", ""kb_name"": ""LG메트로시티4-1차"", ""kb_address"": ""부산광역시 남구 용호동"", ""kb_dong"": ""용호동"", ""kb_road_address"": ""부산광역시 남구 분포로 113"", ""kb_households"": 1391, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=12245""}]",다중 단지 분할 또는 세대수 차이로 수동 확인 필요,MANUAL_KB_COMPLEX_SELECTION,HIGH,후보 5개 확보
A61673902,율리벽산블루밍,MATCH,KB 단지 복합 분할(차수/단지 다수) 또는 세대수 차이로 수동 확인 필요,KB intgraSerch (다각도 쿼리),"[{""kb_complex_id"": ""25534"", ""kb_name"": ""율리벽산블루밍1단지"", ""kb_address"": ""부산광역시 북구 금곡동"", ""kb_dong"": ""금곡동"", ""kb_road_address"": ""부산광역시 북구 효열로 1"", ""kb_households"": 470, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=25534""}, {""kb_complex_id"": ""25582"", ""kb_name"": ""율리벽산블루밍2단지"", ""kb_address"": ""부산광역시 북구 금곡동"", ""kb_dong"": ""금곡동"", ""kb_road_address"": ""부산광역시 북구 효열로 2"", ""kb_households"": 119, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=25582""}]",다중 단지 분할 또는 세대수 차이로 수동 확인 필요,MANUAL_KB_COMPLEX_SELECTION,HIGH,후보 6개 확보
A10027832,백양디이스트,MATCH,KB 단지 복합 분할(차수/단지 다수) 또는 세대수 차이로 수동 확인 필요,KB intgraSerch (다각도 쿼리),"[{""kb_complex_id"": ""26496"", ""kb_name"": ""백양디이스트"", ""kb_address"": ""부산광역시 북구 만덕동"", ""kb_dong"": ""만덕동"", ""kb_road_address"": ""부산광역시 북구 덕천로276번길 60"", ""kb_households"": 3160, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=26496""}]",다중 단지 분할 또는 세대수 차이로 수동 확인 필요,MANUAL_KB_COMPLEX_SELECTION,HIGH,후보 1개 확보
A10026557,센텀리슈빌 아파트,MATCH,KB 단지 복합 분할(차수/단지 다수) 또는 세대수 차이로 수동 확인 필요,KB intgraSerch (다각도 쿼리),"[{""kb_complex_id"": ""29529"", ""kb_name"": ""센텀리슈빌2단지"", ""kb_address"": ""부산광역시 해운대구 재송동"", ""kb_dong"": ""재송동"", ""kb_road_address"": ""부산광역시 해운대구 해운대로76번길 40"", ""kb_households"": 502, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=29529""}, {""kb_complex_id"": ""29528"", ""kb_name"": ""센텀리슈빌1단지"", ""kb_address"": ""부산광역시 해운대구 재송동"", ""kb_dong"": ""재송동"", ""kb_road_address"": ""부산광역시 해운대구 해운대로76번길 40"", ""kb_households"": 251, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=29528""}]",다중 단지 분할 또는 세대수 차이로 수동 확인 필요,MANUAL_KB_COMPLEX_SELECTION,HIGH,후보 3개 확보
A61202009,해운대자이,MATCH,KB 단지 복합 분할(차수/단지 다수) 또는 세대수 차이로 수동 확인 필요,KB intgraSerch (다각도 쿼리),"[{""kb_complex_id"": ""24388"", ""kb_name"": ""해운대자이1단지"", ""kb_address"": ""부산광역시 해운대구 우동"", ""kb_dong"": ""우동"", ""kb_road_address"": ""부산광역시 해운대구 해운대로 435"", ""kb_households"": 935, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=24388""}, {""kb_complex_id"": ""31062"", ""kb_name"": ""해운대자이2차"", ""kb_address"": ""부산광역시 해운대구 우동"", ""kb_dong"": ""우동"", ""kb_road_address"": ""부산광역시 해운대구 해운대로469번길 110"", ""kb_households"": 813, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=31062""}]",다중 단지 분할 또는 세대수 차이로 수동 확인 필요,MANUAL_KB_COMPLEX_SELECTION,HIGH,후보 3개 확보
A60976502,부곡늘푸른아파트,MATCH,KB 단지 복합 분할(차수/단지 다수) 또는 세대수 차이로 수동 확인 필요,KB intgraSerch (다각도 쿼리),"[{""kb_complex_id"": ""5280"", ""kb_name"": ""부곡늘푸른"", ""kb_address"": ""부산광역시 금정구 부곡동"", ""kb_dong"": ""부곡동"", ""kb_road_address"": ""부산광역시 금정구 동현로 89"", ""kb_households"": 1288, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=5280""}]",다중 단지 분할 또는 세대수 차이로 수동 확인 필요,MANUAL_KB_COMPLEX_SELECTION,HIGH,후보 1개 확보
A10025258,아시아드코오롱하늘채,MATCH,KB 단지 복합 분할(차수/단지 다수) 또는 세대수 차이로 수동 확인 필요,KB intgraSerch (다각도 쿼리),"[{""kb_complex_id"": ""46817"", ""kb_name"": ""아시아드코오롱하늘채"", ""kb_address"": ""부산광역시 연제구 거제동"", ""kb_dong"": ""거제동"", ""kb_road_address"": ""부산광역시 연제구 종합운동장로28번길 7"", ""kb_households"": 352, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=46817""}, {""kb_complex_id"": ""1076755"", ""kb_name"": ""엘유타워(민간임대)"", ""kb_address"": ""부산광역시 연제구 거제동"", ""kb_dong"": ""거제동"", ""kb_road_address"": ""부산광역시 연제구 종합운동장로28번길 16"", ""kb_households"": 14, ""property_type"": ""오피스텔"", ""kb_url"": ""https://kbland.kr/map?complex=1076755""}]",다중 단지 분할 또는 세대수 차이로 수동 확인 필요,MANUAL_KB_COMPLEX_SELECTION,HIGH,후보 2개 확보
A61175209,연산한양아파트,MATCH,KB 단지 복합 분할(차수/단지 다수) 또는 세대수 차이로 수동 확인 필요,KB intgraSerch (다각도 쿼리),"[{""kb_complex_id"": ""6019"", ""kb_name"": ""한양"", ""kb_address"": ""부산광역시 연제구 연산동"", ""kb_dong"": ""연산동"", ""kb_road_address"": ""부산광역시 연제구 온천천남로 110"", ""kb_households"": 504, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=6019""}, {""kb_complex_id"": ""6010"", ""kb_name"": ""한양4차"", ""kb_address"": ""부산광역시 연제구 연산동"", ""kb_dong"": ""연산동"", ""kb_road_address"": ""부산광역시 연제구 온천천남로 110"", ""kb_households"": 284, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=6010""}]",다중 단지 분할 또는 세대수 차이로 수동 확인 필요,MANUAL_KB_COMPLEX_SELECTION,HIGH,후보 6개 확보
A10025075,e편한세상 오션테라스,MATCH,KB 단지 복합 분할(차수/단지 다수) 또는 세대수 차이로 수동 확인 필요,KB intgraSerch (다각도 쿼리),"[{""kb_complex_id"": ""38321"", ""kb_name"": ""e편한세상오션테라스3단지"", ""kb_address"": ""부산광역시 수영구 민락동"", ""kb_dong"": ""민락동"", ""kb_road_address"": ""부산광역시 수영구 광안해변로326번길 32"", ""kb_households"": 316, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=38321""}, {""kb_complex_id"": ""38322"", ""kb_name"": ""e편한세상오션테라스4단지"", ""kb_address"": ""부산광역시 수영구 민락동"", ""kb_dong"": ""민락동"", ""kb_road_address"": ""부산광역시 수영구 광안해변로326번길 31"", ""kb_households"": 308, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=38322""}]",다중 단지 분할 또는 세대수 차이로 수동 확인 필요,MANUAL_KB_COMPLEX_SELECTION,HIGH,후보 4개 확보
A61776303,주례럭키아파트,MATCH,KB 단지 복합 분할(차수/단지 다수) 또는 세대수 차이로 수동 확인 필요,KB intgraSerch (다각도 쿼리),"[{""kb_complex_id"": ""5670"", ""kb_name"": ""럭키주례"", ""kb_address"": ""부산광역시 사상구 주례동"", ""kb_dong"": ""주례동"", ""kb_road_address"": ""부산광역시 사상구 가야대로284번길 12"", ""kb_households"": 1962, ""property_type"": ""아파트"", ""kb_url"": ""https://kbland.kr/map?complex=5670""}]",다중 단지 분할 또는 세대수 차이로 수동 확인 필요,MANUAL_KB_COMPLEX_SELECTION,HIGH,후보 1개 확보
A60701004,명륜아이파크,NOT_FOUND,KB 단지 미등재 확인,"KB, 도로명주소 역탐색",,공식 입주자모집공고 확인 필요,CHECK_OFFICIAL_SALE_NOTICE,HIGH,
A10025154,명지화전지구우방아이유쉘아파트,NOT_FOUND,KB 단지 미등재 확인,"KB, 도로명주소 역탐색",,공식 입주자모집공고 확인 필요,CHECK_OFFICIAL_SALE_NOTICE,HIGH,
