kapt_code,kapt_name,legal_dong,kapt_households,original_reason_code,recommended_next_action,review_status,sigungu_kapt,bjd_code,road_address,legal_address,total_households,sale_type,approval_date,audit_status,master_overlap,rental_overlap,is_duplicate
A10023963,부산항일동미라주더오션아파트,좌천동,546,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,동구,2617010300,부산광역시 동구 자성로 2,부산광역시 동구 좌천동 120 부산항일동미라주더오션아파트,546.0,분양,20211230,AUDIT_PASSED,False,False,False
A10022267,오션라이프에일린의 뜰,동삼동,1228,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING,영도구,2620012100,부산광역시 영도구 태종로 611,부산광역시 영도구 동삼동 383-1 오션라이프에일린의 뜰,0.0,혼합,20230628,AUDIT_PASSED,False,False,False
A60608002,조양비취맨션,동삼동,630,HOUSEHOLDS_MISMATCH,VERIFY_OFFICIAL_HOUSEHOLDS,STILL_PENDING,영도구,2620012100,부산광역시 영도구 절영로 504,부산광역시 영도구 동삼동 656 조양비취맨션,630.0,분양,19851221,AUDIT_PASSED,False,False,False
A60608303,동삼그린힐,동삼동,2088,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,영도구,2620012100,부산광역시 영도구 상리로 1,부산광역시 영도구 동삼동 1123 동삼그린힐,2088.0,분양,19930922,AUDIT_PASSED,False,False,False
A10020870,양정자이더샵SKVIEW,양정동,2276,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING,부산진구,2623010100,부산광역시 부산진구 진남로 554,부산광역시 부산진구 양정동 73-7 양정자이더샵SKVIEW,0.0,혼합,20250124,AUDIT_PASSED,False,False,False
A10023625,e편한세상 시민공원 아파트,전포동,1401,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,부산진구,2623010200,부산광역시 부산진구 진남로 460,부산광역시 부산진구 전포동 927 e편한세상 시민공원 아파트,1401.0,분양,20220929,AUDIT_PASSED,False,False,False
A10024602,서면아이파크아파트,전포동,2144,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,부산진구,2623010200,부산광역시 부산진구 동성로 50,부산광역시 부산진구 전포동 268 서면아이파크아파트,2144.0,분양,20201016,AUDIT_PASSED,False,False,False
A61409004,타워베르빌,부암동,704,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,부산진구,2623010800,부산광역시 부산진구 시민공원로19번길 65,부산광역시 부산진구 부암동 48-3 타워베르빌,704.0,분양,20051115,AUDIT_PASSED,False,False,False
A61481111,신개금LG아파트,개금동,2510,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,부산진구,2623011100,부산광역시 부산진구 백양대로300번길 20,부산광역시 부산진구 개금동 455 신개금LG아파트,2510.0,분양,19981102,AUDIT_PASSED,False,False,False
A10027690,명륜2차아이파크아파트,명륜동,2058,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING,동래구,2626010700,부산광역시 동래구 시실로 48,부산광역시 동래구 명륜동 100 명륜2차아이파크아파트,2058.0,혼합,20151130,AUDIT_PASSED,False,False,False
A60701004,명륜아이파크,명륜동,1409,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,동래구,2626010700,부산광역시 동래구 명륜로 170,부산광역시 동래구 명륜동 757 명륜아이파크,1409.0,분양,20131230,AUDIT_PASSED,False,False,False
A10023975,동래래미안아이파크아파트,온천동,3853,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING,동래구,2626010800,부산광역시 동래구 충렬대로107번길 65,부산광역시 동래구 온천동 1853 동래래미안아이파크아파트,3853.0,혼합,20220614,AUDIT_PASSED,False,False,False
A10024005,동래3차 SK VIEW 아파트,온천동,999,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,동래구,2626010800,부산광역시 동래구 온천장로65번길 9,부산광역시 동래구 온천동 183-3 동래3차 SK VIEW 아파트,999.0,분양,20211206,AUDIT_PASSED,False,False,False
A10028145,대연롯데캐슬,대연동,564,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING,남구,2629010600,부산광역시 남구 수영로325번길 61,부산광역시 남구 대연동 158 대연롯데캐슬,564.0,혼합,20150112,AUDIT_PASSED,False,False,False
A60802001,대연힐스테이트푸르지오,대연동,2304,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,남구,2629010600,부산광역시 남구 수영로 345,부산광역시 남구 대연동 1858 대연힐스테이트푸르지오,2304.0,분양,20130531,AUDIT_PASSED,False,False,False
A60809004,LG메트로시티아파트,용호동,7374,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,남구,2629010700,부산광역시 남구 분포로 113,부산광역시 남구 용호동 176-30 LG메트로시티아파트,7374.0,분양,20010616,AUDIT_PASSED,False,False,False
A10024704,문현경동리인,문현동,600,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,남구,2629010900,부산광역시 남구 문현로 36-1,부산광역시 남구 문현동 1244 문현경동리인,600.0,분양,20200728,AUDIT_PASSED,False,False,False
A60879704,문현현대아파트,문현동,693,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,남구,2629010900,부산광역시 남구 진남로198번길 9-1,부산광역시 남구 문현동 73-1 문현현대아파트,693.0,분양,19980629,AUDIT_PASSED,False,False,False
A10028138,동원역삼정그린코아,금곡동,529,HOUSEHOLDS_MISMATCH,VERIFY_OFFICIAL_HOUSEHOLDS,STILL_PENDING,북구,2632010100,부산광역시 북구 효열로 135,부산광역시 북구 금곡동 832 동원역삼정그린코아,529.0,분양,20141211,AUDIT_PASSED,False,False,False
A61673902,율리벽산블루밍,금곡동,589,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,북구,2632010100,부산광역시 북구 효열로 1,부산광역시 북구 금곡동 1915 율리벽산블루밍,589.0,분양,20140329,AUDIT_PASSED,False,False,False
A10024318,e편한세상 금정산 아파트,만덕동,1969,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING,북구,2632010300,부산광역시 북구 상학로 36,부산광역시 북구 만덕동 818 e편한세상 금정산 아파트,1969.0,혼합,20210412,AUDIT_PASSED,False,False,False
A10027832,백양디이스트,만덕동,3790,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,북구,2632010300,부산광역시 북구 덕천로276번길 60,부산광역시 북구 만덕동 955 백양디이스트,3790.0,분양,20151021,AUDIT_PASSED,False,False,False
A10024249,센텀트루엘 아파트,반여동,531,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,해운대구,2635010300,부산광역시 해운대구 삼어로133번나길 17,부산광역시 해운대구 반여동 1676 센텀트루엘 아파트,531.0,분양,20190725,AUDIT_PASSED,False,False,False
A10026557,센텀리슈빌 아파트,재송동,753,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,해운대구,2635010400,부산광역시 해운대구 해운대로76번길 40,부산광역시 해운대구 재송동 938 센텀리슈빌 아파트,0.0,분양,20171222,AUDIT_PASSED,False,False,False
A61202009,해운대자이,우동,1059,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,해운대구,2635010500,부산광역시 해운대구 해운대로 435,부산광역시 해운대구 우동 1527 해운대자이,1059.0,분양,20130222,AUDIT_PASSED,False,False,False
A61282215,"대우마리나1,2차아파트",우동,1164,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,해운대구,2635010500,부산광역시 해운대구 해운대해변로 117,"부산광역시 해운대구 우동 1388-4 대우마리나1,2차아파트",1164.0,분양,19910621,AUDIT_PASSED,False,False,False
A61203018,해운대대림2차아파트,좌동,682,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,해운대구,2635010700,부산광역시 해운대구 대천로103번길 9,부산광역시 해운대구 좌동 1286 해운대대림2차아파트,682.0,분양,19970327,AUDIT_PASSED,False,False,False
A60472901,다대푸르지오,다대동,972,HOUSEHOLDS_MISMATCH,VERIFY_OFFICIAL_HOUSEHOLDS,STILL_PENDING,사하구,2638010600,부산광역시 사하구 윤공단로 123,부산광역시 사하구 다대동 1667 다대푸르지오,972.0,분양,20120928,AUDIT_PASSED,False,False,False
A60482013,다대몰운대아파트,다대동,2960,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,사하구,2638010600,부산광역시 사하구 다대낙조2길 12,부산광역시 사하구 다대동 1550 다대몰운대아파트,2960.0,분양,19960110,AUDIT_PASSED,False,False,False
A60976502,부곡늘푸른아파트,부곡동,885,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,금정구,2641010900,부산광역시 금정구 동현로 77,부산광역시 금정구 부곡동 957 부곡늘푸른아파트,885.0,분양,19910603,AUDIT_PASSED,False,False,False
A10020378,에코델타시티 푸르지오린,강동동,895,HOUSEHOLDS_MISMATCH,VERIFY_OFFICIAL_HOUSEHOLDS,STILL_PENDING,강서구,2644010300,부산광역시 강서구 에코델타3로 43,부산광역시 강서구 강동동 27- 에코델타시티 푸르지오린,0.0,분양,20250926,AUDIT_PASSED,False,False,False
A10025923,스위트팰리스,명지동,908,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING,강서구,2644010400,부산광역시 강서구 명지국제5로 165,부산광역시 강서구 명지동 3325 스위트팰리스,908.0,혼합,20181121,AUDIT_PASSED,False,False,False
A10025154,명지화전지구우방아이유쉘아파트,화전동,1515,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,강서구,2644011000,부산광역시 강서구 화전산단4로 74,부산광역시 강서구 화전동 558 명지화전지구우방아이유쉘아파트,1515.0,분양,20200221,AUDIT_PASSED,False,False,False
A61872201,부산신호사랑으로부영1차아파트,신호동,1064,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING,강서구,2644011700,부산광역시 강서구 신호삼로 27,부산광역시 강서구 신호동 296-1 부산신호사랑으로부영1차아파트,1064.0,혼합,20131231,AUDIT_PASSED,False,False,False
A61872202,부산신호 사랑으로 부영2차아파트,신호동,1388,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING,강서구,2644011700,부산광역시 강서구 신호사로 27,부산광역시 강서구 신호동 298-1 부산신호 사랑으로 부영2차아파트,1388.0,혼합,20140626,AUDIT_PASSED,False,False,False
A10022890,레이카운티 아파트,거제동,4470,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING,연제구,2647010100,부산광역시 연제구 아시아드대로 39,부산광역시 연제구 거제동 1536- 레이카운티 아파트,0.0,혼합,20231129,AUDIT_PASSED,False,False,False
A10025258,아시아드코오롱하늘채,거제동,660,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,연제구,2647010100,부산광역시 연제구 종합운동장로28번길 7,부산광역시 연제구 거제동 890-1 아시아드코오롱하늘채,660.0,분양,20191008,AUDIT_PASSED,False,False,False
