kapt_code,kapt_name,legal_dong,road_address,kapt_households,matched_kb_id,matched_kb_name,sale_households_collected,rental_households_excluded,types_found,match_reason,processing_status,recommended_next_action,verified_at
A10022267,오션라이프에일린의 뜰,동삼동,부산광역시 영도구 태종로 611,0,312935+312936,오션라이프에일린의뜰1단지+오션라이프에일린의뜰2단지,1228,0,14,오션라이프에일린의뜰 1단지(728) + 2단지(500) 신축 공식 공급 1228세대 확정,VERIFIED_MIXED_SPLIT,NONE,2026-09-18
A10020870,양정자이더샵SKVIEW,양정동,부산광역시 부산진구 진남로 554,0,654990,양정자이더샵SK뷰,2276,0,19,양정자이더샵SK뷰 신축 공식 공급 2276세대 확정,VERIFIED_MIXED_SPLIT,NONE,2026-09-18
A10027690,명륜2차아이파크아파트,명륜동,부산광역시 동래구 시실로 48,2058,27264+27267,명륜2차IPARK1단지+명륜2차IPARK2단지,1882,176,14,명륜2차아이파크 1단지(1609) + 2단지(449) 분양 합계 2058세대 100% 일치 확인,VERIFIED_MIXED_SPLIT,NONE,2026-09-18
A10023975,동래래미안아이파크아파트,온천동,부산광역시 동래구 충렬대로107번길 65,3853,960029+960030+956217,"동래래미안아이파크2단지+동래래미안아이파크3단지+동래래미안아이파크1,4단지",3853,0,30,동래래미안아이파크 1~4단지 분양 합계 3853세대 100% 일치 확인,VERIFIED_MIXED_SPLIT,NONE,2026-09-18
A10028145,대연롯데캐슬,대연동,부산광역시 남구 수영로325번길 61,564,26365,대연롯데캐슬,514,50,6,대연롯데캐슬 분양 564세대 100% 일치 확인,VERIFIED_MIXED_SPLIT,NONE,2026-09-18
A10024318,e편한세상 금정산 아파트,만덕동,부산광역시 북구 상학로 36,1969,41505,e편한세상금정산,1239,730,6,e편한세상 금정산 분양 1969세대 100% 일치 확인,VERIFIED_MIXED_SPLIT,NONE,2026-09-18
A10025923,스위트팰리스,명지동,부산광역시 강서구 명지국제5로 165,908,2092684,스위트팰리스,142,766,4,스위트팰리스 분양 908세대 100% 일치 확인,VERIFIED_MIXED_SPLIT,NONE,2026-09-18
A61872201,부산신호사랑으로부영1차아파트,신호동,부산광역시 강서구 신호삼로 27,1064,28493,부산신호사랑으로부영1차,40,1024,1,신호사랑으로부영1차 분양 1064세대 100% 일치 확인,VERIFIED_MIXED_SPLIT,NONE,2026-09-18
A61872202,부산신호 사랑으로 부영2차아파트,신호동,부산광역시 강서구 신호사로 27,1388,29233,부산신호사랑으로부영2차,64,1324,1,신호사랑으로부영2차 분양 1388세대 100% 일치 확인,VERIFIED_MIXED_SPLIT,NONE,2026-09-18
A10022890,레이카운티 아파트,거제동,부산광역시 연제구 아시아드대로 39,0,1926321+1926323+1926459+1926460+1926461,레이카운티(1단지)+레이카운티(2단지)+레이카운티(3단지)+레이카운티(4단지)+레이카운티5단지,4470,0,23,레이카운티 1~5단지 신축 공식 공급 합계 4470세대 확정,VERIFIED_MIXED_SPLIT,NONE,2026-09-18
