kapt_code,kapt_name,category,field,current_value,recommended_action,auto_fix_safe
A10024875,동대신동 브라운스톤하이포레아파트,HOUSEHOLD_MISMATCH_SUSPECT,,524,,False
A10026034,대신푸르지오아파트,HOUSEHOLD_MISMATCH_SUSPECT,,932,,False
A10024535,대신2차푸르지오,HOUSEHOLD_MISMATCH_SUSPECT,,783,,False
A10028182,대신롯데캐슬아파트,HOUSEHOLD_MISMATCH_SUSPECT,,673,,False
A60608002,조양비취맨션,MINOR_HOUSEHOLD_DIFFERENCE,,628,,False
A10023616,래미안 어반파크,HOUSEHOLD_MISMATCH_SUSPECT,,2484,,False
A61478901,연지자이2차,HOUSEHOLD_MISMATCH_SUSPECT,,940,,False
A10022574,초읍하늘채포레스원아파트,HOUSEHOLD_MISMATCH_SUSPECT,,716,,False
A10022844,롯데캐슬라센트,HOUSEHOLD_MISMATCH_SUSPECT,,2079,,False
A10027054,사직롯데캐슬더클래식,HOUSEHOLD_MISMATCH_SUSPECT,,978,,False
A10022999,대연푸르지오클라센트,HOUSEHOLD_MISMATCH_SUSPECT,,998,,False
A10025593,대연자이 아파트,HOUSEHOLD_MISMATCH_SUSPECT,,950,,False
A10027989,신화명리버뷰자이아파트,HOUSEHOLD_MISMATCH_SUSPECT,,717,,False
A10028138,동원역삼정그린코아,MINOR_HOUSEHOLD_DIFFERENCE,,526,,False
A10024341,화명푸르지오헤리센트,HOUSEHOLD_MISMATCH_SUSPECT,,871,,False
A10026484,해운대 자이2차,HOUSEHOLD_MISMATCH_SUSPECT,,743,,False
A61202011,해운대센텀두산위브,HOUSEHOLD_MISMATCH_SUSPECT,,531,,False
A61288603,래미안해운대,HOUSEHOLD_MISMATCH_SUSPECT,,681,,False
A60471810,당리푸르지오,HOUSEHOLD_MISMATCH_SUSPECT,,494,,False
A10023526,힐스테이트연산 아파트,HOUSEHOLD_MISMATCH_SUSPECT,,1309,,False
A10027159,브라운스톤연제,HOUSEHOLD_MISMATCH_SUSPECT,,475,,False
A61377106,부산더샵센텀포레,HOUSEHOLD_MISMATCH_SUSPECT,,920,,False
A10020002,드파인 광안,HOUSEHOLD_MISMATCH_SUSPECT,,1169,,False
A10023104,사상 중흥S-클래스 그랜드센트럴,HOUSEHOLD_MISMATCH_SUSPECT,,1492,,False
A10023692,웨이브리즈아파트,HOUSEHOLD_MISMATCH_SUSPECT,,486,,False
