month,kapt_code,complex_name,sigungu,dong,households,confirmed_households,priced_households,household_coverage,price_coverage,share_3m,share_6m,share_12m,market_cap_krw,partial_cap_krw,per_household_krw,market_cap_1m_krw,small_sample_1m,grade,reason,composition_hash,method_signature,historical_limit,initial_history_short,input_hash,rules_hash,master_hash,run_id,executed_at
2026-08,A10024328,동대신역비스타동원아파트,서구,동대신동1가,503.0,503,0,1.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,가격 부족 또는 면적 연결 미확인,5fd85924d52b251424df53154c43ee8939a6b3fc5b21b19e89ba42a80d6fdc18,"[[""exclusive_39.74"", ""unavailable""], [""exclusive_59.99"", ""unavailable""], [""exclusive_73.9"", ""unavailable""], [""exclusive_74.45"", ""unavailable""], [""exclusive_84.42"", ""unavailable""], [""exclusive_84.51"", ""unavailable""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00
2026-08,A10024875,동대신동 브라운스톤하이포레아파트,서구,동대신동3가,554.0,524,497,0.9458483754512635,0.8971119133574007,0.0,0.5126353790613718,0.3844765342960289,,237888000000.0,,,True,산정 불완전,평형 세대수 합계 불일치; 임대·혼합 또는 분양 범위 미확인; 가격 부족 또는 면적 연결 미확인,f590b3dec6fcbd0066a04069b4db04c29d3b7104553d19e24bc6b4cd00f63e94,"[[""exclusive_59.92"", ""small_sample""], [""exclusive_59.96"", ""median_12m""], [""exclusive_74.44"", ""median_12m""], [""exclusive_74.9"", ""median_12m""], [""exclusive_74.43"", ""unavailable""], [""exclusive_84.95"", ""median_6m""], [""exclusive_84.94"", ""median_6m""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00
2026-08,A10026034,대신푸르지오아파트,서구,서대신동1가,959.0,932,0,0.9718456725755996,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형 세대수 합계 불일치; 임대·혼합 또는 분양 범위 미확인; 가격 부족 또는 면적 연결 미확인,97800760b32aba0eb3b6870d672f38c19dc40816a602e984ed4bd456b707c538,"[[""exclusive_39.93"", ""unavailable""], [""exclusive_59.87"", ""unavailable""], [""exclusive_74.61"", ""unavailable""], [""exclusive_84.72"", ""unavailable""], [""exclusive_84.65"", ""unavailable""], [""exclusive_84.94"", ""unavailable""], [""exclusive_102.79"", ""unavailable""], [""exclusive_115.82"", ""unavailable""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00
2026-08,A10023704,대신해모로센트럴아파트,서구,서대신동2가,733.0,733,0,1.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,임대·혼합 또는 분양 범위 미확인; 가격 부족 또는 면적 연결 미확인,0da10352000d4ff1e8e5c30d1f2012ba1ef4c4a9d771e322291483890f9dc24d,"[[""exclusive_39.99"", ""unavailable""], [""exclusive_49.83"", ""unavailable""], [""exclusive_59.78"", ""unavailable""], [""exclusive_67.67"", ""unavailable""], [""exclusive_76.95"", ""unavailable""], [""exclusive_76.52"", ""unavailable""], [""exclusive_84.94"", ""unavailable""], [""exclusive_83.89"", ""unavailable""], [""exclusive_114.8"", ""unavailable""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00
2026-08,A10024535,대신2차푸르지오,서구,서대신동2가,815.0,783,0,0.9607361963190184,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형 세대수 합계 불일치; 가격 부족 또는 면적 연결 미확인,d8be931ae1e260d61d01cd66b43730ec43b71069242a5ee44a72592a0782c7b5,"[[""exclusive_39.53"", ""unavailable""], [""exclusive_59.92"", ""unavailable""], [""exclusive_72.53"", ""unavailable""], [""exclusive_84.95"", ""unavailable""], [""exclusive_84.92"", ""unavailable""], [""exclusive_98.65"", ""unavailable""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00
2026-08,A10028182,대신롯데캐슬아파트,서구,서대신동3가,753.0,673,0,0.8937583001328021,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형 세대수 합계 불일치; 가격 부족 또는 면적 연결 미확인,c97e1926c9902aded95fbc81b3fa94423814596c13a0410b75eb3fcefb7d920f,"[[""exclusive_59.88"", ""unavailable""], [""exclusive_84.78"", ""unavailable""], [""exclusive_84.99"", ""unavailable""], [""exclusive_102.78"", ""unavailable""], [""exclusive_129.71"", ""unavailable""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00
2026-08,A60275104,남성한빛아파트,서구,서대신동3가,564.0,564,564,1.0,1.0,0.4326241134751773,0.0,0.5673758865248227,120292000000.0,120292000000.0,213283687.9432624,,True,D,,62ae1dbf078186ae13ee53353b15424eb7462986c5b1b2b4fc3cbe2e0ee034f0,"[[""exclusive_59.34"", ""median_3m""], [""exclusive_84.96"", ""median_12m""], [""exclusive_119.37"", ""small_sample""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00
2026-08,A60270501,부민e-편한세상아파트,서구,부민동3가,613.0,613,501,1.0,0.8172920065252854,0.3295269168026101,0.48776508972267535,0.0,,109542000000.0,,,True,산정 불완전,가격 부족 또는 면적 연결 미확인,24674f8b49624e9dc183a26619876a8098f9547048d3b9c377d4832e32f1470d,"[[""exclusive_60"", ""median_3m""], [""exclusive_85"", ""median_6m""], [""exclusive_117.59"", ""unavailable""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00
2026-08,A10022985,경동포레스트힐 행복주택 아미,서구,아미동2가,767.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인,c38eb7731a2edbf2c405dc922468ded84aa651100a03e86668e60fb8b6b0b8e7,[],현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00
2026-08,A60275201,남부민풀리페,서구,남부민동,782.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,True,산정 불완전,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인,c38eb7731a2edbf2c405dc922468ded84aa651100a03e86668e60fb8b6b0b8e7,[],현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00
