elementary_school_id,elementary_school_name,middle_school_id,middle_school_name,relation_type,relation_status,assignment_share,override_reason,override_source,updated_at
S020001905,센텀초,S020001910,센텀중,EXACT,ACTIVE,1.0,수기보정,수기보정,2026-09-09T20:58:38.370970+09:00
S020001905,센텀초,S020001641,재송중,GROUP_MEMBERSHIP,EXCLUDED_NOT_APPLICABLE,0.0,수기보정,수기보정,2026-09-09T20:58:38.370970+09:00
S020001905,센텀초,S020001640,재송여자중,GROUP_MEMBERSHIP,EXCLUDED_NOT_APPLICABLE,0.0,수기보정,수기보정,2026-09-09T20:58:38.370970+09:00
S020000830,여고초,S020000789,여명중,ELIGIBLE,ACTIVE,1.0,수기보정,수기보정,2026-09-09T21:05:55.015284+09:00
S020000830,여고초,S020000983,이사벨중,ELIGIBLE,EXCLUDED_NOT_APPLICABLE,0.0,수기보정,수기보정,2026-09-09T21:05:55.015284+09:00
S020000830,여고초,S020000793,온천중,ELIGIBLE,EXCLUDED_NOT_APPLICABLE,0.0,수기보정,수기보정,2026-09-09T21:05:55.015284+09:00
S020001002,남문초,S020000789,여명중,ELIGIBLE,ACTIVE,0.5,수기보정,수기보정,2026-09-09T21:07:33.164047+09:00
S020001002,남문초,S020000959,거제여중,ELIGIBLE,ACTIVE,0.3,수기보정,수기보정,2026-09-09T21:07:33.164047+09:00
S020001002,남문초,S020000983,이사벨여중,ELIGIBLE,ACTIVE,0.2,수기보정,수기보정,2026-09-09T21:07:33.164047+09:00
S020001002,남문초,S020000958,거성중,ELIGIBLE,EXCLUDED_NOT_APPLICABLE,0.0,수기보정,수기보정,2026-09-09T21:07:33.164047+09:00
S020002045,용소초,S020000606,대연중,GROUP_MEMBERSHIP,EXCLUDED_NOT_APPLICABLE,,수기보정,수기보정,2026-09-10T16:41:51.779300+09:00
S020002045,용소초,S020000607,대천중,ELIGIBLE,ACTIVE,0.5,용소초 복수 배정가능 관계로 정정; 기존 확인 비율 보존,수기보정,2026-09-10T16:41:51.779300+09:00
S020002045,용소초,S020000604,남천중,ELIGIBLE,ACTIVE,0.5,용소초 복수 배정가능 관계로 정정; 기존 확인 비율 보존,수기보정,2026-09-10T16:41:51.779300+09:00
S020002045,용소초,S020000624,해연중,ELIGIBLE,EXCLUDED_NOT_APPLICABLE,,수기보정,수기보정,2026-09-10T16:41:51.779300+09:00
S020001235,가락초,S020001210,낙동중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 76,2026-09-11T10:11:25.609479+09:00
S020001237,감전초,S020001231,주례중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 3,2026-09-11T10:11:25.609479+09:00
