apartment_id,apartment_name,legal_dong,gu,household_count,school_premium_core_score,school_premium_confidence,recent_market_price,baseline_non_school_price,expected_school_premium_pct,expected_school_premium_amount,expected_fair_price,observed_market_premium_pct,school_value_gap_pct,total_value_gap_pct,comparable_count,comparable_rule,comparable_method_gap_pct,residual_method_gap_pct,gap_confidence,transaction_count,price_window_used,school_data_quality_flag,data_quality_flag,as_of_date
A10020002,드파인 광안,광안동,수영구,1233.0,64.94271523178807,B,,,,,,,,,,,,,LOW,,,OK,RECENT_PRICE_MISSING,2026-08-28
A10020004,롯데캐슬인피니엘,문현동,남구,715.0,57.40093818984548,B,540000000.0,,,,,62.63133651861741,,,7.0,ALL_SAME_DONG,,,LOW,5.0,6M,MIDDLE_SCORE_PARTIAL,MODEL_PRICE_MISSING,2026-08-28
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,강동동,강서구,972.0,84.39039735099338,C,,,,,,,,,,,,,LOW,,,MIDDLE_OPTION_MISSING,RECENT_PRICE_MISSING,2026-08-28
A10020213,가야역롯데캐슬스카이엘,가야동,부산진구,725.0,46.08741721854304,B,553000000.0,384079917.5477504,-1.64615959918184,-6322568.431241989,377757349.1165084,36.96274441644185,-38.60890401562369,-31.689448622692872,9.0,DISTRICT_RELAXED,-31.591196777430742,-45.62661125381664,MEDIUM,1.0,24M,OK,OK,2026-08-28
A10020264,에코델타 더 베르힐 아파트,강동동,강서구,1120.0,84.39039735099338,C,,,,,,,,,,,,,LOW,,,MIDDLE_OPTION_MISSING,RECENT_PRICE_MISSING,2026-08-28
A10020289,두산위브더제니스 오션시티 ,우암동,남구,3048.0,62.45943708609272,B,,,,,,,,,,,,,LOW,,,MIDDLE_SCORE_PARTIAL,RECENT_PRICE_MISSING,2026-08-28
A10020313,일광동원로얄듀크,일광읍,기장군,1134.0,70.97770419426048,B,,,,,,,,,,,,,LOW,,,OK,RECENT_PRICE_MISSING,2026-08-28
A10020378,에코델타시티 푸르지오린,강동동,강서구,895.0,84.39039735099338,C,,,,,,,,,,,,,LOW,,,MIDDLE_OPTION_MISSING,RECENT_PRICE_MISSING,2026-08-28
A10020498,시청앞 행복주택1단지,연산동,연제구,589.0,32.301821192052984,B,,,,,,,,,,,,,LOW,,,OK,RECENT_PRICE_MISSING,2026-08-28
A10020569,에코델타시티 푸르지오 센터파크,강동동,강서구,972.0,84.39039735099338,C,,,,,,,,,,,,,LOW,,,MIDDLE_OPTION_MISSING,RECENT_PRICE_MISSING,2026-08-28
