apartment_id,apartment_name,legal_dong,gu,school_premium_core_score,gap_confidence,has_6m_price,has_12m_price,has_24m_price,transaction_count_6m,transaction_count_12m,transaction_count_24m,gap_6m,gap_12m,gap_24m,temporal_sign_pattern,temporal_stability,temporal_std,temporal_range,temporal_cv,temporal_median,temporal_min,temporal_max,residual_method_gap_pct,comparable_method_gap_pct,gap_method_agreement,gap_method_abs_diff,large_method_disagreement,bootstrap_iterations,bootstrap_gap_median,bootstrap_gap_p05,bootstrap_gap_p25,bootstrap_gap_p75,bootstrap_gap_p95,gap_positive_probability,gap_negative_probability,bootstrap_iqr,bootstrap_stability,sanity_flag,phase145_gap_reproduced,phase145_reproduction_error
A10020002,드파인 광안,광안동,수영구,64.94271523178807,LOW,False,False,False,,,,,,,NANANA,INSUFFICIENT,,,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False,,
A10020004,롯데캐슬인피니엘,문현동,남구,57.40093818984548,LOW,True,True,True,5.0,5.0,5.0,,,,NANANA,INSUFFICIENT,,,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False,,
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,강동동,강서구,84.39039735099338,LOW,False,False,False,,,,,,,NANANA,INSUFFICIENT,,,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,True,,
A10020213,가야역롯데캐슬스카이엘,가야동,부산진구,46.08741721854304,MEDIUM,True,True,True,1.0,1.0,1.0,-38.60890401562369,-45.71150661028743,-45.62661125381664,---,STABLE_NEGATIVE,4.076403351817629,7.102602594663736,0.09410919833754722,-45.62661125381664,-45.71150661028743,-38.60890401562369,-45.62661125381664,-31.591196777430746,STRONG_NEGATIVE,14.035414476385895,False,500,-45.71150661028743,-57.23946908916713,-53.743142555373296,-38.7088548891507,-28.42603502775469,0.0,1.0,15.034287666222596,VERY_STABLE_NEGATIVE,False,-38.60890401562369,0.0
A10020264,에코델타 더 베르힐 아파트,강동동,강서구,84.39039735099338,LOW,False,False,False,,,,,,,NANANA,INSUFFICIENT,,,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,True,,
A10020289,두산위브더제니스 오션시티 ,우암동,남구,62.45943708609272,LOW,False,False,False,,,,,,,NANANA,INSUFFICIENT,,,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False,,
A10020313,일광동원로얄듀크,일광읍,기장군,70.97770419426048,LOW,False,False,False,,,,,,,NANANA,INSUFFICIENT,,,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False,,
A10020378,에코델타시티 푸르지오린,강동동,강서구,84.39039735099338,LOW,False,False,False,,,,,,,NANANA,INSUFFICIENT,,,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,True,,
A10020498,시청앞 행복주택1단지,연산동,연제구,32.301821192052984,LOW,False,False,False,,,,,,,NANANA,INSUFFICIENT,,,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False,,
A10020569,에코델타시티 푸르지오 센터파크,강동동,강서구,84.39039735099338,LOW,False,False,False,,,,,,,NANANA,INSUFFICIENT,,,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,True,,
A10020645,강서자이에코델타,강동동,강서구,84.39039735099338,LOW,False,True,True,,2.0,2.0,,-1.3677609692168158,-0.0221925681968127,NA--,STABLE_NEGATIVE,0.9514605409115839,1.345568401020003,,-0.6949767687068142,-1.3677609692168158,-0.0221925681968127,5.059872979790491,-9.253434784265746,MIXED_POSITIVE_RESIDUAL,14.313307764056237,False,500,-1.3677609692168158,-17.37134937453167,-11.087750882801457,2.9011007271222162,11.47922114710511,0.288,0.712,13.988851609923673,UNCERTAIN,True,-2.0967809022376294,0.0
A10020649,e편한세상 에코델타 센터포인트,강동동,강서구,84.39039735099338,LOW,False,False,False,,,,,,,NANANA,INSUFFICIENT,,,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,True,,
A10020721,백양산서희스타힐스,부암동,부산진구,66.89039735099338,LOW,True,True,True,10.0,25.0,41.0,-17.68489030995109,-19.539573548187526,-15.61299984913911,---,STABLE_NEGATIVE,1.9642878696810897,3.926573699048417,0.11152813166222432,-17.68489030995109,-19.539573548187526,-15.61299984913911,10.163511101902069,-45.53329172180425,MIXED_POSITIVE_RESIDUAL,55.696802823706314,False,500,-19.274879562472098,-41.58647512177108,-24.093245470909153,-2.835967103422842,1.6674539298684004,0.108,0.892,21.25727836748631,STABLE_NEGATIVE,False,-17.684890309951086,0.0
A10020870,양정자이더샵SKVIEW아파트(2단지),양정동,부산진구,83.05761589403974,MEDIUM,True,True,True,13.0,14.0,15.0,-28.93937341168884,-9.941096651524585,-10.016117476171704,---,STABLE_NEGATIVE,10.947067820357288,18.998276760164256,0.6716461232518323,-10.016117476171704,-28.93937341168884,-9.941096651524585,-11.097039913812168,-46.78170690956552,STRONG_NEGATIVE,35.68466699575335,False,500,-9.276578369673949,-13.640054756170123,-10.641847096195288,-6.6137633004382534,4.920262819004439,0.158,0.842,4.028083795757035,STABLE_NEGATIVE,False,-28.93937341168884,0.0
A10022002,래미안포레스티지3단지,온천동,동래구,83.79271523178808,MEDIUM,True,True,True,26.0,45.0,58.0,-18.118712604063834,-23.47433739799085,-22.806818466446977,---,STABLE_NEGATIVE,2.9185223154365425,5.355624793927017,0.13595628616216857,-22.806818466446977,-23.47433739799085,-18.118712604063834,-0.6372148681935457,-35.60021033993412,STRONG_NEGATIVE,34.96299547174058,False,500,-23.551701594094098,-36.74699762416199,-29.356884620161132,-15.482935434316849,-6.5038072731966485,0.01,0.99,13.873949185844284,VERY_STABLE_NEGATIVE,False,-18.118712604063838,0.0
