apartment_id,apartment_name,legal_dong,gu,household_count,elementary_school_name,school_premium_core_score,school_premium_confidence,representative_area_m2,recent_market_price,baseline_expected_price,school_adjusted_expected_price,estimated_school_premium_pct,estimated_school_premium_amount,model_uncertainty_pct,transaction_count,price_window_used,as_of_date,data_quality_flag
A61205003,더샵센텀스타,재송동,해운대구,629.0,센텀초등학교,89.52671081677705,A,135.65,1500000000.0,1018670854.1384815,1204645485.0698323,18.256596836535067,185974630.93135083,9.287325284287434,6.0,6M,2026-08-28,OK
A61271204,더샵센텀파크1차,재송동,해운대구,2752.0,센텀초등학교,89.52671081677705,A,100.945,1297000000.0,840517362.0978272,993967228.2371092,18.25659683653531,153449866.139282,9.287325284287434,45.0,6M,2026-08-28,OK
A61271302,더샵센텀파크2차,재송동,해운대구,998.0,센텀초등학교,89.52671081677705,A,84.64585,1112500000.0,648358538.1090267,766726742.4668443,18.25659683653509,118368204.35781765,9.287325284287434,10.0,6M,2026-08-28,OK
A61176513,거제1차현대홈타운,거제동,연제구,1127.0,남문초등학교,89.40375275938192,B,59.93,510000000.0,377289893.4609948,445937511.9798367,18.194926423582803,68647618.51884192,9.016353630210448,27.0,6M,2026-08-28,OK
A61176612,거제2차현대홈타운,거제동,연제구,1110.0,남문초등학교,89.40375275938192,B,59.676,620000000.0,375830151.67256117,444212171.2470233,18.194926423582803,68382019.57446212,9.016353630210448,35.0,6M,2026-08-28,OK
A61176709,쌍용,거제동,연제구,502.0,남문초등학교,89.40375275938192,B,59.991,600000000.0,344957083.58216196,407721771.13287336,18.194926423582803,62764687.55071139,9.016353630210448,15.0,6M,2026-08-28,OK
A10024982,쌍용더플래티넘사직아시아드아파트,사직동,동래구,914.0,여고초등학교,89.16280353200884,B,76.82715,965000000.0,492447087.0409175,581452810.8009608,18.074170017914582,89005723.76004326,9.016353630210448,20.0,6M,2026-08-28,OK
A10027054,사직롯데캐슬더클래식,사직동,동래구,1064.0,여고초등학교,89.16280353200884,B,84.8577,1138500000.0,500908604.32159185,591443677.1010395,18.074170017914604,90535072.77944767,9.016353630210448,16.0,6M,2026-08-28,OK
A60778608,사직쌍용예가,사직동,동래구,2947.0,예원초등학교,84.42207505518763,B,84.965,550000000.0,457780826.985732,529758604.0298695,15.723196080114743,71977777.04413748,7.693640332217551,59.0,6M,2026-08-28,OK
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,강동동,강서구,972.0,,84.39039735099338,C,,,,,,,,,,2026-08-28,MIDDLE_OPTION_MISSING
A10020264,에코델타 더 베르힐 아파트,강동동,강서구,1120.0,,84.39039735099338,C,,,,,,,,,,2026-08-28,MIDDLE_OPTION_MISSING
A10020378,에코델타시티 푸르지오린,강동동,강서구,895.0,,84.39039735099338,C,,,,,,,,,,2026-08-28,MIDDLE_OPTION_MISSING
A10020569,에코델타시티 푸르지오 센터파크,강동동,강서구,972.0,,84.39039735099338,C,,,,,,,,,,2026-08-28,MIDDLE_OPTION_MISSING
A10020645,강서자이에코델타,강동동,강서구,856.0,,84.39039735099338,C,77.24765,532000000.0,480804980.463652,556328121.2919673,15.707645281770265,75523140.82831526,7.693640332217551,2.0,24M,2026-08-28,MIDDLE_OPTION_MISSING
A10020649,e편한세상 에코델타 센터포인트,강동동,강서구,953.0,,84.39039735099338,C,,,,,,,,,,2026-08-28,MIDDLE_OPTION_MISSING
A10022541,에코델타스마트시티수자인,강동동,강서구,554.0,,84.39039735099338,C,132.9686,749000000.0,675658905.4275539,781789009.6068056,15.707645281770244,106130104.17925167,7.693640332217551,3.0,12M,2026-08-28,MIDDLE_OPTION_MISSING
A10022696,에코델타호반써밋스마트시티,강동동,강서구,526.0,,84.39039735099338,C,84.9146,629000000.0,491068781.49505675,568204123.7818117,15.707645281770265,77135342.28675497,7.693640332217551,3.0,24M,2026-08-28,MIDDLE_OPTION_MISSING
A10023417,더샵동래,온천동,동래구,603.0,온천초등학교,83.8975165562914,B,84.89314999999999,715000000.0,692452421.4056482,799546806.9033492,15.465955809686394,107094385.49770093,7.693640332217551,12.0,6M,2026-08-28,OK
A10024005,동래3차SKVIEW,온천동,동래구,999.0,온천초등학교,83.8975165562914,B,74.865,504000000.0,620403875.5962573,716355264.8375549,15.465955809686193,95951389.2412976,7.693640332217551,38.0,6M,2026-08-28,OK
A60783306,벽산아스타,온천동,동래구,648.0,온천초등학교,83.8975165562914,B,101.44200000000001,544000000.0,609771546.9532702,704078544.9451027,15.465955809686172,94306997.9918325,7.693640332217551,6.0,6M,2026-08-28,OK
A10022002,래미안포레스티지3단지,온천동,동래구,4043.0,금정초등학교,83.79271523178808,B,84.9849,946500000.0,815583756.8488723,941302979.0387876,15.414630457532642,125719222.1899153,7.693640332217551,26.0,6M,2026-08-28,OK
