apartment_id,apartment_name,gu,legal_dong,latitude,longitude,final_local_market_id,final_local_market_name,market_definition_type,local_market_confidence,assignment_stability,algorithm_cluster,hierarchical_cluster,market_size_apartments,market_transactions_12m,dominant_legal_dong,dominant_dong_share,spatial_fragmentation_flag,low_sample_flag,data_quality_flag,cluster_algorithm_reference
A10020002,드파인 광안,수영구,광안동,35.1559336270635,129.107301727685,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10020004,롯데캐슬인피니엘,남구,문현동,35.1343507743393,129.073252007688,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,강서구,강동동,35.1516110687181,128.922904276547,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10020213,가야역롯데캐슬스카이엘,부산진구,가야동,35.1565193801508,129.04401214104,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10020264,에코델타 더 베르힐 아파트,강서구,강동동,35.148743228502,128.914609008233,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10020289,두산위브더제니스 오션시티 ,남구,우암동,35.1273020431509,129.080202725707,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10020313,일광동원로얄듀크,기장군,일광읍,35.2703659526549,129.223137772446,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10020378,에코델타시티 푸르지오린,강서구,강동동,35.1428719245537,128.920043691156,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10020498,시청앞 행복주택1단지,연제구,연산동,35.1797095714915,129.078024477515,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10020569,에코델타시티 푸르지오 센터파크,강서구,강동동,35.1476705701951,128.91469842294,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10020645,강서자이에코델타,강서구,강동동,35.1432134027804,128.914188933677,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10020649,e편한세상 에코델타 센터포인트,강서구,강동동,35.1453818415594,128.914411759665,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10020721,백양산서희스타힐스,부산진구,부암동,35.172540323275,129.033133031769,LM043,부산진구|부암동,LEGAL_DONG,HIGH,1.0,0.0,0.0,12.0,426.0,부암동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10020870,양정자이더샵SKVIEW아파트(2단지),부산진구,양정동,35.1716287279998,129.075270843938,LM045,부산진구|양정동,LEGAL_DONG,HIGH,1.0,1.0,1.0,5.0,366.0,양정동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10022002,래미안포레스티지3단지,동래구,온천동,35.2214588527959,129.078856993051,LM037,동래구|온천동,LEGAL_DONG,HIGH,1.0,1.0,1.0,9.0,647.0,온천동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10022267,오션라이프에일린의뜰1단지,영도구,동삼동,35.0755544541612,129.074599795214,LM082,영도구|동삼동,LEGAL_DONG,HIGH,1.0,1.0,1.0,7.0,234.0,동삼동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10022280,두산위브더제니스센트럴사하,사하구,장림동,35.082895063328,128.972097096354,LM066,사하구|장림동,LEGAL_DONG,HIGH,1.0,1.0,1.0,5.0,181.0,장림동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10022365,연산포레서희스타힐스,연제구,연산동,35.1829012963577,129.089161019711,LM081,연제구|연산동,LEGAL_DONG,HIGH,1.0,1.0,1.0,16.0,1001.0,연산동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10022405,드파인센텀,해운대구,반여동,35.197076226816,129.118965848338,LM088,해운대구|반여동,LEGAL_DONG,HIGH,1.0,1.0,1.0,12.0,532.0,반여동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10022434,e편한세상송도더퍼스트비치,서구,암남동,35.0755106315152,129.015072978936,LM074,서구|암남동,LEGAL_DONG,HIGH,1.0,1.0,1.0,2.0,159.0,암남동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10022541,에코델타스마트시티수자인,강서구,강동동,35.1396035183419,128.916467746097,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10022568,해운대경동리인뷰2차,해운대구,우동,35.1628612447531,129.160202145981,LM089,해운대구|우동,LEGAL_DONG,LOW,0.68,0.0,1.0,19.0,766.0,우동,1.0,False,False,LOW_ASSIGNMENT_STABILITY,KMEANS_K3_SEED20260911
A10022574,초읍하늘채포레스원,부산진구,초읍동,35.1799954195609,129.050684168448,LM048,부산진구|초읍동,LEGAL_DONG,HIGH,1.0,1.0,1.0,2.0,139.0,초읍동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10022591,사직하늘채리센티아,동래구,사직동,35.2017861162457,129.060970332304,LM035,동래구|사직동,LEGAL_DONG,HIGH,1.0,1.0,1.0,9.0,540.0,사직동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10022696,에코델타호반써밋스마트시티,강서구,강동동,35.1397424250911,128.907495574458,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10022844,롯데캐슬라센트,부산진구,부암동,35.1705243127939,129.035161562272,LM043,부산진구|부암동,LEGAL_DONG,HIGH,1.0,0.0,0.0,12.0,426.0,부암동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10022847,대연비치,남구,대연동,35.1358668649776,129.110083623465,LM022,남구|대연동,LEGAL_DONG,HIGH,1.0,1.0,1.0,12.0,982.0,대연동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10022890,레이카운티(5단지),연제구,거제동,35.1899959215514,129.066108752828,LM080,연제구|거제동,LEGAL_DONG,HIGH,1.0,1.0,1.0,9.0,774.0,거제동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10022905,포레나부산덕천2차,북구,덕천동,35.2135475612397,129.015417583227,LM051,북구|덕천동,LEGAL_DONG,MEDIUM,1.0,1.0,0.0,6.0,198.0,덕천동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
