apartment_id,apartment_name,gu,legal_dong,household_count,elementary_school_name,primary_market,fallback_level,fallback_market_name,school_premium_core_score,estimated_school_premium_pct,school_premium_confidence,representative_area_m2,recent_6m_market_price,recent_12m_market_price,transaction_count_6m,transaction_count_12m,comparable_apartment_count,comparable_transaction_count,local_fair_price_per_m2,local_fair_total_price,fair_price_lower,fair_price_upper,prediction_interval_width_pct,selected_model_type,local_model_rmse,local_model_mae,recent_local_residual,residual_volatility,model_confidence,low_sample_flag,fallback_flag,data_quality_flag
A10020002,드파인 광안,수영구,광안동,1233.0,호암초등학교,수영구|광안동,1,수영구|광안동;수영구|남천동,64.94271523178807,,B,,,,0,0,9,2635,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,True,True,INSUFFICIENT_MODEL_FEATURES
A10020004,롯데캐슬인피니엘,남구,문현동,715.0,성동초등학교,남구|문현동,0,남구|문현동,57.40093818984548,,B,59.9665,8671508.258777818,8671508.258777818,5,5,7,1328,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,False,False,INSUFFICIENT_MODEL_FEATURES
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,강서구,강동동,972.0,,강서구|강동동,1,강서구|강동동;강서구|명지동,84.39039735099338,,C,,,,0,0,26,7557,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,True,True,INSUFFICIENT_MODEL_FEATURES
A10020213,가야역롯데캐슬스카이엘,부산진구,가야동,725.0,가남초등학교,부산진구|가야동,1,부산진구|가야동;부산진구|초읍동,46.08741721854304,-1.64615959918184,B,59.8682,9236957.182611136,9236957.182611136,1,1,5,1099,6302424.172176716,377314790.8247101,3929512.1776410397,10108265.00857984,98.03771790251939,F_S,0.24103013177016724,0.1824645800248972,0.38329113730670805,,MEDIUM,True,True,OK
A10020264,에코델타 더 베르힐 아파트,강서구,강동동,1120.0,,강서구|강동동,1,강서구|강동동;강서구|명지동,84.39039735099338,,C,,,,0,0,26,7557,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,True,True,INSUFFICIENT_MODEL_FEATURES
A10020289,두산위브더제니스 오션시티 ,남구,우암동,3048.0,우암초등학교,남구|우암동,2,남구|감만동;남구|대연동;남구|문현동;남구|용당동;남구|용호동;남구|우암동,62.45943708609272,,B,,,,0,0,33,10963,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,True,True,INSUFFICIENT_MODEL_FEATURES
A10020313,일광동원로얄듀크,기장군,일광읍,1134.0,일광초등학교,기장군|일광읍,1,기장군|일광읍;기장군|정관읍모전리,70.97770419426048,,B,,,,0,0,6,2297,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,True,True,INSUFFICIENT_MODEL_FEATURES
A10020378,에코델타시티 푸르지오린,강서구,강동동,895.0,,강서구|강동동,1,강서구|강동동;강서구|명지동,84.39039735099338,,C,,,,0,0,26,7557,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,True,True,INSUFFICIENT_MODEL_FEATURES
A10020498,시청앞 행복주택1단지,연제구,연산동,589.0,연산초등학교,연제구|연산동,0,연제구|연산동,32.301821192052984,,B,,,,0,0,16,5310,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,False,False,INSUFFICIENT_MODEL_FEATURES
A10020569,에코델타시티 푸르지오 센터파크,강서구,강동동,972.0,,강서구|강동동,1,강서구|강동동;강서구|명지동,84.39039735099338,,C,,,,0,0,26,7557,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,True,True,INSUFFICIENT_MODEL_FEATURES
