학구ID,학교ID,학교명,학교급구분,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,데이터기준일자
Z000101544,B000003402,신탄진초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2025-09-22
Z000100149,B000002008,서울영림초등학교,초등학교,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2025-09-22
Z000100586,B000002469,서천초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2025-09-22
Z000100933,B000002848,대구관천초등학교,초등학교,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2025-09-22
Z000150086,B000003352,산내초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2025-09-22
Z000151418,B000003352,산내초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2025-09-22
Z000100316,B000002125,서울평화초등학교,초등학교,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2025-09-22
Z000101512,B000003362,대전성남초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2025-09-22
Z000101462,B000003292,진남초등학교,초등학교,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2025-09-22
Z000106072,B000008068,의귀초등학교,초등학교,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2025-09-22
Z000100365,B000002202,서울양원초등학교,초등학교,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2025-09-22
Z000100798,B000002721,기장초등학교,초등학교,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2025-09-22
Z000105708,B000007661,칠산초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2025-09-22
Z000151453,B000007661,칠산초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2025-09-22
Z000151454,B000007661,칠산초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2025-09-22
Z000151455,B000007661,칠산초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2025-09-22
Z000151456,B000007661,칠산초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2025-09-22
Z000151457,B000007661,칠산초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2025-09-22
Z000105937,B000007938,북상초등학교,초등학교,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2025-09-22
Z000151184,B000007938,북상초등학교,초등학교,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2025-09-22
Z000150792,B000007938,북상초등학교,초등학교,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2025-09-22
Z000150791,B000007938,북상초등학교,초등학교,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2025-09-22
Z000100903,B000002754,대구아양초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2025-09-22
Z000100362,B000002213,서울양동초등학교,초등학교,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2025-09-22
Z000100769,B000002653,서감초등학교,초등학교,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2025-09-22
Z000101487,B000003396,대전대화초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2025-09-22
Z000150083,B000003396,대전대화초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2025-09-22
Z000101548,B000003430,가수원초등학교,초등학교,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2025-09-22
Z000100032,B000001876,서울중화초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2025-09-22
Z000101614,B000003476,대전하기초등학교,초등학교,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2025-09-22
Z000100185,B000002058,서울상월초등학교,초등학교,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2025-09-22
Z000100031,B000001868,서울중목초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2025-09-22
Z000106105,B000005742,연봉초등학교,초등학교,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2025-09-22
Z000106103,B000005745,연남초등학교,초등학교,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2025-09-22
Z000106100,B000005744,수왕초등학교,초등학교,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2025-09-22
Z000150592,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2025-09-22
Z000105845,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2025-09-22
Z000151210,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2025-09-22
Z000151211,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2025-09-22
Z000150973,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2025-09-22
Z000150972,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2025-09-22
Z000150975,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2025-09-22
Z000150974,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2025-09-22
Z000150976,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2025-09-22
Z000105811,B000007805,유어초등학교,초등학교,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2025-09-22
Z000150789,B000007805,유어초등학교,초등학교,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2025-09-22
Z000150790,B000007805,유어초등학교,초등학교,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2025-09-22
Z000151179,B000007805,유어초등학교,초등학교,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2025-09-22
Z000151181,B000007805,유어초등학교,초등학교,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2025-09-22
Z000100452,B000002310,서울동작초등학교,초등학교,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2025-09-22
Z000100322,B000002198,서울갈산초등학교,초등학교,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2025-09-22
Z000100221,B000002049,서울태랑초등학교,초등학교,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2025-09-22
Z000150020,B000002049,서울태랑초등학교,초등학교,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2025-09-22
Z000100223,B000002065,서울한천초등학교,초등학교,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2025-09-22
Z000100560,B000002467,괴정초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2025-09-22
Z000101561,B000003436,대전관저초등학교,초등학교,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2025-09-22
Z000106339,B000026788,대구국우초등학교,초등학교,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2025-09-22
Z000105711,B000007725,무안초등학교,초등학교,9010000,경상남도교육청,9101000,경상남도밀양교육지원청,2025-09-22
Z000103170,B000005015,맹방초등학교,초등학교,7801000,강원특별자치도교육청,7872000,강원특별자치도삼척교육지원청,2025-09-22
Z000151429,B000005015,맹방초등학교,초등학교,7801000,강원특별자치도교육청,7872000,강원특별자치도삼척교육지원청,2025-09-22
Z000151119,B000005015,맹방초등학교,초등학교,7801000,강원특별자치도교육청,7872000,강원특별자치도삼척교육지원청,2025-09-22
Z000151120,B000005015,맹방초등학교,초등학교,7801000,강원특별자치도교육청,7872000,강원특별자치도삼척교육지원청,2025-09-22
Z000151121,B000005015,맹방초등학교,초등학교,7801000,강원특별자치도교육청,7872000,강원특별자치도삼척교육지원청,2025-09-22
Z000151122,B000005015,맹방초등학교,초등학교,7801000,강원특별자치도교육청,7872000,강원특별자치도삼척교육지원청,2025-09-22
Z000100415,B000002295,서울신구초등학교,초등학교,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2025-09-22
Z000105932,B000007934,거창초등학교,초등학교,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2025-09-22
Z000150791,B000007934,거창초등학교,초등학교,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2025-09-22
Z000101453,B000003295,유안초등학교,초등학교,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2025-09-22
Z000100015,B000001877,서울봉화초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2025-09-22
Z000150958,B000005687,서령초등학교,초등학교,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2025-09-22
Z000103133,B000004967,통리초등학교,초등학교,7801000,강원특별자치도교육청,7852000,강원특별자치도태백교육지원청,2025-09-22
Z000100685,B000002580,남산초등학교,초등학교,7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2025-09-22
Z000100292,B000025289,서울송례초등학교,초등학교,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2025-09-22
Z000150632,B000025289,서울송례초등학교,초등학교,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2025-09-22
Z000151234,B000025289,서울송례초등학교,초등학교,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2025-09-22
Z000101652,B000003499,성안초등학교,초등학교,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2025-09-22
Z000103956,B000005840,합천초등학교,초등학교,8140000,충청남도교육청,8251000,충청남도청양교육지원청,2025-09-22
