구,초등학교,배정가능 중학교
연제구,남문초,여명중
연제구,남문초,거제여중
연제구,남문초,이사벨여중
연제구,남문초,거성중
해운대구,해운대초,해운대중
해운대구,해운대초,해운대여중
해운대구,해운대초,신도중
해운대구,해림초,해강중
해운대구,해림초,해운대중
해운대구,해림초,해운대여중
기장군,일광초,일광중
기장군,일광초,기장중
기장군,일광초,대청중
기장군,모전초,정관중
기장군,모전초,신정중
기장군,모전초,부산중앙중
동래구,연산초,연산중
동래구,연산초,연제중
해운대구,강동초,해강중
해운대구,강동초,해운대중
해운대구,강동초,해운대여중
동래구,사직초,사직중
동래구,사직초,사직여중
해운대구,부흥초,부흥중
해운대구,부흥초,상당중
해운대구,좌산초,신곡중
해운대구,해강초,해강중
해운대구,해강초,해운대중
해운대구,해송초,동백중
해운대구,해송초,신곡중
해운대구,양운초,양운중
해운대구,양운초,신도중
동래구,안민초,안락중
동래구,안민초,남일중
해운대구,송운초,반송중
해운대구,송운초,반송여자중
기장군,해빛초,일광중
해운대구,무정초,장산중
해운대구,무정초,인지중
해운대구,무정초,반여중
기장군,신정초,신정중
기장군,신정초,정관중
기장군,신정초,부산중앙중
동래구,금강초,온천중
동래구,금강초,여명중
동래구,금강초,사직중
동래구,금강초,사직여중
동래구,온천초,동래중
동래구,온천초,유락여중
동래구,온천초,온천중
기장군,기장초,기장중
기장군,기장초,대청중
수영구,남천초,남천중
수영구,남천초,동아중
수영구,남천초,대천중
수영구,남천초,부산수영중
수영구,남천초,한바다중
기장군,대청초,대청중
기장군,대청초,기장중
기장군,정원초,정관중
기장군,정원초,신정중
기장군,정원초,부산중앙중
수영구,민락초,한바다중
수영구,민락초,부산수영중
수영구,민락초,동아중
수영구,민락초,광안중
연제구,연서초,연산중
연제구,연서초,연일중
연제구,연서초,연제중
동래구,명륜초,동래중
동래구,명륜초,유락여중
동래구,명륜초,동해중
동래구,명륜초,내성중
기장군,방곡초,부산중앙중
기장군,방곡초,정관중
기장군,방곡초,모전중
기장군,방곡초,장안중
수영구,민안초,광안중
수영구,민안초,한바다중
수영구,민안초,부산수영중
수영구,민안초,동아중
금정구,부곡초,부곡중
금정구,부곡초,부곡여자중
수영구,광남초,한바다중
수영구,광남초,동아중
수영구,광남초,부산수영중
수영구,광남초,광안중
해운대구,장산초,장산중
해운대구,장산초,인지중
해운대구,신곡초,신곡중
해운대구,신곡초,동백중
해운대구,신곡초,부흥중
해운대구,송수초,센텀중
해운대구,송수초,재송중
해운대구,송수초,재송여자중
기장군,가동초,부산중앙중
기장군,가동초,정관중
기장군,가동초,신정중
기장군,달산초,모전중
기장군,달산초,신정중
해운대구,좌동초,신곡중
해운대구,좌동초,동백중
해운대구,좌동초,부흥중
