internal_complex_id,kapt_code,complex_name,households,address,legal_address,latitude,longitude
A10020702,A10020702,센텀이진캐스빌,147.0,부산광역시 해운대구 재반로42번길 23,부산광역시 해운대구 재송동 111- 센텀이진캐스빌,35.1828994656358,129.127880709978
A10021338,A10021338,남성선파크,180.0,부산광역시 해운대구 재송2로 17,부산광역시 해운대구 재송동 1151-2 남성선파크제1공구,35.1926977889963,129.130509296882
A10023423,A10023423,협성루에나센텀,152.0,부산광역시 해운대구 재송1로 5,부산광역시 해운대구 재송동 210-10 협성루에나센텀,35.1881308147964,129.121204405489
A10024903,A10024903,센텀천일스카이원,208.0,부산광역시 해운대구 해운대로 265,부산광역시 해운대구 재송동 1361 센텀 천일스카이원,35.1767125728533,129.13184472747
A10025307,A10025307,센텀협성,175.0,부산광역시 해운대구 해운대로81번가길 63,부산광역시 해운대구 재송동 1025-1 센텀협성아파트,35.1917538219764,129.123833523262
A10026557,A10026557,센텀리슈빌2단지,753.0,부산광역시 해운대구 해운대로76번길 40,부산광역시 해운대구 재송동 938 센텀리슈빌 아파트,35.1914835593563,129.115888825499
A10027204,A10027204,한보장산,140.0,부산광역시 해운대구 재송2로 96,부산광역시 해운대구 재송동 1184-1 한보장산아파트,35.1924759105576,129.134101494483
A61205002,A61205002,센텀동부센트레빌,703.0,부산광역시 해운대구 해운대로161번길 12,부산광역시 해운대구 재송동 380-1 센텀동부센트레빌아파트,35.183765939939,129.1243696844
A61205003,A61205003,더샵센텀스타,629.0,부산광역시 해운대구 센텀동로 123,부산광역시 해운대구 재송동 1196 더샵센텀스타,35.1773956856851,129.124998931426
A61205004,A61205004,더샵센텀누리,375.0,부산광역시 해운대구 해운대로 253,부산광역시 해운대구 재송동 1223 해운대더샵센텀누리,35.1782972855719,129.128405203389
A61271204,A61271204,더샵센텀파크1차,2752.0,부산광역시 해운대구 센텀중앙로 145,부산광역시 해운대구 재송동 1200 더샵센텀파크1차,35.1767570378219,129.123591937256
A61271302,A61271302,더샵센텀파크2차,998.0,부산광역시 해운대구 센텀중앙로 142,부산광역시 해운대구 재송동 1197 더샵센텀파크2차,35.1795016077605,129.123276453416
A61274815,A61274815,센텀삼익아파트,936.0,부산광역시 해운대구 해운대로61번가길 6,부산광역시 해운대구 재송동 1023 센텀(재송)삼익,35.1907671525517,129.121418403334
A61277909,A61277909,시영80년,470.0,부산광역시 해운대구 재반로165번길 82,부산광역시 해운대구 재송동 1026-1 80재송시영,35.1922705324306,129.125143200975
A61278214,A61278214,센텀우신골든빌,846.0,부산광역시 해운대구 재반로125번길 30,부산광역시 해운대구 재송동 1048-3 센텀우신골든빌,35.1901071344599,129.125837136089
A61281512,A61281512,센텀피오레1차,774.0,부산광역시 해운대구 수영강변대로 382,부산광역시 해운대구 재송동 1302 센텀피오레1차,35.1931877596434,129.115520380218
A61282801,A61282801,신동아,253.0,부산광역시 해운대구 재반로60번길 46-6,부산광역시 해운대구 재송동 131 센텀신동아,35.1848411353612,129.128507720557
A61283002,A61283002,에이스,197.0,부산광역시 해운대구 재송2로 256,부산광역시 해운대구 재송동 1159-1 센텀에이스,35.1908224982421,129.131917446889
A61283204,A61283204,센텀골든파크,214.0,부산광역시 해운대구 재송2로175번길 43,부산광역시 해운대구 재송동 1157-1 센텀골든파크,35.1894228542306,129.131778563573
A61283208,A61283208,금호,477.0,부산광역시 해운대구 재반로 141,부산광역시 해운대구 재송동 1041-3 재송금호(아파트),35.191607694576,129.126869805994
A61283211,A61283211,재송그린,560.0,부산광역시 해운대구 재반로118번길 71,부산광역시 해운대구 재송동 1146-1 재송그린,35.1916234956582,129.12985607532
A61283403,A61283403,센텀그린타워,209.0,부산광역시 해운대구 재송2로 153,부산광역시 해운대구 재송동 153 센텀그린타워아파트,35.1902673067658,129.134346357829
A61283407,A61283407,센텀글로리아,466.0,부산광역시 해운대구 재송2로74번길 31,부산광역시 해운대구 재송동 1160-12 센텀글로리아,35.1906400751576,129.132640582608
A61283410,A61283410,장산동국,536.0,부산광역시 해운대구 재송2로 91,부산광역시 해운대구 재송동 1182-1 센텀동국아파트,35.1933696300285,129.133924534696
A61286403,A61286403,센텀이편한세상,1190.0,부산광역시 해운대구 해운대로76번길 55,부산광역시 해운대구 재송동 939-2 센텀이편한세상,35.189401531384,129.117817187906
A61286701,A61286701,센텀한보미도,180.0,부산광역시 해운대구 재반로64번길 74-1,부산광역시 해운대구 재송동 1123-3 센텀한보미도,35.1869968933228,129.129847914108
A61286706,A61286706,재송동코오롱,310.0,부산광역시 해운대구 재반로84번길 96-7,부산광역시 해운대구 재송동 1123-20 재송코오롱,35.1885291037972,129.13142008224
A61287316,A61287316,현대(1051-2),421.0,부산광역시 해운대구 해운대로81번길 60,부산광역시 해운대구 재송동 1051-2 재송현대,35.190580765956,129.122756627994
A61287317,A61287317,센텀파미르,373.0,부산광역시 해운대구 해운대로61번길 56,부산광역시 해운대구 재송동 1029 재송동센텀파미르,35.1941914731661,129.125591411416
A61288701,A61288701,센텀협성르네상스타운,472.0,부산광역시 해운대구 해운대로38번길 60,부산광역시 해운대구 재송동 1324 센텀협성르네상스,35.1926896959249,129.117793106898
A61283005,A61283005,남성선파크타운2차,306.0,부산광역시 해운대구 재송2로23번길 50,부산광역시 해운대구 재송동 1163-1 남성선파크타운2차,35.1926952920534,129.132948663507
