middle_school_id,middle_school_name,sigungu,closed,suspended,year,data_year,source_name,source_document,collected_at,parser_version,manual_review,confidence,requested_year,source_url,school_public_id,availability,observed_year,eligible_for_scoring,review_reason,graduates,general_hs_count,specialized_hs_count,science_hs_count,foreign_international_hs_count,arts_sports_hs_count,meister_hs_count,special_purpose_total,autonomous_private_hs_count,autonomous_public_hs_count,autonomous_total,other_advancement_count,advancement_total,employment_count,unaccredited_alternative_count,unknown_destination_count,foreign_language_hs_count,international_hs_count,arts_hs_count,sports_hs_count,other_special_hs_count,source_values,category_resolution,academic_selective_count,science_rate,foreign_international_rate,autonomous_private_rate,academic_selective_rate,arts_sports_rate,meister_rate,science_rate_adjusted,foreign_international_rate_adjusted,autonomous_private_rate_adjusted,academic_selective_rate_adjusted,annual_score,latest_observation_year,available_year_count,observation_years,graduates_total,weighted_graduates,score_stability,sample_warning,score_reference_year,weighted_science_rate,weighted_science_rate_adjusted,weighted_foreign_international_rate,weighted_foreign_international_rate_adjusted,weighted_autonomous_private_rate,weighted_autonomous_private_rate_adjusted,weighted_academic_selective_rate,weighted_academic_selective_rate_adjusted,science_rate_percentile,foreign_international_rate_percentile,autonomous_private_rate_percentile,middle_school_score,busan_rank,sigungu_rank,score_percentile,ranking_population,population_middle_count,ranking_coverage,score_status
S020002323,오션중학교,강서구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2024\S020002323.html;data\raw\advancement\2025\S020002323.html,2026-09-05T00:58:52.900835+00:00,middle-score-1.0,True,0.6666666666666666,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,ce302ce8-8119-4264-8e05-ed3af2276571,available,2025.0,True,small_sample_or_missing_years,258.0,179.0,36.0,1.0,7.0,7.0,9.0,24.0,11.0,0.0,11.0,3.0,253.0,0.0,0.0,5.0,,,,,,"{'졸업자': '258', '진학자 일반고': '179', '진학자 특성화고': '36', '진학자 특수목적고 과학고': '1', '진학자 특수목적고 외고국제고': '7', '진학자 특수목적고 예고체고': '7', '진학자 특수목적고 마이스터고': '9', '진학자 특수목적고 소계': '24', '진학자 자율고 자율형사립고': '11', '진학자 자율고 자율형공립고': '0', '진학자 자율고 소계': '11', '진학자 기타': '3', '진학자 진학자계': '253', '취업자': '0', '대안교육기관진학(학력미인정)': '0', '무직 및 미상': '5'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,19.0,0.003875968992248062,0.027131782945736434,0.04263565891472868,0.07364341085271318,0.027131782945736434,0.03488372093023256,0.005241565354099753,0.024760123354554055,0.036936500971783755,0.06693818968043756,61.38235294117648,2025.0,2.0,"2024,2025",388.0,210.0,0.8858823529411766,False,2025.0,0.008191711389385807,0.007869322831977025,0.02272659511031604,0.02170433138558239,0.032416517590936195,0.029321163806848214,0.06333482409063805,0.05889481802440763,60.0,76.47058823529412,91.17647058823529,72.0,34,2,80.58823529411765,170,183,0.9941520467836257,scored
S020001214,덕문중학교,강서구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020001214.html;data\raw\advancement\2024\S020001214.html;data\raw\advancement\2025\S020001214.html,2026-09-05T00:58:49.725571+00:00,middle-score-1.0,True,1.0,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,324c7f9f-9e07-4e81-b83a-aa35c5d92b14,available,2025.0,True,small_sample_or_missing_years,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,,,,,,"{'졸업자': '12', '진학자 일반고': '11', '진학자 특성화고': '0', '진학자 특수목적고 과학고': '0', '진학자 특수목적고 외고국제고': '0', '진학자 특수목적고 예고체고': '0', '진학자 특수목적고 마이스터고': '0', '진학자 특수목적고 소계': '0', '진학자 자율고 자율형사립고': '0', '진학자 자율고 자율형공립고': '0', '진학자 자율고 소계': '0', '진학자 기타': '1', '진학자 진학자계': '12', '취업자': '0', '대안교육기관진학(학력미인정)': '0', '무직 및 미상': '0'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007825717828283138,0.01664396572259243,0.01985060132052308,0.04432028487139864,61.52941176470589,2025.0,3.0,"2023,2024,2025",33.0,11.0,0.9891804301146503,True,2025.0,0.0,0.007585963391792128,0.0,0.017533633009010362,0.0,0.017009693629854737,0.0,0.04212929003065723,57.647058823529406,65.88235294117646,69.41176470588235,62.882352941176464,50,4,71.17647058823529,170,183,0.9941520467836257,scored
S020001211,녹산중학교,강서구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020001211.html;data\raw\advancement\2024\S020001211.html;data\raw\advancement\2025\S020001211.html,2026-09-05T00:58:48.627764+00:00,middle-score-1.0,True,1.0,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,148e544b-8b3f-4b4c-ac7f-2c81ff6995b0,available,2025.0,True,small_sample_or_missing_years,7.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,"{'졸업자': '7', '진학자 일반고': '4', '진학자 특성화고': '2', '진학자 특수목적고 과학고': '0', '진학자 특수목적고 외고국제고': '0', '진학자 특수목적고 예고체고': '0', '진학자 특수목적고 마이스터고': '1', '진학자 특수목적고 소계': '1', '진학자 자율고 자율형사립고': '0', '진학자 자율고 자율형공립고': '0', '진학자 자율고 소계': '0', '진학자 기타': '0', '진학자 진학자계': '7', '취업자': '0', '대안교육기관진학(학력미인정)': '0', '무직 및 미상': '0'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.008191405577268331,0.017421721130190207,0.02077819951307089,0.04639132622052942,65.5,2025.0,3.0,"2023,2024,2025",39.0,11.4,0.9268901367164393,True,2025.0,0.0,0.007582660168417523,0.0,0.01747264738191773,0.0,0.017096056280545655,0.0,0.0421513638308809,57.05882352941176,65.29411764705883,71.17647058823529,62.76470588235294,51,5,70.58823529411765,170,183,0.9941520467836257,scored
S020001210,낙동중학교,강서구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020001210.html;data\raw\advancement\2024\S020001210.html;data\raw\advancement\2025\S020001210.html,2026-09-05T00:58:48.431428+00:00,middle-score-1.0,True,1.0,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,d110bb95-ff11-4fbc-a578-b93d526d141c,available,2025.0,True,small_sample_or_missing_years,33.0,28.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,,,,,,"{'졸업자': '33', '진학자 일반고': '28', '진학자 특성화고': '4', '진학자 특수목적고 과학고': '0', '진학자 특수목적고 외고국제고': '0', '진학자 특수목적고 예고체고': '0', '진학자 특수목적고 마이스터고': '1', '진학자 특수목적고 소계': '1', '진학자 자율고 자율형사립고': '0', '진학자 자율고 자율형공립고': '0', '진학자 자율고 소계': '0', '진학자 기타': '0', '진학자 진학자계': '33', '취업자': '0', '대안교육기관진학(학력미인정)': '0', '무직 및 미상': '0'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0065900781711858,0.014015971134814677,0.01671629584886154,0.03732234515486201,48.705882352941174,2025.0,3.0,"2023,2024,2025",107.0,36.2,0.8909215285817451,True,2025.0,0.0,0.006208789137190149,0.0,0.014429221368814762,0.0,0.01385432969030102,0.0,0.034492340196305926,38.23529411764706,41.17647058823529,55.294117647058826,42.67647058823529,101,9,41.17647058823529,170,183,0.9941520467836257,scored
S020000601,금성중학교,동구,Y,N,,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020000601.html;data\raw\advancement\2024\S020000601.html;data\raw\advancement\2025\S020000601.html;data\raw\advancement\2026\S020000601.html,2026-09-05T00:59:21.809635+00:00,middle-score-1.0,True,0.0,,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,,,,,closed_or_suspended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,170,183,0.9941520467836257,closed_or_suspended
S020000612,배정중학교,남구,Y,N,,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020000612.html;data\raw\advancement\2024\S020000612.html;data\raw\advancement\2025\S020000612.html;data\raw\advancement\2026\S020000612.html,2026-09-05T00:59:53.708741+00:00,middle-score-1.0,True,0.0,,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,,,,,closed_or_suspended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,170,183,0.9941520467836257,closed_or_suspended
S020000620,성지중학교,남구,Y,N,,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020000620.html;data\raw\advancement\2024\S020000620.html;data\raw\advancement\2025\S020000620.html;data\raw\advancement\2026\S020000620.html,2026-09-05T00:59:56.169507+00:00,middle-score-1.0,True,0.0,,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,,,,,closed_or_suspended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,170,183,0.9941520467836257,closed_or_suspended
S020000927,윤산중학교,금정구,Y,N,,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020000927.html;data\raw\advancement\2024\S020000927.html;data\raw\advancement\2025\S020000927.html;data\raw\advancement\2026\S020000927.html,2026-09-05T01:00:42.765136+00:00,middle-score-1.0,True,0.0,,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,,,,,closed_or_suspended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,170,183,0.9941520467836257,closed_or_suspended
S020001202,가락중학교,강서구,Y,N,,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020001202.html;data\raw\advancement\2024\S020001202.html;data\raw\advancement\2025\S020001202.html;data\raw\advancement\2026\S020001202.html,2026-09-05T01:00:42.934254+00:00,middle-score-1.0,True,0.0,,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,,,,,closed_or_suspended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,170,183,0.9941520467836257,closed_or_suspended
S020001204,경일중학교,강서구,Y,N,,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020001204.html;data\raw\advancement\2024\S020001204.html;data\raw\advancement\2025\S020001204.html;data\raw\advancement\2026\S020001204.html,2026-09-05T01:00:44.481752+00:00,middle-score-1.0,True,0.0,,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,,,,,closed_or_suspended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,170,183,0.9941520467836257,closed_or_suspended
