middle_school_id,middle_school_name,sigungu,closed,suspended,year,data_year,source_name,source_document,collected_at,parser_version,manual_review,confidence,requested_year,source_url,school_public_id,availability,observed_year,eligible_for_scoring,review_reason,graduates,general_hs_count,specialized_hs_count,science_hs_count,foreign_international_hs_count,arts_sports_hs_count,meister_hs_count,special_purpose_total,autonomous_private_hs_count,autonomous_public_hs_count,autonomous_total,other_advancement_count,advancement_total,employment_count,unaccredited_alternative_count,unknown_destination_count,foreign_language_hs_count,international_hs_count,arts_hs_count,sports_hs_count,other_special_hs_count,source_values,category_resolution,academic_selective_count,science_rate,foreign_international_rate,autonomous_private_rate,academic_selective_rate,arts_sports_rate,meister_rate,science_rate_adjusted,foreign_international_rate_adjusted,autonomous_private_rate_adjusted,academic_selective_rate_adjusted,annual_score,latest_observation_year,available_year_count,observation_years,graduates_total,weighted_graduates,score_stability,sample_warning,score_reference_year,weighted_science_rate,weighted_science_rate_adjusted,weighted_foreign_international_rate,weighted_foreign_international_rate_adjusted,weighted_autonomous_private_rate,weighted_autonomous_private_rate_adjusted,weighted_academic_selective_rate,weighted_academic_selective_rate_adjusted,science_rate_percentile,foreign_international_rate_percentile,autonomous_private_rate_percentile,middle_school_score,busan_rank,sigungu_rank,score_percentile,ranking_population,population_middle_count,ranking_coverage,score_status
S020000969,부산국제중학교,부산진구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020000969.html;data\raw\advancement\2024\S020000969.html;data\raw\advancement\2025\S020000969.html,2026-09-05T00:57:43.504929+00:00,middle-score-1.0,False,1.0,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,a4e5e6f3-9d67-4149-93ac-d54ccb6ccdcf,available,2025.0,True,,45.0,14.0,2.0,3.0,9.0,0.0,0.0,12.0,15.0,0.0,15.0,2.0,45.0,0.0,0.0,0.0,,,,,,"{'졸업자': '45', '진학자 일반고': '14', '진학자 특성화고': '2', '진학자 특수목적고 과학고': '3', '진학자 특수목적고 외고국제고': '9', '진학자 특수목적고 예고체고': '0', '진학자 특수목적고 마이스터고': '0', '진학자 특수목적고 소계': '12', '진학자 자율고 자율형사립고': '15', '진학자 자율고 자율형공립고': '0', '진학자 자율고 소계': '15', '진학자 기타': '2', '진학자 진학자계': '45', '취업자': '0', '대안교육기관진학(학력미인정)': '0', '무직 및 미상': '0'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,27.0,0.06666666666666667,0.2,0.3333333333333333,0.6,0.0,0.0,0.026734347563915253,0.07492499421331278,0.11878115412343851,0.22044049590066653,99.3529411764706,2025.0,3.0,"2023,2024,2025",134.0,44.9,0.9846099862176745,False,2025.0,0.0649814627569936,0.025859086202809214,0.21638018200202225,0.08041888491652797,0.2728345129760701,0.0977820001180991,0.5541961577350859,0.2040599712374363,99.41176470588235,100.0,99.41176470588235,99.61764705882354,1,1,100.0,170,183,0.9941520467836257,scored
S020000780,브니엘예술중학교,금정구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020000780.html;data\raw\advancement\2024\S020000780.html;data\raw\advancement\2025\S020000780.html,2026-09-05T00:58:45.265278+00:00,middle-score-1.0,False,1.0,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,123404f3-858c-4407-98f7-a1c1ad26f67b,available,2025.0,True,,71.0,27.0,0.0,6.0,6.0,14.0,0.0,26.0,17.0,0.0,17.0,1.0,71.0,0.0,0.0,0.0,,,,,,"{'졸업자': '71', '진학자 일반고': '27', '진학자 특성화고': '0', '진학자 특수목적고 과학고': '6', '진학자 특수목적고 외고국제고': '6', '진학자 특수목적고 예고체고': '14', '진학자 특수목적고 마이스터고': '0', '진학자 특수목적고 소계': '26', '진학자 자율고 자율형사립고': '17', '진학자 자율고 자율형공립고': '0', '진학자 자율고 소계': '17', '진학자 기타': '1', '진학자 진학자계': '71', '취업자': '0', '대안교육기관진학(학력미인정)': '0', '무직 및 미상': '0'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,29.0,0.08450704225352113,0.08450704225352113,0.23943661971830985,0.4084507042253521,0.19718309859154928,0.0,0.04021333565361235,0.04598903018087925,0.11241676811636599,0.1986191339508576,98.52941176470587,2025.0,3.0,"2023,2024,2025",222.0,73.5,0.9168836502943187,False,2025.0,0.05705857908250345,0.02871011394455216,0.11411864230695024,0.059600713257700194,0.20322726665578295,0.09714972148337733,0.3744044880452366,0.18546054868562967,100.0,98.82352941176471,98.82352941176471,99.3529411764706,2,1,99.41176470588235,170,183,0.9941520467836257,scored
S020001910,센텀중학교,해운대구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020001910.html;data\raw\advancement\2024\S020001910.html;data\raw\advancement\2025\S020001910.html,2026-09-05T00:58:30.650618+00:00,middle-score-1.0,False,1.0,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,bfc013ae-ea6d-4eb2-b2fb-f42899174b01,available,2025.0,True,,370.0,235.0,19.0,15.0,26.0,28.0,3.0,72.0,36.0,2.0,38.0,3.0,367.0,0.0,0.0,3.0,,,,,,"{'졸업자': '370', '진학자 일반고': '235', '진학자 특성화고': '19', '진학자 특수목적고 과학고': '15', '진학자 특수목적고 외고국제고': '26', '진학자 특수목적고 예고체고': '28', '진학자 특수목적고 마이스터고': '3', '진학자 특수목적고 소계': '72', '진학자 자율고 자율형사립고': '36', '진학자 자율고 자율형공립고': '2', '진학자 자율고 소계': '38', '진학자 기타': '3', '진학자 진학자계': '367', '취업자': '0', '대안교육기관진학(학력미인정)': '0', '무직 및 미상': '3'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,77.0,0.04054054054054054,0.07027027027027027,0.0972972972972973,0.20810810810810812,0.07567567567567568,0.008108108108108109,0.03377974552503768,0.05928537055517096,0.08132610074020975,0.1743912168204184,98.8529411764706,2025.0,3.0,"2023,2024,2025",1152.0,378.5,0.9540271046678768,False,2025.0,0.02771972298896965,0.023645098432771645,0.07107272735974017,0.06022261949850827,0.09738849164548105,0.08100238842650012,0.19618094199419087,0.16487010635778004,98.82352941176471,99.41176470588235,98.23529411764706,98.91176470588236,3,1,98.82352941176471,170,183,0.9941520467836257,scored
S020001893,해강중학교,해운대구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020001893.html;data\raw\advancement\2024\S020001893.html;data\raw\advancement\2025\S020001893.html,2026-09-05T00:58:30.223556+00:00,middle-score-1.0,False,1.0,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,ecb608a0-3e13-42b9-b11b-c4515a9f4b8e,available,2025.0,True,,329.0,195.0,37.0,9.0,19.0,22.0,3.0,53.0,35.0,0.0,35.0,1.0,321.0,0.0,3.0,5.0,,,,,,"{'졸업자': '329', '진학자 일반고': '195', '진학자 특성화고': '37', '진학자 특수목적고 과학고': '9', '진학자 특수목적고 외고국제고': '19', '진학자 특수목적고 예고체고': '22', '진학자 특수목적고 마이스터고': '3', '진학자 특수목적고 소계': '53', '진학자 자율고 자율형사립고': '35', '진학자 자율고 자율형공립고': '0', '진학자 자율고 소계': '35', '진학자 기타': '1', '진학자 진학자계': '321', '취업자': '0', '대안교육기관진학(학력미인정)': '3', '무직 및 미상': '5'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,63.0,0.02735562310030395,0.057750759878419454,0.10638297872340426,0.19148936170212766,0.0668693009118541,0.00911854103343465,0.023022098826964363,0.0486343220534507,0.08676752295547456,0.15842394383588962,97.44117647058823,2025.0,3.0,"2023,2024,2025",1027.0,339.6,0.9650658349492923,False,2025.0,0.02659038905600341,0.022440754411890876,0.051523103012342406,0.04417803746641312,0.08674053876013353,0.0711725368091675,0.16485403082847935,0.1377913286874715,98.23529411764706,97.05882352941177,97.6470588235294,97.70588235294117,4,2,98.23529411764706,170,183,0.9941520467836257,scored
S020000789,여명중학교,동래구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020000789.html;data\raw\advancement\2024\S020000789.html;data\raw\advancement\2025\S020000789.html,2026-09-05T00:57:52.428979+00:00,middle-score-1.0,False,1.0,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,a6d069e2-b31e-4363-be8c-433c85346380,available,2025.0,True,,285.0,191.0,49.0,9.0,10.0,7.0,3.0,29.0,12.0,0.0,12.0,0.0,281.0,0.0,1.0,3.0,,,,,,"{'졸업자': '285', '진학자 일반고': '191', '진학자 특성화고': '49', '진학자 특수목적고 과학고': '9', '진학자 특수목적고 외고국제고': '10', '진학자 특수목적고 예고체고': '7', '진학자 특수목적고 마이스터고': '3', '진학자 특수목적고 소계': '29', '진학자 자율고 자율형사립고': '12', '진학자 자율고 자율형공립고': '0', '진학자 자율고 소계': '12', '진학자 기타': '0', '진학자 진학자계': '281', '취업자': '0', '대안교육기관진학(학력미인정)': '1', '무직 및 미상': '3'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,31.0,0.031578947368421054,0.03508771929824561,0.042105263157894736,0.10877192982456141,0.02456140350877193,0.010526315789473684,0.025653195835760288,0.03081590691150741,0.03694355155298334,0.09341265430025103,93.82352941176471,2025.0,3.0,"2023,2024,2025",901.0,296.2,0.9637403903497863,False,2025.0,0.026873760226828206,0.022176714407359632,0.0344159275422228,0.03063733880583737,0.0406488573973017,0.03514918371564907,0.10193854516635271,0.08796323692884607,97.6470588235294,90.0,94.11764705882352,94.26470588235294,5,1,97.6470588235294,170,183,0.9941520467836257,scored
S020000616,분포중학교,남구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020000616.html;data\raw\advancement\2024\S020000616.html;data\raw\advancement\2025\S020000616.html,2026-09-05T00:58:04.860253+00:00,middle-score-1.0,False,1.0,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,17be871a-64b8-429c-96a8-12cb3f13ac7d,available,2025.0,True,,231.0,144.0,43.0,4.0,14.0,12.0,2.0,32.0,11.0,0.0,11.0,0.0,230.0,0.0,0.0,1.0,,,,,,"{'졸업자': '231', '진학자 일반고': '144', '진학자 특성화고': '43', '진학자 특수목적고 과학고': '4', '진학자 특수목적고 외고국제고': '14', '진학자 특수목적고 예고체고': '12', '진학자 특수목적고 마이스터고': '2', '진학자 특수목적고 소계': '32', '진학자 자율고 자율형사립고': '11', '진학자 자율고 자율형공립고': '0', '진학자 자율고 소계': '11', '진학자 기타': '0', '진학자 진학자계': '230', '취업자': '0', '대안교육기관진학(학력미인정)': '0', '무직 및 미상': '1'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,29.0,0.017316017316017316,0.06060606060606061,0.047619047619047616,0.12554112554112554,0.05194805194805195,0.008658008658008658,0.014732569174524807,0.04792786755568082,0.039949448180962494,0.10260988491116813,92.76470588235296,2025.0,3.0,"2023,2024,2025",729.0,237.2,0.8983920118184587,False,2025.0,0.014261027427304769,0.012541762095831688,0.05623863642551262,0.04540144701056693,0.045499577226058435,0.037718441676924556,0.11599924107887583,0.09566165078332317,88.8235294117647,97.6470588235294,96.47058823529412,93.44117647058823,6,1,97.05882352941177,170,183,0.9941520467836257,scored
S020001644,해운대중학교,해운대구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020001644.html;data\raw\advancement\2024\S020001644.html;data\raw\advancement\2025\S020001644.html,2026-09-05T00:58:29.128124+00:00,middle-score-1.0,False,1.0,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,679c784f-875c-4539-915e-7340f5e26954,available,2025.0,True,,196.0,100.0,34.0,6.0,6.0,4.0,7.0,23.0,36.0,0.0,36.0,3.0,196.0,0.0,0.0,0.0,,,,,,"{'졸업자': '196', '진학자 일반고': '100', '진학자 특성화고': '34', '진학자 특수목적고 과학고': '6', '진학자 특수목적고 외고국제고': '6', '진학자 특수목적고 예고체고': '4', '진학자 특수목적고 마이스터고': '7', '진학자 특수목적고 소계': '23', '진학자 자율고 자율형사립고': '36', '진학자 자율고 자율형공립고': '0', '진학자 자율고 소계': '36', '진학자 기타': '3', '진학자 진학자계': '196', '취업자': '0', '대안교육기관진학(학력미인정)': '0', '무직 및 미상': '0'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,48.0,0.030612244897959183,0.030612244897959183,0.1836734693877551,0.24489795918367346,0.02040816326530612,0.03571428571428571,0.02323135269178281,0.026567987030170107,0.12913265995911685,0.17893199968106976,93.38235294117648,2025.0,3.0,"2023,2024,2025",618.0,204.2,0.8905113592620952,False,2025.0,0.02414764070765921,0.018940934480595355,0.029049601491972936,0.025868028736900757,0.1642868156436887,0.11619294505143266,0.2174840578433208,0.16100190826892877,95.29411764705881,84.70588235294117,100.0,92.52941176470588,7,3,96.47058823529412,170,183,0.9941520467836257,scored
S020001643,해운대여자중학교,해운대구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020001643.html;data\raw\advancement\2024\S020001643.html;data\raw\advancement\2025\S020001643.html,2026-09-05T00:58:28.453945+00:00,middle-score-1.0,False,1.0,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,0932691d-8f7c-4d99-a7c1-41b3749239f0,available,2025.0,True,,199.0,124.0,34.0,2.0,17.0,7.0,1.0,27.0,11.0,0.0,11.0,3.0,199.0,0.0,0.0,0.0,,,,,,"{'졸업자': '199', '진학자 일반고': '124', '진학자 특성화고': '34', '진학자 특수목적고 과학고': '2', '진학자 특수목적고 외고국제고': '17', '진학자 특수목적고 예고체고': '7', '진학자 특수목적고 마이스터고': '1', '진학자 특수목적고 소계': '27', '진학자 자율고 자율형사립고': '11', '진학자 자율고 자율형공립고': '0', '진학자 자율고 소계': '11', '진학자 기타': '3', '진학자 진학자계': '199', '취업자': '0', '대안교육기관진학(학력미인정)': '0', '무직 및 미상': '0'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,30.0,0.010050251256281407,0.08542713567839195,0.05527638190954774,0.1507537688442211,0.035175879396984924,0.005025125628140704,0.009620335775142848,0.06309071625729215,0.04422497440768757,0.11693602644012256,87.05882352941177,2025.0,3.0,"2023,2024,2025",621.0,205.3,0.9130831702228966,False,2025.0,0.01115381002785314,0.010270647632652093,0.07912622060698893,0.05952979433481435,0.04498182862551434,0.03640364578357688,0.13526185926035642,0.10620408775104331,80.58823529411765,98.23529411764706,95.88235294117648,89.82352941176471,8,4,95.88235294117648,170,183,0.9941520467836257,scored
S020001635,신곡중학교,해운대구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020001635.html;data\raw\advancement\2024\S020001635.html;data\raw\advancement\2025\S020001635.html,2026-09-05T00:58:24.787623+00:00,middle-score-1.0,False,1.0,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,aae71d30-1e3d-4767-aea8-eae82878386c,available,2025.0,True,,188.0,124.0,37.0,1.0,6.0,6.0,3.0,16.0,8.0,1.0,9.0,2.0,188.0,0.0,0.0,0.0,,,,,,"{'졸업자': '188', '진학자 일반고': '124', '진학자 특성화고': '37', '진학자 특수목적고 과학고': '1', '진학자 특수목적고 외고국제고': '6', '진학자 특수목적고 예고체고': '6', '진학자 특수목적고 마이스터고': '3', '진학자 특수목적고 소계': '16', '진학자 자율고 자율형사립고': '8', '진학자 자율고 자율형공립고': '1', '진학자 자율고 소계': '9', '진학자 기타': '2', '진학자 진학자계': '188', '취업자': '0', '대안교육기관진학(학력미인정)': '0', '무직 및 미상': '0'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,15.0,0.005319148936170213,0.031914893617021274,0.0425531914893617,0.0797872340425532,0.031914893617021274,0.015957446808510637,0.00651555693322122,0.027305986669897052,0.035497456069092305,0.06931899967221059,67.32352941176471,2025.0,3.0,"2023,2024,2025",644.0,205.3,0.8312217408877639,False,2025.0,0.017028904289565938,0.014312536868276606,0.02741779214067335,0.024720314178872296,0.03266085093929601,0.02800929420952729,0.0771075473695353,0.06704214525667619,93.52941176470588,83.52941176470588,90.0,89.32352941176471,9,5,95.29411764705881,170,183,0.9941520467836257,scored
S020000795,장전중학교,금정구,N,N,2025.0,2025,학교알리미 공시 13-다,data\raw\advancement\2023\S020000795.html;data\raw\advancement\2024\S020000795.html;data\raw\advancement\2025\S020000795.html,2026-09-05T00:58:45.439198+00:00,middle-score-1.0,False,1.0,2025.0,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,9cf928a2-0a36-4418-a0db-d59b7a58f807,available,2025.0,True,,168.0,110.0,34.0,4.0,3.0,3.0,4.0,14.0,6.0,0.0,6.0,3.0,167.0,0.0,0.0,1.0,,,,,,"{'졸업자': '168', '진학자 일반고': '110', '진학자 특성화고': '34', '진학자 특수목적고 과학고': '4', '진학자 특수목적고 외고국제고': '3', '진학자 특수목적고 예고체고': '3', '진학자 특수목적고 마이스터고': '4', '진학자 특수목적고 소계': '14', '진학자 자율고 자율형사립고': '6', '진학자 자율고 자율형공립고': '0', '진학자 자율고 소계': '6', '진학자 기타': '3', '진학자 진학자계': '167', '취업자': '0', '대안교육기관진학(학력미인정)': '0', '무직 및 미상': '1'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,13.0,0.023809523809523808,0.017857142857142856,0.03571428571428571,0.07738095238095238,0.017857142857142856,0.023809523809523808,0.018195822375998923,0.018149717018396835,0.030683833387681287,0.06702937278207705,84.55882352941177,2025.0,3.0,"2023,2024,2025",480.0,160.6,0.9780107068054587,False,2025.0,0.027414289659525783,0.020101320331907268,0.024678364303467867,0.022715440586001077,0.027484317670730264,0.024146998488058395,0.07957697163372392,0.06696375940596674,97.05882352941177,80.0,84.11764705882354,88.5,10,2,94.70588235294117,170,183,0.9941520467836257,scored
