internal_complex_id,kapt_code,complex_name,households,address,road_address,sigungu,legal_dong,admin_dong,latitude,longitude,raw_road_address,raw_lot_address,normalized_road_address,normalized_lot_address,address_evidence_source,address_source_document,upstream_match_method,lawd_cd,jibun_evidence,road_name_evidence,road_number_evidence,missing_reason
TRADE_0039881CB9D1,,벨로스,,,,해운대구,중동,,,,부산광역시 해운대구 달맞이길117번나길 151,부산광역시 해운대구 중동 1477-3,부산광역시 해운대구 달맞이길117번나길 151,부산광역시 해운대구 중동 1477-3,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26350,1477-3,달맞이길117번나길,151,KAPT_UNMATCHED
TRADE_0048CC450DA6,,카멜롯,,,,서구,동대신동2가,,,,부산광역시 서구 대영로105번길 21,부산광역시 서구 동대신동2가 182-1,부산광역시 서구 대영로105번길 21,부산광역시 서구 동대신동2가 182-1,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26140,182-1,대영로105번길,21,KAPT_UNMATCHED
TRADE_0061CD5567B6,,세진오션파크빌,,,,기장군,일광읍삼성리,,,,부산광역시 기장군 일역길 62,부산광역시 기장군 일광읍삼성리 716-6,부산광역시 기장군 일역길 62,부산광역시 기장군 일광읍삼성리 716-6,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26710,716-6,일역길,62,KAPT_UNMATCHED
TRADE_006F35A5B794,,허브팰리스,,,,동래구,온천동,,,,부산광역시 동래구 미남로132번길 25,부산광역시 동래구 온천동 1425-14,부산광역시 동래구 미남로132번길 25,부산광역시 동래구 온천동 1425-14,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26260,1425-14,미남로132번길,25,KAPT_UNMATCHED
TRADE_0070D9F696D7,,세진에버그린B동,,,,금정구,구서동,,,,부산광역시 금정구 금샘로 447,부산광역시 금정구 구서동 1005-3,부산광역시 금정구 금샘로 447,부산광역시 금정구 구서동 1005-3,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26410,1005-3,금샘로,447,KAPT_UNMATCHED
TRADE_00B167FEF1CB,,센텀드림힐,,,,해운대구,재송동,,,,부산광역시 해운대구 재반로64번길 90,부산광역시 해운대구 재송동 1123-1,부산광역시 해운대구 재반로64번길 90,부산광역시 해운대구 재송동 1123-1,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26350,1123-1,재반로64번길,90,KAPT_UNMATCHED
TRADE_00D446BA7825,,대토,,,,동래구,수안동,,,,부산광역시 동래구 온천천로 275,부산광역시 동래구 수안동 32-5,부산광역시 동래구 온천천로 275,부산광역시 동래구 수안동 32-5,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26260,32-5,온천천로,275,KAPT_UNMATCHED
TRADE_0101B62BAE35,,거성경원골든빌라,,,,금정구,구서동,,,,부산광역시 금정구 두실로37번길 3,부산광역시 금정구 구서동 1017-32,부산광역시 금정구 두실로37번길 3,부산광역시 금정구 구서동 1017-32,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26410,1017-32,두실로37번길,3,KAPT_UNMATCHED
TRADE_010BF464D2B6,,리치빌,,,,동래구,사직동,,,,부산광역시 동래구 아시아드대로114번길 43,부산광역시 동래구 사직동 115-7,부산광역시 동래구 아시아드대로114번길 43,부산광역시 동래구 사직동 115-7,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26260,115-7,아시아드대로114번길,43,KAPT_UNMATCHED
TRADE_014383E654EE,,온천화목,,,,금정구,장전동,,,,부산광역시 금정구 식물원로 47,부산광역시 금정구 장전동 618-1,부산광역시 금정구 식물원로 47,부산광역시 금정구 장전동 618-1,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26410,618-1,식물원로,47,KAPT_UNMATCHED
