E_quintile,M_quintile,apartment_count,transaction_count,median_raw_price_per_m2,median_adjusted_residual,mean_ml_school_contribution_log,mean_shap_contribution,interaction_method
Q1,Q1,21,649,2763819.095477387,-0.021987094506714655,-0.22807966793416987,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q1,Q2,37,1275,2573760.200878845,-0.03706135030309543,-0.20708713997730593,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q1,Q3,22,890,2972018.5231621545,-0.0644236601295538,-0.28896043049424225,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q1,Q4,16,536,4295613.974648111,-0.04897971317476868,-0.15078699213841237,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q1,Q5,2,52,4143753.0501209875,-0.08336670202262386,0.2210603557417507,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q2,Q1,15,465,2751375.687843922,-0.04338753798313455,-0.2264615314947414,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q2,Q2,25,1048,3975396.647479722,0.024607548883478714,-0.16745814498123415,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q2,Q3,36,1581,4770932.170005007,-0.02460379632321441,-0.03398567334718856,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q2,Q4,19,980,4268401.128077441,-0.010658695567984822,-0.09211045027327724,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q2,Q5,2,139,5049312.385457765,-0.19675425340487118,-0.20366106701732428,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q3,Q1,19,603,3446220.3086803677,0.06413286212567915,-0.17488568598745471,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q3,Q2,12,443,4983864.952268926,0.006113287469618811,-0.06998741554964329,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q3,Q3,13,578,5644384.681471869,0.0036479121477270837,-0.01611448641853472,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q3,Q4,25,1276,5390943.450415679,0.0019514027384692767,0.051564955256168714,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q3,Q5,28,1304,4902816.864470001,-0.031290731667421134,0.1557411751401434,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q4,Q1,33,1578,4008016.032064128,0.009024355874847956,-0.07849666488480424,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q4,Q2,16,935,5370581.158997796,0.06508886674999381,0.019427894715509667,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q4,Q3,14,714,6428180.954959389,0.007940108897531495,0.008365498295677072,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q4,Q4,12,784,5824415.640474655,0.09435250761418779,0.22151669491650564,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q4,Q5,22,928,6121798.710941681,0.002299199987680467,0.34314110374346235,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q5,Q1,10,513,5229786.07813517,0.005601417765028316,-0.15307939862784628,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q5,Q2,7,299,5873430.901254611,-0.0025373012725786737,0.1256090611473706,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q5,Q3,12,584,7356460.340956491,0.13912799660282893,0.21674166040791465,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q5,Q4,25,1591,7795024.114701379,0.017492111803901977,0.18541372522977087,,2D_PDP_USED_SHAP_NOT_INSTALLED
Q5,Q5,43,2436,8179338.1679694755,0.06253650223093743,0.5590138223234877,,2D_PDP_USED_SHAP_NOT_INSTALLED
