Metric,Phase8_original,M_common_sample,E_only,E_plus_M,E_plus_M_interaction
N_apartments,487,486,486,486,486
N_transactions,22218,22181,22181,22181,22181
Pearson,0.398,0.3983088781906407,0.5209778773413195,0.5459265462308536,0.545582887814911
Spearman,0.375,0.37593940359317657,0.5274220221627182,0.5477653375492212,0.5474864286131678
Within_district_Spearman,0.19,0.18961966986361406,0.4089254144777329,0.4037202563257147,0.4028953846821858
Within_legal_dong_Spearman,0.005,0.00426246678574322,0.3067446268362932,0.30231777158859324,0.30198071006301863
FE_E_coef,,,0.005902001275110572,0.005836382801868432,0.005933924961548566
FE_E_pvalue,,,3.8801490607795086e-09,5.408128742363802e-09,0.2942661360474756
FE_M_coef,0.0030487677646886084,0.0030476297480247303,,0.0011450505418061935,0.0012412028826897532
FE_M_pvalue,0.18871028480686353,0.18899707013922193,,0.6077784021025097,0.8305572779470147
FE_interaction_coef,,,,,-0.01630592747731452
FE_interaction_pvalue,,,,,0.9863593595974424
ML_RMSE,,0.2905921064458876,0.30922798103995697,0.2787240510758943,0.28521509537529466
ML_MAE,,0.22083335083194985,0.23650542498918506,0.21617800145146324,0.22048033195209463
ML_R2,,0.6686426968228211,0.6230510229612305,0.6954066843183483,0.6815269924495237
