school_id,school_name,district,phase9_data_status,linked_apartment_count,linked_500plus_apartment_count,phase8_primary_apartment_count,phase8_recent_transaction_count
S020000657,좌성초등학교,동구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
S020000658,좌천초등학교,동구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
S020000823,서곡초등학교,금정구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
S020000837,회동초등학교,금정구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
S020000990,가산초등학교,부산진구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
S020001033,주원초등학교,부산진구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
S020001238,괘법초등학교,사상구,ELEMENTARY_DEMAND_MISSING_API,25,0,0,0
S020001245,눌차초등학교,강서구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
S020001248,대저중앙초등학교,강서구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
S020001252,덕도초등학교,강서구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
S020001272,삼광초등학교,강서구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
S020001276,세산초등학교,강서구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
S020001278,송정초등학교,강서구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
S020001446,감정초등학교,사하구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
S020001463,봉삼초등학교,영도구,ELEMENTARY_DEMAND_MISSING_API,3,2,1,37
S020001474,신선초등학교,영도구,ELEMENTARY_DEMAND_MISSING_API,3,0,0,0
S020001844,위봉초등학교,해운대구,ELEMENTARY_DEMAND_MISSING_API,0,0,0,0
