model,split_id,split_seed,train_rows,test_rows,train_apartments,test_apartments,RMSE,MAE,R2,MAPE
MODEL_0,0,42,17755,4421,388,97,0.3377087258991885,0.2510927268963927,0.5411205473490984,0.2658745508327038
MODEL_1_M,0,42,17755,4421,388,97,0.290582559723415,0.21509775943628753,0.6602549505087536,0.22816624937898916
MODEL_2_E,0,42,17755,4421,388,97,0.3071259206320427,0.2322338477437421,0.6204692316807986,0.24166928298414458
MODEL_3_E_M,0,42,17755,4421,388,97,0.28043884185600115,0.2194296034508163,0.683560727911505,0.22167075615373022
MODEL_4_E_M_INTERACTION,0,42,17755,4421,388,97,0.2916418669331754,0.21983651470211255,0.6577733812700302,0.2207202251258298
MODEL_0,1,52,18007,4169,388,97,0.3738508127154155,0.30468663626027365,0.3964992272511666,0.33926340855582915
MODEL_1_M,1,52,18007,4169,388,97,0.286782415605662,0.23027301989351423,0.6448709419596679,0.24822113962982537
MODEL_2_E,1,52,18007,4169,388,97,0.31594079938135605,0.24871591902951118,0.568984788540019,0.26427545573703515
MODEL_3_E_M,1,52,18007,4169,388,97,0.2719762217492502,0.21670675036556786,0.6805940184223593,0.22927042576407206
MODEL_4_E_M_INTERACTION,1,52,18007,4169,388,97,0.2701385839283849,0.2177608036557084,0.6848956415788532,0.2287573940578882
MODEL_0,2,62,18340,3836,388,97,0.3284326466852825,0.25352906343838655,0.627658058266269,0.25198511465170037
MODEL_1_M,2,62,18340,3836,388,97,0.2944113440085858,0.21712927316604771,0.700802198000042,0.22197118636967522
MODEL_2_E,2,62,18340,3836,388,97,0.3046172231064721,0.22856650819430196,0.679699048662874,0.23702228188306
MODEL_3_E_M,2,62,18340,3836,388,97,0.2837570896224317,0.21239765053800552,0.7220653066211802,0.2153704630870591
MODEL_4_E_M_INTERACTION,2,62,18340,3836,388,97,0.29386483526432366,0.2238436774984629,0.7019119544996878,0.23606918256940357
