sigungu,legal_dong,high_complex_id,high_complex_name,low_complex_id,low_complex_name,high_E,low_E,high_M,low_M,high_EM,low_EM,high_price_per_m2,low_price_per_m2,price_difference_pct,age_difference,household_difference_pct,score_gap
해운대구,재송동,A61271302,더샵센텀파크2차,A61278214,센텀우신골든빌,89.52671081677705,20.46280353200883,55.88392156862745,40.252941176470586,0.500310368558196,0.0823688026879626,11931087.926211538,3378818.0973178493,2.5311424239388898,1.0,0.1523046092184369,84.69488767692508
연제구,거제동,A61176513,거제1차현대홈타운,A61177214,거제동월드메르디앙,89.40375275938192,38.8735651214128,73.23970588235295,56.42980392156863,0.6547904556875732,0.21936276575336533,7925913.565826798,6889071.812391143,0.15050529036012117,5.0,0.025086505190311418,67.34008959875344
해운대구,반여동,A61206110,센텀롯데캐슬3차아파트,A61279802,일동미라주,75.30364238410596,37.381015452538634,60.278823529411774,41.22666666666667,0.45392149703934553,0.1541094663723326,4696166.418720261,3598359.850027383,0.3050852650783451,5.0,0.08333333333333333,56.97478379431243
북구,금곡동,A10028138,동원역삼정그린코아,A61673902,율리역벽산블루밍1단지,45.725717439293604,21.752097130242827,40.883529411764705,67.82882352941176,0.18694287138034024,0.1475419157641865,4067021.6923518805,4471272.07690588,-0.09041059850550204,1.0,0.10186757215619695,50.91891442669784
동래구,온천동,A10023417,더샵동래,A10026316,동래삼정그린코아포레스트,83.8975165562914,39.60292494481236,61.83529411764707,67.00627450980392,0.5187827611998442,0.2653644460243258,8600093.305121886,5963691.158739287,0.4420755663242508,5.0,0.03482587064676617,49.465572003635884
북구,덕천동,A61670501,덕천삼정그린코아,A61610003,롯데,67.33973509933774,35.35176600441501,34.65176470588236,51.84117647058823,0.23334406560186993,0.18326771399818206,4399900.700565208,2477864.411259416,0.7756825920627692,3.0,0.20567375886524822,49.177380859628606
남구,용호동,A10026391,더블유,A10023436,데시앙해링턴플레이스파크시티,82.85033112582782,41.660761589403975,84.5229411764706,78.69882352941177,0.7002753664199457,0.32786529244254,16869126.415056694,6302888.824044354,1.6764118622407076,5.0,0.1373913043478261,47.01368718348267
연제구,연산동,A10022365,연산포레서희스타힐스,A10025135,시청역비스타동원,73.0110927152318,32.301821192052984,57.94745098039217,51.68000000000001,0.4230806716140762,0.1669358119205298,6128274.207272376,7412366.432875415,-0.17323647410465548,5.0,0.17297297297297298,46.976722503570976
남구,대연동,A60874408,부산대연동푸르지오,A60877710,삼익그린,76.50546357615895,38.21296909492274,57.88676470588235,64.31647058823528,0.4428653768747566,0.2457723302882742,6602167.182662539,2706519.180983761,1.4393572486202721,4.0,0.06482758620689655,44.72220036358913
북구,화명동,A61612010,화명2차현대,A61679208,경남아너스빌,66.68863134657838,45.28443708609271,73.8094117647059,56.18058823529412,0.49222486510842767,0.2544106313400857,4853266.630821126,4164158.137668072,0.1654856685003212,3.0,0.23283983849259757,39.03301778989745
사상구,주례동,A61778608,주례청구,A61701002,한일유엔아이,58.16153421633554,33.309713024282566,43.65294117647059,57.46941176470588,0.2538922031878977,0.19142896135566811,2550425.0708451406,3176477.05333079,-0.19709003779176804,3.0,0.15890688259109312,38.668291780288264
