n,coefficient,standard_error,t_stat,p_value,ci95_low,ci95_high,r_squared,scenario,excluded_districts,predictor,outcome
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,ALL,,confirmed_middle_quality_median,adjusted_upper_grade_index
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,ALL,,confirmed_middle_quality_median,adjusted_cohort_growth
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,ALL,,confirmed_middle_quality_median,net_transfer_rate
267,0.0018653572908019565,0.0011168936490582831,1.6701297320248403,0.09616040212746442,-0.00032375426135227824,0.004054468842956191,0.4612820186651412,ALL,,broad_middle_quality_median,adjusted_upper_grade_index
266,0.00032347811917483985,0.00016597883053438343,1.948911907219575,0.052442692244172064,-1.8403886725516859e-06,0.0006487966270222313,0.5388341369788139,ALL,,broad_middle_quality_median,adjusted_cohort_growth
266,0.0003216894170789802,0.0002259539297456253,1.4236947214909343,0.1558019648682372,-0.00012118028522244541,0.0007645591193804058,0.35356331406274644,ALL,,broad_middle_quality_median,net_transfer_rate
19,0.001266814084542,0.004687418718686093,0.27025835765256623,0.7915533877509344,-0.007920526604082743,0.010454154773166743,0.7218317846954894,LEAVE_ONE_OUT_강서구,강서구,confirmed_middle_quality_median,adjusted_upper_grade_index
19,0.0007737385477976786,0.0006794535642271599,1.1387658973836756,0.2770244326839948,-0.0005579904380875548,0.002105467533682912,0.744358457668885,LEAVE_ONE_OUT_강서구,강서구,confirmed_middle_quality_median,adjusted_cohort_growth
19,0.0005856213219034455,0.0010795774627714117,0.5424541935138971,0.5974359238576414,-0.0015303505051285212,0.002701593148935412,0.6969988164658304,LEAVE_ONE_OUT_강서구,강서구,confirmed_middle_quality_median,net_transfer_rate
249,0.0016471494315989273,0.0010171681032569604,1.6193482928974807,0.1067426885476768,-0.000346500050784715,0.0036407989139825695,0.5661188690794987,LEAVE_ONE_OUT_강서구,강서구,broad_middle_quality_median,adjusted_upper_grade_index
248,0.0002720051763135892,0.00014542477195279285,1.8704184483912156,0.06270143033642757,-1.3027376713884787e-05,0.0005570377293410632,0.5020426773297932,LEAVE_ONE_OUT_강서구,강서구,broad_middle_quality_median,adjusted_cohort_growth
248,0.00032383291950722397,0.00016035320303186054,2.0194976675513097,0.04460066505416703,9.540641564777317e-06,0.0006381251974496706,0.3102741526419849,LEAVE_ONE_OUT_강서구,강서구,broad_middle_quality_median,net_transfer_rate
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,LEAVE_ONE_OUT_금정구,금정구,confirmed_middle_quality_median,adjusted_upper_grade_index
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,LEAVE_ONE_OUT_금정구,금정구,confirmed_middle_quality_median,adjusted_cohort_growth
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,LEAVE_ONE_OUT_금정구,금정구,confirmed_middle_quality_median,net_transfer_rate
254,0.0019095314704154205,0.0011393546242398106,1.6759764078628987,0.095072699551069,-0.00032360359309460815,0.004142666533925449,0.46780136646332093,LEAVE_ONE_OUT_금정구,금정구,broad_middle_quality_median,adjusted_upper_grade_index
253,0.00034393290589341483,0.00017113409006639334,2.009727610436835,0.04560817329591936,8.510089363283901e-06,0.0006793557224235458,0.5245169258032264,LEAVE_ONE_OUT_금정구,금정구,broad_middle_quality_median,adjusted_cohort_growth
253,0.0002988780939917901,0.00023421285810241353,1.276096011180994,0.20318673137595417,-0.00016017910788894044,0.0007579352958725207,0.3559821824569681,LEAVE_ONE_OUT_금정구,금정구,broad_middle_quality_median,net_transfer_rate
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,LEAVE_ONE_OUT_기장군,기장군,confirmed_middle_quality_median,adjusted_upper_grade_index
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,LEAVE_ONE_OUT_기장군,기장군,confirmed_middle_quality_median,adjusted_cohort_growth
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,LEAVE_ONE_OUT_기장군,기장군,confirmed_middle_quality_median,net_transfer_rate
254,0.0017467791409492201,0.0011515337797624009,1.5169152409142856,0.13063211363516655,-0.0005102270673850856,0.004003785349283526,0.452094631905561,LEAVE_ONE_OUT_기장군,기장군,broad_middle_quality_median,adjusted_upper_grade_index
253,0.000330403941397758,0.0001699820540665953,1.9437577879151458,0.053123561101394774,-2.7608845727688006e-06,0.0006635687673682848,0.5382684473722663,LEAVE_ONE_OUT_기장군,기장군,broad_middle_quality_median,adjusted_cohort_growth
253,0.0003400460200754997,0.00023351826028816488,1.4561859944309195,0.14668161738914134,-0.00011764977008930347,0.0007977418102403028,0.3537622976479422,LEAVE_ONE_OUT_기장군,기장군,broad_middle_quality_median,net_transfer_rate
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,LEAVE_ONE_OUT_남구,남구,confirmed_middle_quality_median,adjusted_upper_grade_index
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,LEAVE_ONE_OUT_남구,남구,confirmed_middle_quality_median,adjusted_cohort_growth
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,LEAVE_ONE_OUT_남구,남구,confirmed_middle_quality_median,net_transfer_rate
246,0.002078139315349909,0.0012113946346620974,1.715493247111482,0.0876193268448452,-0.00029619416858780176,0.0044524727992876195,0.4491688387009014,LEAVE_ONE_OUT_남구,남구,broad_middle_quality_median,adjusted_upper_grade_index
246,0.00036006023113020514,0.0001826548950591549,1.9712596862711809,0.04990897333316724,2.0566368142615424e-06,0.0007180638254461487,0.5424942075390802,LEAVE_ONE_OUT_남구,남구,broad_middle_quality_median,adjusted_cohort_growth
246,0.000320108652893505,0.00024978089976971746,1.2815577699841156,0.201305321065131,-0.00016946191065514118,0.0008096792164421511,0.3615347261839299,LEAVE_ONE_OUT_남구,남구,broad_middle_quality_median,net_transfer_rate
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,LEAVE_ONE_OUT_동구,동구,confirmed_middle_quality_median,adjusted_upper_grade_index
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,LEAVE_ONE_OUT_동구,동구,confirmed_middle_quality_median,adjusted_cohort_growth
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,LEAVE_ONE_OUT_동구,동구,confirmed_middle_quality_median,net_transfer_rate
261,0.0018323378317337976,0.001126208925783652,1.6269963678886654,0.10503919599470021,-0.00037503166280216044,0.004039707326269756,0.4595322747280387,LEAVE_ONE_OUT_동구,동구,broad_middle_quality_median,adjusted_upper_grade_index
260,0.0003109690928594697,0.0001646843624274948,1.8882733507644318,0.06019039266798099,-1.181225749842009e-05,0.0006337504432173595,0.5488076471931915,LEAVE_ONE_OUT_동구,동구,broad_middle_quality_median,adjusted_cohort_growth
260,0.00032283421044663585,0.0002279080406302002,1.4165108416269583,0.1579172499530123,-0.00012386554918855652,0.0007695339700818282,0.35211951343238657,LEAVE_ONE_OUT_동구,동구,broad_middle_quality_median,net_transfer_rate
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,LEAVE_ONE_OUT_동래구,동래구,confirmed_middle_quality_median,adjusted_upper_grade_index
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,LEAVE_ONE_OUT_동래구,동래구,confirmed_middle_quality_median,adjusted_cohort_growth
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,LEAVE_ONE_OUT_동래구,동래구,confirmed_middle_quality_median,net_transfer_rate
249,0.001562737516305018,0.0011836839864030786,1.3202320334279327,0.18806990754120836,-0.0007572830970450158,0.003882758129655052,0.45784703973762575,LEAVE_ONE_OUT_동래구,동래구,broad_middle_quality_median,adjusted_upper_grade_index
248,0.0002706346778663521,0.00017655886797478005,1.5328297070018029,0.12669814499559354,-7.542070336421678e-05,0.000616690059096921,0.5256588826165953,LEAVE_ONE_OUT_동래구,동래구,broad_middle_quality_median,adjusted_cohort_growth
