n,coefficient,standard_error,t_stat,p_value,ci95_low,ci95_high,r_squared,analysis,edge_scheme,model,outcome,predictor,school_data_year,middle_quality_reference_year,temporal_note
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,CURRENT_2026,CONFIRMED,MAIN,adjusted_upper_grade_index,confirmed_middle_quality_median,,,
31,0.003320156261292487,0.006224056142930993,0.5334393175523285,0.5993306375844499,-0.008878993778852259,0.015519306301437233,0.49705094253906035,CURRENT_2026,CONFIRMED,PLUS_CLUSTER,adjusted_upper_grade_index,confirmed_middle_quality_median,,,
29,0.004226437574332573,0.008124277893671473,0.5202231668644446,0.6083494372411696,-0.011697147097263511,0.02015002224592866,0.3048518114746257,CURRENT_2026,CONFIRMED,EXCLUDE_GROWTH_CLUSTER,adjusted_upper_grade_index,confirmed_middle_quality_median,,,
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,CURRENT_2026,CONFIRMED,MAIN,adjusted_cohort_growth,confirmed_middle_quality_median,,,
31,0.00046860543923586846,0.001258669546537337,0.37230219840070455,0.7133986102977319,-0.0019983868719773115,0.0029355977504490487,0.6795227566092003,CURRENT_2026,CONFIRMED,PLUS_CLUSTER,adjusted_cohort_growth,confirmed_middle_quality_median,,,
29,0.0010346090860105998,0.0015445370097634022,0.6698506280332415,0.5102521347072696,-0.0019926834531256684,0.004061901625146868,0.4958760684271496,CURRENT_2026,CONFIRMED,EXCLUDE_GROWTH_CLUSTER,adjusted_cohort_growth,confirmed_middle_quality_median,,,
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,CURRENT_2026,CONFIRMED,MAIN,net_transfer_rate,confirmed_middle_quality_median,,,
31,-0.0031323727404274694,0.0021066838055591283,-1.4868736979710708,0.1519092811080773,-0.007261472999323362,0.0009967275184684225,0.6086508395464877,CURRENT_2026,CONFIRMED,PLUS_CLUSTER,net_transfer_rate,confirmed_middle_quality_median,,,
29,-0.003034516763243737,0.0023670152522921855,-1.2820013560559662,0.21381534683190018,-0.0076738666577364206,0.0016048331312489461,0.478346288158114,CURRENT_2026,CONFIRMED,EXCLUDE_GROWTH_CLUSTER,net_transfer_rate,confirmed_middle_quality_median,,,
267,0.0018653572908019565,0.0011168936490582831,1.6701297320248403,0.09616040212746442,-0.00032375426135227824,0.004054468842956191,0.4612820186651412,CURRENT_2026,BROAD,MAIN,adjusted_upper_grade_index,broad_middle_quality_median,,,
266,0.0022054024000655228,0.0010489709038228893,2.102443825684881,0.036539353466929096,0.0001494194285726596,0.004261385371558386,0.5456661944482242,CURRENT_2026,BROAD,PLUS_CLUSTER,adjusted_upper_grade_index,broad_middle_quality_median,,,
243,0.0018035911700487362,0.001193612195466053,1.511036144653761,0.13219496014314064,-0.0005358887330647278,0.0041430710731622,0.43698489426051246,CURRENT_2026,BROAD,EXCLUDE_GROWTH_CLUSTER,adjusted_upper_grade_index,broad_middle_quality_median,,,
266,0.00032347811917483985,0.00016597883053438343,1.948911907219575,0.052442692244172064,-1.8403886725516859e-06,0.0006487966270222313,0.5388341369788139,CURRENT_2026,BROAD,MAIN,adjusted_cohort_growth,broad_middle_quality_median,,,
266,0.00029574782361559935,0.0001628835555287627,1.8157009322121218,0.07064367642892824,-2.3503945220775533e-05,0.0006149995924519742,0.5756681341535539,CURRENT_2026,BROAD,PLUS_CLUSTER,adjusted_cohort_growth,broad_middle_quality_median,,,
242,0.0002997083501995943,0.00016326274200504344,1.8357424757103238,0.06773333314614173,-2.0286624130290854e-05,0.0006197033245294794,0.44813302076391137,CURRENT_2026,BROAD,EXCLUDE_GROWTH_CLUSTER,adjusted_cohort_growth,broad_middle_quality_median,,,
266,0.0003216894170789802,0.0002259539297456253,1.4236947214909343,0.1558019648682372,-0.00012118028522244541,0.0007645591193804058,0.35356331406274644,CURRENT_2026,BROAD,MAIN,net_transfer_rate,broad_middle_quality_median,,,
266,0.0002741692807228724,0.00022566258771611702,1.2149523033378342,0.22555865908849582,-0.00016812939120071694,0.0007164679526464618,0.38396591923990575,CURRENT_2026,BROAD,PLUS_CLUSTER,net_transfer_rate,broad_middle_quality_median,,,
242,0.0002364863361304531,0.00021586048203088128,1.0955517837517894,0.27446206829980685,-0.00018660020865007422,0.0006595728809109804,0.33315963073816357,CURRENT_2026,BROAD,EXCLUDE_GROWTH_CLUSTER,net_transfer_rate,broad_middle_quality_median,,,
0,,,,,,,,YEAR_MATCHED_STRUCTURAL,,,adjusted_upper_grade_index,confirmed_middle_quality_median,2024.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
0,,,,,,,,YEAR_MATCHED_STRUCTURAL,,,adjusted_cohort_growth,confirmed_middle_quality_median,2024.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
0,,,,,,,,YEAR_MATCHED_STRUCTURAL,,,net_transfer_rate,confirmed_middle_quality_median,2024.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
0,,,,,,,,YEAR_MATCHED_STRUCTURAL,,,adjusted_upper_grade_index,broad_middle_quality_median,2024.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
0,,,,,,,,YEAR_MATCHED_STRUCTURAL,,,adjusted_cohort_growth,broad_middle_quality_median,2024.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
0,,,,,,,,YEAR_MATCHED_STRUCTURAL,,,net_transfer_rate,broad_middle_quality_median,2024.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
31,0.0007591597323820757,0.016684537480472175,0.04550079576797422,0.9641008966203096,-0.031942533729343386,0.033460853194107534,0.10489756271017314,YEAR_MATCHED_STRUCTURAL,,,adjusted_upper_grade_index,confirmed_middle_quality_median,2025.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
31,-7.126814086375109e-05,0.0014997158800622887,-0.0475210950362085,0.9625081509454632,-0.0030107112657858366,0.0028681749840583346,0.4797917615255176,YEAR_MATCHED_STRUCTURAL,,,adjusted_cohort_growth,confirmed_middle_quality_median,2025.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
31,0.0015241514240421639,0.001416733527841082,1.0758208188697087,0.29316357924741354,-0.0012526462905263565,0.004300949138610684,0.224238266943531,YEAR_MATCHED_STRUCTURAL,,,net_transfer_rate,confirmed_middle_quality_median,2025.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
269,0.00034585551647586615,0.0016470410123771606,0.20998597720204656,0.833850333136304,-0.002882344867783369,0.0035740559007351007,0.24904923881347363,YEAR_MATCHED_STRUCTURAL,,,adjusted_upper_grade_index,broad_middle_quality_median,2025.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
269,0.00019188705219119688,0.00020068820298228105,0.9561451512331234,0.33992627584485535,-0.00020146182565407395,0.0005852359300364677,0.5580319351567313,YEAR_MATCHED_STRUCTURAL,,,adjusted_cohort_growth,broad_middle_quality_median,2025.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
269,0.0004700239037142079,0.00020053958428656478,2.3437961407287973,0.019875687755287707,7.696631851254092e-05,0.0008630814889158748,0.32457706608926296,YEAR_MATCHED_STRUCTURAL,,,net_transfer_rate,broad_middle_quality_median,2025.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,YEAR_MATCHED_STRUCTURAL,,,adjusted_upper_grade_index,confirmed_middle_quality_median,2026.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,YEAR_MATCHED_STRUCTURAL,,,adjusted_cohort_growth,confirmed_middle_quality_median,2026.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,YEAR_MATCHED_STRUCTURAL,,,net_transfer_rate,confirmed_middle_quality_median,2026.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
267,0.0018653572908019565,0.0011168936490582831,1.6701297320248403,0.09616040212746442,-0.00032375426135227824,0.004054468842956191,0.4612820186651412,YEAR_MATCHED_STRUCTURAL,,,adjusted_upper_grade_index,broad_middle_quality_median,2026.0,2025.0,"Middle quality is a 2023-2025 aggregate; association is structural, not predictive or causal."
