scope,group,predictor,outcome,n,pearson,spearman
BUSAN,ALL,confirmed_middle_quality_median,adjusted_upper_grade_index,31,-0.07672310247392458,-0.09698629555262483
BUSAN,ALL,confirmed_middle_quality_median,adjusted_cohort_growth,31,-0.010660472455604843,-0.27194727322215834
BUSAN,ALL,confirmed_middle_quality_median,net_transfer_rate,31,-0.19849005134741007,-0.2532840086772883
BUSAN,ALL,broad_middle_quality_median,adjusted_upper_grade_index,267,-0.027858094544572574,-0.05583554882598636
BUSAN,ALL,broad_middle_quality_median,adjusted_cohort_growth,266,0.24477944516424624,0.29475115243777883
BUSAN,ALL,broad_middle_quality_median,net_transfer_rate,266,0.14941975489391707,0.2870217787604865
EDUCATION_OFFICE,bukbu,confirmed_middle_quality_median,adjusted_upper_grade_index,30,-0.12100105119183999,-0.10750174146374562
EDUCATION_OFFICE,bukbu,confirmed_middle_quality_median,adjusted_cohort_growth,30,-0.2364475203261364,-0.39246400363645745
EDUCATION_OFFICE,bukbu,confirmed_middle_quality_median,net_transfer_rate,30,-0.4174099719124985,-0.3736628382313018
EDUCATION_OFFICE,bukbu,broad_middle_quality_median,adjusted_upper_grade_index,66,-0.024310808526748887,-0.07248014672753825
EDUCATION_OFFICE,bukbu,broad_middle_quality_median,adjusted_cohort_growth,66,-0.022328916448706472,0.014897624637820175
EDUCATION_OFFICE,bukbu,broad_middle_quality_median,net_transfer_rate,66,-0.1497815653403306,-0.047129517617663416
EDUCATION_OFFICE,dongnae,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
EDUCATION_OFFICE,dongnae,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
EDUCATION_OFFICE,dongnae,confirmed_middle_quality_median,net_transfer_rate,0,,
EDUCATION_OFFICE,dongnae,broad_middle_quality_median,adjusted_upper_grade_index,44,0.08890321739057493,0.03577479600208332
EDUCATION_OFFICE,dongnae,broad_middle_quality_median,adjusted_cohort_growth,44,0.37263290495189866,0.5278017240544047
EDUCATION_OFFICE,dongnae,broad_middle_quality_median,net_transfer_rate,44,0.4972733739820645,0.48742231003541464
EDUCATION_OFFICE,haeundae,confirmed_middle_quality_median,adjusted_upper_grade_index,1,,
EDUCATION_OFFICE,haeundae,confirmed_middle_quality_median,adjusted_cohort_growth,1,,
EDUCATION_OFFICE,haeundae,confirmed_middle_quality_median,net_transfer_rate,1,,
EDUCATION_OFFICE,haeundae,broad_middle_quality_median,adjusted_upper_grade_index,48,-0.19338068707687836,-0.2401632311058585
EDUCATION_OFFICE,haeundae,broad_middle_quality_median,adjusted_cohort_growth,48,0.5624646714020115,0.5788977846888388
EDUCATION_OFFICE,haeundae,broad_middle_quality_median,net_transfer_rate,48,0.5745597016645712,0.532435072888536
EDUCATION_OFFICE,nambu,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
EDUCATION_OFFICE,nambu,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
EDUCATION_OFFICE,nambu,confirmed_middle_quality_median,net_transfer_rate,0,,
EDUCATION_OFFICE,nambu,broad_middle_quality_median,adjusted_upper_grade_index,57,0.009832878166200765,-0.0587176470403957
EDUCATION_OFFICE,nambu,broad_middle_quality_median,adjusted_cohort_growth,56,-0.0003889122433178436,0.07002722997166533
EDUCATION_OFFICE,nambu,broad_middle_quality_median,net_transfer_rate,56,0.0721367494147643,0.10938734449490668
EDUCATION_OFFICE,seobu,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
EDUCATION_OFFICE,seobu,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
EDUCATION_OFFICE,seobu,confirmed_middle_quality_median,net_transfer_rate,0,,
EDUCATION_OFFICE,seobu,broad_middle_quality_median,adjusted_upper_grade_index,52,-0.014078787233840723,-0.15590749812714233
EDUCATION_OFFICE,seobu,broad_middle_quality_median,adjusted_cohort_growth,52,0.03906942605675415,0.11378341957542433
EDUCATION_OFFICE,seobu,broad_middle_quality_median,net_transfer_rate,52,0.04172712149261017,0.055847289490546036
DISTRICT,강서구,confirmed_middle_quality_median,adjusted_upper_grade_index,12,0.5077830847478189,0.6249458180848926
DISTRICT,강서구,confirmed_middle_quality_median,adjusted_cohort_growth,12,0.29890007454121253,0.6095108666000112
DISTRICT,강서구,confirmed_middle_quality_median,net_transfer_rate,12,-0.30502280299075823,0.12190217332000222
DISTRICT,강서구,broad_middle_quality_median,adjusted_upper_grade_index,18,0.45275646956810806,0.5181759673062654
DISTRICT,강서구,broad_middle_quality_median,adjusted_cohort_growth,18,0.3848315443236351,0.6577120489385044
DISTRICT,강서구,broad_middle_quality_median,net_transfer_rate,18,0.07140068363028447,0.3622182298501908
DISTRICT,금정구,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
DISTRICT,금정구,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
DISTRICT,금정구,confirmed_middle_quality_median,net_transfer_rate,0,,
DISTRICT,금정구,broad_middle_quality_median,adjusted_upper_grade_index,13,0.1661116476654495,0.14127911669647933
DISTRICT,금정구,broad_middle_quality_median,adjusted_cohort_growth,13,-0.11210502621341989,0.45430931643573735
DISTRICT,금정구,broad_middle_quality_median,net_transfer_rate,13,0.09900645962959213,0.21053358566534172
DISTRICT,기장군,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
DISTRICT,기장군,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
DISTRICT,기장군,confirmed_middle_quality_median,net_transfer_rate,0,,
DISTRICT,기장군,broad_middle_quality_median,adjusted_upper_grade_index,13,0.12474443045663991,0.12607465830311831
DISTRICT,기장군,broad_middle_quality_median,adjusted_cohort_growth,13,0.307803403650852,0.05603318146805258
DISTRICT,기장군,broad_middle_quality_median,net_transfer_rate,13,0.08737237385241607,0.0168330927231373
DISTRICT,남구,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
DISTRICT,남구,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
DISTRICT,남구,confirmed_middle_quality_median,net_transfer_rate,0,,
DISTRICT,남구,broad_middle_quality_median,adjusted_upper_grade_index,21,0.02351429048764627,0.11035103034839322
DISTRICT,남구,broad_middle_quality_median,adjusted_cohort_growth,20,0.12158237443649576,0.19879340996614422
DISTRICT,남구,broad_middle_quality_median,net_transfer_rate,20,0.1971564784759417,0.21542251650323618
DISTRICT,동구,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
DISTRICT,동구,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
DISTRICT,동구,confirmed_middle_quality_median,net_transfer_rate,0,,
DISTRICT,동구,broad_middle_quality_median,adjusted_upper_grade_index,6,-0.17803792147646924,-0.5408987230262506
DISTRICT,동구,broad_middle_quality_median,adjusted_cohort_growth,6,-0.1851006070213594,-0.033806170189140665
DISTRICT,동구,broad_middle_quality_median,net_transfer_rate,6,-0.18323111889287846,-0.101418510567422
DISTRICT,동래구,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
DISTRICT,동래구,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
DISTRICT,동래구,confirmed_middle_quality_median,net_transfer_rate,0,,
DISTRICT,동래구,broad_middle_quality_median,adjusted_upper_grade_index,18,0.07463150637036697,0.12545496836876288
DISTRICT,동래구,broad_middle_quality_median,adjusted_cohort_growth,18,0.5251376009990103,0.5070039630770665
DISTRICT,동래구,broad_middle_quality_median,net_transfer_rate,18,0.5216116136720895,0.49352533011182753
DISTRICT,부산진구,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
DISTRICT,부산진구,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
DISTRICT,부산진구,confirmed_middle_quality_median,net_transfer_rate,0,,
DISTRICT,부산진구,broad_middle_quality_median,adjusted_upper_grade_index,29,-0.2712345817211901,-0.26304259970231075
DISTRICT,부산진구,broad_middle_quality_median,adjusted_cohort_growth,29,-0.13941646046656353,-0.27169531679778147
DISTRICT,부산진구,broad_middle_quality_median,net_transfer_rate,29,0.0046232573810610494,-0.07169394164818618
DISTRICT,북구,confirmed_middle_quality_median,adjusted_upper_grade_index,10,-0.34284080223070906,-0.23385611715924404
DISTRICT,북구,confirmed_middle_quality_median,adjusted_cohort_growth,10,0.06857766617318584,-0.07976060548818034
DISTRICT,북구,confirmed_middle_quality_median,net_transfer_rate,10,-0.2582546304897964,-0.024541724765593954
