elementary_school_id,elementary_school_name,middle_school_id,middle_school_name_current,relation_type,relation_status,original_relation_type,original_relation_status,phase11_edge_class,used_in_confirmed_aggregate,used_in_broad_aggregate,probability_used,override_applied,assignment_share
S020001237,감전초,S020001231,주례중,EXACT,ACTIVE,ELIGIBLE,ACTIVE,CONFIRMED,True,True,False,True,1.0
S020001238,괘법초,S020001218,동주중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001238,괘법초,S020001230,주례여중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001241,구학초,,,UNRESOLVED,UNRESOLVED_EXTERNAL_OFFICE,UNRESOLVED,UNRESOLVED_EXTERNAL_OFFICE,AMBIGUOUS,False,False,False,False,
S020001254,덕상초,S020000975,신라중,EXACT,ACTIVE,ELIGIBLE,ACTIVE,CONFIRMED,True,True,False,True,1.0
S020001258,덕포초,S020001221,모라중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001258,덕포초,S020000975,신라중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001258,덕포초,S020001217,덕포여중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001259,동궁초,S020001226,엄궁중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001259,동궁초,S020001232,학장중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001260,동주초,S020001218,동주중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001260,동주초,S020001230,주례여중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001264,모덕초,S020001221,모라중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001264,모덕초,S020000966,모동중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001265,모동초,S020000966,모동중,EXACT,ACTIVE,ELIGIBLE,ACTIVE,CONFIRMED,True,True,False,True,1.0
S020001266,모라초,S020001221,모라중,EXACT,ACTIVE,ELIGIBLE,ACTIVE,CONFIRMED,True,True,False,True,1.0
S020001267,모산초,S020001221,모라중,EXACT,ACTIVE,ELIGIBLE,ACTIVE,CONFIRMED,True,True,False,True,1.0
S020001271,사상초,S020001221,모라중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001271,사상초,S020000975,신라중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001271,사상초,S020001217,덕포여중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001273,삼덕초,S020001221,모라중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001273,삼덕초,S020001217,덕포여중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001275,서감초,S020001218,동주중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001275,서감초,S020001231,주례중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001275,서감초,S020001230,주례여중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001284,엄궁초,S020001226,엄궁중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001284,엄궁초,S020001232,학장중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
S020001287,주감초,S020001229,주감중,EXACT,ACTIVE,ELIGIBLE,ACTIVE,CONFIRMED,True,True,False,True,1.0
S020001288,주학초,S020001231,주례중,EXACT,ACTIVE,ELIGIBLE,ACTIVE,CONFIRMED,True,True,False,True,1.0
S020001289,창진초,S020000975,신라중,ELIGIBLE,ACTIVE,ELIGIBLE,ACTIVE,POSSIBLE,False,True,False,False,
