ranking_type,rank,middle_school_id,middle_school_name,district,education_office,middle_school_score,confirmed_E_median,broad_E_median,confirmed_school_count,possible_elementary_count,total_elementary_count,assignment_uncertainty_grade,connected_elementary_schools
QUALITY_TOP30,1,S020000969,부산국제중학교,부산진구,부산광역시남부교육지원청,99.61764705882354,,,0,0,0,HIGH_NO_CONFIRMED,
QUALITY_TOP30,2,S020000780,브니엘예술중학교,금정구,부산광역시동래교육지원청,99.3529411764706,,,0,0,0,HIGH_NO_CONFIRMED,
QUALITY_TOP30,3,S020001910,센텀중학교,해운대구,부산광역시해운대교육지원청,98.91176470588236,89.52671081677705,40.814403973509926,1,2,3,HIGH,센텀초; 송수초; 재송초
QUALITY_TOP30,4,S020001893,해강중학교,해운대구,부산광역시해운대교육지원청,97.70588235294117,,72.85044150110376,0,5,5,HIGH_NO_CONFIRMED,강동초; 동백초; 해강초; 해림초; 해원초
QUALITY_TOP30,5,S020000789,여명중학교,동래구,부산광역시동래교육지원청,94.26470588235294,,80.30325607064017,0,6,6,HIGH_NO_CONFIRMED,거제초; 거학초; 금강초; 남문초; 여고초; 창신초
QUALITY_TOP30,6,S020000616,분포중학교,남구,부산광역시남부교육지원청,93.44117647058823,,51.60780905077263,0,6,6,HIGH_NO_CONFIRMED,백운초; 분포초; 용문초; 용산초; 용호초; 운산초
QUALITY_TOP30,7,S020001644,해운대중학교,해운대구,부산광역시해운대교육지원청,92.52941176470588,,72.85044150110376,0,7,7,HIGH_NO_CONFIRMED,강동초; 동백초; 해강초; 해동초; 해림초; 해운대초; 해원초
QUALITY_TOP30,8,S020001643,해운대여자중학교,해운대구,부산광역시해운대교육지원청,89.82352941176471,,71.32193708609272,0,6,6,HIGH_NO_CONFIRMED,강동초; 동백초; 해동초; 해림초; 해운대초; 해원초
QUALITY_TOP30,9,S020001635,신곡중학교,해운대구,부산광역시해운대교육지원청,89.32352941176471,,62.41092715231788,0,5,5,HIGH_NO_CONFIRMED,상당초; 신곡초; 좌동초; 좌산초; 해송초
QUALITY_TOP30,10,S020000795,장전중학교,금정구,부산광역시동래교육지원청,88.5,,64.55405629139074,0,4,4,HIGH_NO_CONFIRMED,금빛초; 금정초; 장서초; 장전초
QUALITY_TOP30,11,S020000623,용호중학교,남구,부산광역시남부교육지원청,87.70588235294119,,51.60780905077263,0,6,6,HIGH_NO_CONFIRMED,백운초; 분포초; 용문초; 용산초; 용호초; 운산초
QUALITY_TOP30,12,S020000604,남천중학교,남구,부산광역시남부교육지원청,87.20588235294116,,59.75827814569536,0,5,5,HIGH_NO_CONFIRMED,광남초; 남천초; 대남초; 대천초; 용소초
QUALITY_TOP30,13,S020000849,금양중학교,금정구,부산광역시동래교육지원청,86.8529411764706,,,0,0,0,HIGH_NO_CONFIRMED,
QUALITY_TOP30,14,S020000765,구서여자중학교,금정구,부산광역시동래교육지원청,84.70588235294117,,67.75115894039735,0,4,4,HIGH_NO_CONFIRMED,구서초; 남산초; 두실초; 장서초
QUALITY_TOP30,15,S020001632,부흥중학교,해운대구,부산광역시해운대교육지원청,83.41176470588236,,75.86605960264902,0,5,5,HIGH_NO_CONFIRMED,부흥초; 상당초; 신곡초; 신도초; 좌동초
QUALITY_TOP30,16,S020001416,부산남중학교,영도구,부산광역시서부교육지원청,83.17647058823529,,51.67326158940398,0,5,5,HIGH_NO_CONFIRMED,남항초; 대평초; 봉래초; 신선초; 영도초
QUALITY_TOP30,17,S020000621,용문중학교,남구,부산광역시남부교육지원청,82.38235294117648,,,0,0,0,HIGH_NO_CONFIRMED,
