middle_school_id,middle_school_name,district,education_office,closed,suspended,middle_school_score,score_reference_year,graduates_total,weighted_graduates,available_year_count,observation_years,score_stability,sample_warning,ranking_coverage,score_status,confirmed_E_mean,confirmed_E_median,confirmed_E_max,confirmed_E_min,confirmed_E_top25_mean,confirmed_school_count,confirmed_scored_school_count,broad_E_mean,broad_E_median,broad_E_max,broad_E_min,broad_E_top25_mean,broad_school_count,broad_scored_school_count,possible_elementary_count,ambiguous_elementary_count,excluded_edge_count,total_elementary_count,connected_elementary_schools,catchment_uncertainty_gap,assignment_uncertainty_grade,representative_catchment_demand,representative_basis,data_quality_status,quality_high,demand_high,quality_demand_group,catchment_robustness
S020001910,센텀중학교,해운대구,부산광역시해운대교육지원청,N,N,98.91176470588236,2025.0,1152.0,378.5,3.0,"2023,2024,2025",0.9540271046678768,False,0.9941520467836257,scored,89.52671081677705,89.52671081677705,89.52671081677705,89.52671081677705,89.52671081677705,1,1,52.39803164091243,40.814403973509926,89.52671081677705,26.852980132450334,89.52671081677705,3,3,2,0,0,3,센텀초; 송수초; 재송초,48.71230684326713,HIGH,89.52671081677705,CONFIRMED_MEDIAN,COMPLETE,True,True,HIGH_QUALITY_HIGH_DEMAND,NOT_HIGH_DEMAND
S020001893,해강중학교,해운대구,부산광역시해운대교육지원청,N,N,97.70588235294117,2025.0,1027.0,339.6,3.0,"2023,2024,2025",0.9650658349492923,False,0.9941520467836257,scored,,,,,,0,0,72.46853200883002,72.85044150110376,82.99199779249447,64.0762693156733,79.9014348785872,5,5,5,0,0,5,강동초; 동백초; 해강초; 해림초; 해원초,,HIGH_NO_CONFIRMED,72.85044150110376,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000789,여명중학교,동래구,부산광역시동래교육지원청,N,N,94.26470588235294,2025.0,901.0,296.2,3.0,"2023,2024,2025",0.9637403903497863,False,0.9941520467836257,scored,,,,,,0,0,78.30457137601178,80.30325607064017,89.40375275938192,53.12224061810154,89.28327814569538,6,6,6,0,0,6,거제초; 거학초; 금강초; 남문초; 여고초; 창신초,,HIGH_NO_CONFIRMED,80.30325607064017,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020001644,해운대중학교,해운대구,부산광역시해운대교육지원청,N,N,92.52941176470588,2025.0,618.0,204.2,3.0,"2023,2024,2025",0.8905113592620952,False,0.9941520467836257,scored,,,,,,0,0,73.3883238725954,72.85044150110376,82.99199779249447,64.0762693156733,82.28708609271523,7,7,7,0,0,7,강동초; 동백초; 해강초; 해동초; 해림초; 해운대초; 해원초,,HIGH_NO_CONFIRMED,72.85044150110376,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020001643,해운대여자중학교,해운대구,부산광역시해운대교육지원청,N,N,89.82352941176471,2025.0,621.0,205.3,3.0,"2023,2024,2025",0.9130831702228966,False,0.9941520467836257,scored,,,,,,0,0,71.78771155261222,71.32193708609272,81.58217439293598,64.0762693156733,79.19652317880795,6,6,6,0,0,6,강동초; 동백초; 해동초; 해림초; 해운대초; 해원초,,HIGH_NO_CONFIRMED,71.32193708609272,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020001635,신곡중학교,해운대구,부산광역시해운대교육지원청,N,N,89.32352941176471,2025.0,644.0,205.3,3.0,"2023,2024,2025",0.8312217408877639,False,0.9941520467836257,scored,,,,,,0,0,67.40160044150112,62.41092715231788,78.09409492273733,59.09834437086093,76.98007726269317,5,5,5,0,0,5,상당초; 신곡초; 좌동초; 좌산초; 해송초,,HIGH_NO_CONFIRMED,62.41092715231788,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000795,장전중학교,금정구,부산광역시동래교육지원청,N,N,88.5,2025.0,480.0,160.6,3.0,"2023,2024,2025",0.9780107068054587,False,0.9941520467836257,scored,,,,,,0,0,60.62992549668874,64.55405629139074,83.79271523178808,29.618874172185436,83.79271523178808,4,4,4,0,0,4,금빛초; 금정초; 장서초; 장전초,,HIGH_NO_CONFIRMED,64.55405629139074,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000765,구서여자중학교,금정구,부산광역시동래교육지원청,N,N,84.70588235294117,2025.0,536.0,170.9,3.0,"2023,2024,2025",0.7736701094496236,False,0.9941520467836257,scored,,,,,,0,0,66.99754415011037,67.75115894039735,72.37748344370861,60.11037527593818,72.37748344370861,4,4,4,0,0,4,구서초; 남산초; 두실초; 장서초,,HIGH_NO_CONFIRMED,67.75115894039735,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020001632,부흥중학교,해운대구,부산광역시해운대교육지원청,N,N,83.41176470588236,2025.0,577.0,189.8,3.0,"2023,2024,2025",0.59563859423742,False,0.9941520467836257,scored,,,,,,0,0,72.55582781456954,75.86605960264902,82.6453642384106,59.09834437086093,80.36972958057396,5,5,5,0,0,5,부흥초; 상당초; 신곡초; 신도초; 좌동초,,HIGH_NO_CONFIRMED,75.86605960264902,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020001637,양운중학교,해운대구,부산광역시해운대교육지원청,N,N,82.14705882352942,2025.0,547.0,175.1,3.0,"2023,2024,2025",0.9976743086120331,False,0.9941520467836257,scored,,,,,,0,0,69.0272259013981,67.07527593818985,78.09409492273733,61.9123068432671,78.09409492273733,3,3,3,0,0,3,상당초; 신도초; 양운초,,HIGH_NO_CONFIRMED,67.07527593818985,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
