apartment_id,apartment_name,household_count,sigungu,legal_dong,elementary_name,elementary_demand_score,elementary_percentile,phase7_score,eligible_middle_count,eligible_middle_schools,eligible_middle_score_mean,eligible_middle_score_max,eligible_middle_score_min,eligible_middle_score_range,has_guaranteed_assignment,guaranteed_middle_name,guaranteed_middle_score,guaranteed_middle_is_top_tier,school_premium_core_score,school_premium_addon_score,final_school_premium_score,school_premium_confidence,data_quality_flag,recent_price_per_m2,unusual_flag,unusual_reason,audit_segment
A61205003,더샵센텀스타,629.0,해운대구,재송동,센텀초등학교,89.52671081677705,99.82046678635548,97.30352941176471,1.0,센텀중,98.91176470588236,98.91176470588236,98.91176470588236,0.0,1.0,센텀중,98.91176470588236,1.0,89.52671081677705,19.570514241720403,89.52671081677705,A,OK,10689273.866568374,False,,TOP_30
A61271204,더샵센텀파크1차,2752.0,해운대구,재송동,센텀초등학교,89.52671081677705,99.82046678635548,97.30352941176471,1.0,센텀중,98.91176470588236,98.91176470588236,98.91176470588236,0.0,1.0,센텀중,98.91176470588236,1.0,89.52671081677705,19.570514241720403,89.52671081677705,A,OK,13563345.179589808,False,,TOP_30
A61271302,더샵센텀파크2차,998.0,해운대구,재송동,센텀초등학교,89.52671081677705,99.82046678635548,99.30352941176471,1.0,센텀중,98.91176470588236,98.91176470588236,98.91176470588236,0.0,1.0,센텀중,98.91176470588236,1.0,89.52671081677705,19.570514241720403,89.52671081677705,A,OK,11931087.926211538,False,,TOP_30
A61176513,거제1차현대홈타운,1127.0,연제구,거제동,남문초등학교,89.40375275938192,99.2818671454219,73.86156862745096,3.0,거제여중;여명중;이사벨중학교,75.27450980392156,94.26470588235294,51.8235294117647,42.44117647058824,0.0,,,0.0,89.40375275938192,0.0,89.40375275938192,B,OK,7925913.565826798,False,,TOP_30
A61176612,거제2차현대홈타운,1110.0,연제구,거제동,남문초등학교,89.40375275938192,99.2818671454219,73.86156862745096,3.0,거제여중;여명중;이사벨중학교,75.27450980392156,94.26470588235294,51.8235294117647,42.44117647058824,0.0,,,0.0,89.40375275938192,0.0,89.40375275938192,B,OK,9132649.641396876,False,,TOP_30
A61176709,쌍용,502.0,연제구,거제동,남문초등학교,89.40375275938192,99.2818671454219,73.86156862745096,3.0,거제여중;여명중;이사벨중학교,75.27450980392156,94.26470588235294,51.8235294117647,42.44117647058824,0.0,,,0.0,89.40375275938192,0.0,89.40375275938192,B,OK,8791234.656529874,False,,TOP_30
A10024982,쌍용더플래티넘사직아시아드아파트,914.0,동래구,사직동,여고초등학교,89.16280353200884,98.8330341113106,90.42941176470588,1.0,여명중,94.26470588235294,94.26470588235294,94.26470588235294,0.0,0.0,,,0.0,89.16280353200884,0.0,89.16280353200884,B,OK,12594227.339982418,False,,TOP_30
A10027054,사직롯데캐슬더클래식,1064.0,동래구,사직동,여고초등학교,89.16280353200884,98.8330341113106,90.42941176470588,1.0,여명중,94.26470588235294,94.26470588235294,94.26470588235294,0.0,0.0,,,0.0,89.16280353200884,0.0,89.16280353200884,B,OK,13958797.39954083,False,,TOP_30
A60778608,사직쌍용예가,2947.0,동래구,사직동,예원초등학교,84.42207505518763,98.56373429084381,67.00627450980392,3.0,사직여중;사직중;온천중,65.62745098039215,80.5,36.50000000000001,43.99999999999999,0.0,,,0.0,84.42207505518763,0.0,84.42207505518763,B,OK,6237862.649326193,False,,TOP_30
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,972.0,강서구,강동동,,84.39039735099338,97.75583482944344,,0.0,,,,,,0.0,,,0.0,84.39039735099338,0.0,84.39039735099338,C,MIDDLE_OPTION_MISSING,,True,MIDDLE_OPTION_MISSING,TOP_30
A10020264,에코델타 더 베르힐 아파트,1120.0,강서구,강동동,,84.39039735099338,97.75583482944344,,0.0,,,,,,0.0,,,0.0,84.39039735099338,0.0,84.39039735099338,C,MIDDLE_OPTION_MISSING,,True,MIDDLE_OPTION_MISSING,TOP_30
A10020378,에코델타시티 푸르지오린,895.0,강서구,강동동,,84.39039735099338,97.75583482944344,,0.0,,,,,,0.0,,,0.0,84.39039735099338,0.0,84.39039735099338,C,MIDDLE_OPTION_MISSING,,True,MIDDLE_OPTION_MISSING,TOP_30
A10020569,에코델타시티 푸르지오 센터파크,972.0,강서구,강동동,,84.39039735099338,97.75583482944344,,0.0,,,,,,0.0,,,0.0,84.39039735099338,0.0,84.39039735099338,C,MIDDLE_OPTION_MISSING,,True,MIDDLE_OPTION_MISSING,TOP_30
A10020645,강서자이에코델타,856.0,강서구,강동동,,84.39039735099338,97.75583482944344,,0.0,,,,,,0.0,,,0.0,84.39039735099338,0.0,84.39039735099338,C,MIDDLE_OPTION_MISSING,,True,MIDDLE_OPTION_MISSING,TOP_30
A10020649,e편한세상 에코델타 센터포인트,953.0,강서구,강동동,,84.39039735099338,97.75583482944344,,0.0,,,,,,0.0,,,0.0,84.39039735099338,0.0,84.39039735099338,C,MIDDLE_OPTION_MISSING,,True,MIDDLE_OPTION_MISSING,TOP_30
A10022541,에코델타스마트시티수자인,554.0,강서구,강동동,,84.39039735099338,97.75583482944344,,0.0,,,,,,0.0,,,0.0,84.39039735099338,0.0,84.39039735099338,C,MIDDLE_OPTION_MISSING,,True,MIDDLE_OPTION_MISSING,TOP_30
A10022696,에코델타호반써밋스마트시티,526.0,강서구,강동동,,84.39039735099338,97.75583482944344,,0.0,,,,,,0.0,,,0.0,84.39039735099338,0.0,84.39039735099338,C,MIDDLE_OPTION_MISSING,,True,MIDDLE_OPTION_MISSING,TOP_30
A10023417,더샵동래,603.0,동래구,온천동,온천초등학교,83.8975165562914,96.76840215439856,61.83529411764707,3.0,동래중;온천중;유락여중,59.529411764705884,78.3529411764706,36.50000000000001,41.85294117647059,0.0,,,0.0,83.8975165562914,0.0,83.8975165562914,B,OK,8600093.305121886,False,,TOP_30
