apartment_id,apartment_name,gu,legal_dong,household_count,school_premium_core_score,school_premium_confidence,expected_school_premium_pct,gap_confidence,residual_method_gap_pct,comparable_method_gap_pct,school_value_gap_pct,comparable_count,data_quality_flag,internal_complex_id,apartment_age,transaction_count_6m,market_price_6m,market_price_per_m2_6m,representative_area_6m,baseline_price_6m,fair_price_6m,has_6m_price,residual_gap_6m,comparable_rule_6m,comparable_count_6m,comparable_gap_6m,gap_6m,transaction_count_12m,market_price_12m,market_price_per_m2_12m,representative_area_12m,baseline_price_12m,fair_price_12m,has_12m_price,residual_gap_12m,comparable_rule_12m,comparable_count_12m,comparable_gap_12m,gap_12m,transaction_count_24m,market_price_24m,market_price_per_m2_24m,representative_area_24m,baseline_price_24m,fair_price_24m,has_24m_price,residual_gap_24m,comparable_rule_24m,comparable_count_24m,comparable_gap_24m,gap_24m,phase145_gap_reproduced,phase145_reproduction_error,temporal_sign_pattern,temporal_stability,temporal_std,temporal_range,temporal_median,temporal_min,temporal_max,temporal_cv,gap_method_agreement,gap_method_abs_diff,large_method_disagreement,bootstrap_iterations,bootstrap_gap_p05,bootstrap_gap_p25,bootstrap_gap_median,bootstrap_gap_p75,bootstrap_gap_p95,gap_positive_probability,gap_negative_probability,bootstrap_iqr,bootstrap_stability,sanity_flag
A10020002,드파인 광안,수영구,광안동,1233.0,64.94271523178807,B,,LOW,,,,,RECENT_PRICE_MISSING,A10020002,0,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,NANANA,INSUFFICIENT,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False
A10020004,롯데캐슬인피니엘,남구,문현동,715.0,57.40093818984548,B,,LOW,,,,7.0,MODEL_PRICE_MISSING,A10020004,0,5.0,540000000.0,8671508.258777818,59.9665,,,True,,ALL_SAME_DONG,7.0,,,5.0,540000000.0,8671508.258777818,59.9665,,,True,,ALL_SAME_DONG,7.0,,,5.0,540000000.0,8671508.258777818,59.9665,,,True,,ALL_SAME_DONG,7.0,,,,,NANANA,INSUFFICIENT,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,강서구,강동동,972.0,84.39039735099338,C,,LOW,,,,,RECENT_PRICE_MISSING,A10020020,0,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,NANANA,INSUFFICIENT,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,True
A10020213,가야역롯데캐슬스카이엘,부산진구,가야동,725.0,46.08741721854304,B,-1.64615959918184,MEDIUM,-45.62661125381664,-31.591196777430746,-38.60890401562369,9.0,OK,A10020213,0,1.0,553000000.0,9236957.182611136,59.8682,384079917.5477504,377757349.1165084,True,-45.62661125381664,DISTRICT_RELAXED,9.0,-31.591196777430742,-38.60890401562369,1.0,553000000.0,9236957.182611136,59.8682,384079917.5477504,377757349.1165084,True,-45.62661125381664,DISTRICT_RELAXED,6.0,-45.79640196675821,-45.71150661028743,1.0,553000000.0,9236957.182611136,59.8682,384079917.5477504,377757349.1165084,True,-45.62661125381664,INSUFFICIENT_COMPARABLES,0.0,,-45.62661125381664,-38.60890401562369,0.0,---,STABLE_NEGATIVE,4.076403351817629,7.102602594663736,-45.62661125381664,-45.71150661028743,-38.60890401562369,0.09410919833754722,STRONG_NEGATIVE,14.035414476385895,False,500,-57.23946908916713,-53.743142555373296,-45.71150661028743,-38.7088548891507,-28.42603502775469,0.0,1.0,15.034287666222596,VERY_STABLE_NEGATIVE,False
A10020264,에코델타 더 베르힐 아파트,강서구,강동동,1120.0,84.39039735099338,C,,LOW,,,,,RECENT_PRICE_MISSING,A10020264,0,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,NANANA,INSUFFICIENT,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,True
A10020289,두산위브더제니스 오션시티 ,남구,우암동,3048.0,62.45943708609272,B,,LOW,,,,,RECENT_PRICE_MISSING,A10020289,0,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,NANANA,INSUFFICIENT,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False
A10020313,일광동원로얄듀크,기장군,일광읍,1134.0,70.97770419426048,B,,LOW,,,,,RECENT_PRICE_MISSING,A10020313,0,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,NANANA,INSUFFICIENT,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False
A10020378,에코델타시티 푸르지오린,강서구,강동동,895.0,84.39039735099338,C,,LOW,,,,,RECENT_PRICE_MISSING,A10020378,0,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,NANANA,INSUFFICIENT,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,True
A10020498,시청앞 행복주택1단지,연제구,연산동,589.0,32.301821192052984,B,,LOW,,,,,RECENT_PRICE_MISSING,A10020498,1,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,NANANA,INSUFFICIENT,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False
A10020569,에코델타시티 푸르지오 센터파크,강서구,강동동,972.0,84.39039735099338,C,,LOW,,,,,RECENT_PRICE_MISSING,A10020569,1,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,NANANA,INSUFFICIENT,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,True
