legal_dong,train_transactions,test_transactions,test_apartments,test_schools,school_score_spearman,school_coefficient,rmse,mae,direction,stable_flag,train_contains_holdout,test_only_holdout
개금동,130287,2692,8,6,0.28917761562712796,0.04156978560767887,0.35350912316011307,0.27042272344117513,POSITIVE,True,False,True
거제동,130365,2614,10,6,0.07408677865766361,0.04360735678713967,0.4101001459269811,0.36877654751343375,POSITIVE,True,False,True
구서동,131403,1576,7,4,-0.22026692946430576,0.042586092780454526,0.27770721032613127,0.21915352874165164,NEGATIVE,False,False,True
구포동,131630,1349,5,3,0.7378647873726218,0.04156486372957743,0.29386525373162964,0.23096922205955983,POSITIVE,True,False,True
금곡동,129868,3111,13,4,-0.42985937842690264,0.044028273110271174,0.3318725647415351,0.25807072577098006,NEGATIVE,False,False,True
낙민동,131920,1059,6,2,-0.8280786712108251,0.042270401276676625,0.33771584471412874,0.22051741830095073,NEGATIVE,False,False,True
남천동,131262,1717,5,2,-0.28867513459481287,0.0440575545907258,1.3869094038018637,1.3066269233179102,NEGATIVE,False,False,True
다대동,127303,5676,15,6,0.04038227040178938,0.04216875445196586,0.4374795011578659,0.38281851185256566,POSITIVE,True,False,True
당감동,130470,2509,10,6,-0.17904304842268706,0.04504621280522381,0.40378462788153596,0.32169277679057817,NEGATIVE,False,False,True
대연동,128369,4610,12,7,0.8740015563815782,0.035237435636016376,0.38015244763116873,0.3385270344754577,POSITIVE,True,False,True
덕천동,131861,1118,6,4,0.7589709258986453,0.04158973438211864,0.24739290416712403,0.21284603039055514,POSITIVE,True,False,True
동삼동,131482,1497,6,5,-0.34786262139146906,0.04512744412484422,0.40904996361649293,0.3446165349953643,NEGATIVE,False,False,True
만덕동,129585,3394,13,6,0.5449709434927643,0.04149649311538748,0.3140696627296263,0.27380244562471706,POSITIVE,True,False,True
명륜동,131437,1542,5,2,0.28867513459481287,0.04206666903743323,0.32119211529712377,0.27197754580197536,POSITIVE,True,False,True
명지동,125433,7546,23,8,-0.35598561642946935,0.04407459845899773,0.19269742443534188,0.15446220526704554,NEGATIVE,False,False,True
모라동,131320,1659,6,3,-0.5863527298559493,0.04352068570904568,0.31931562286621057,0.2714772227871905,NEGATIVE,False,False,True
문현동,131651,1328,7,4,0.5613608914238398,0.04201300277101646,0.1930518459746649,0.15593792024634467,POSITIVE,True,False,True
민락동,131847,1132,5,2,0.8660254037844386,0.0418190762959525,0.5222385931717883,0.48769445031291664,POSITIVE,True,False,True
반여동,129634,3345,13,5,0.295443112418756,0.04232308782452326,0.2104972990167409,0.15985291988869693,POSITIVE,True,False,True
범천동,131880,1099,5,4,0.20519567041703085,0.04296442551701143,0.21057978613357403,0.15167799125540818,POSITIVE,True,False,True
부곡동,131109,1870,8,5,-0.07365429242103545,0.043901750446952596,0.28364302747757586,0.2381916004226267,NEGATIVE,False,False,True
부암동,130788,2191,12,5,-0.18712785740459656,0.04286215804487995,0.2215429771910649,0.181814985490947,NEGATIVE,False,False,True
사직동,129942,3037,9,4,0.4679096001787032,0.04089335087949074,0.30693963803015456,0.24817102542903832,POSITIVE,True,False,True
신평동,131926,1053,5,2,0.0,0.042357165645696214,0.4948986382746181,0.47420808789223967,NEUTRAL,False,False,True
안락동,131259,1720,6,4,-0.26482044885142486,0.042081663394941585,0.1991655092655538,0.15957934589099707,NEGATIVE,False,False,True
양정동,131594,1385,5,3,-0.7905694150420949,0.04578649240714516,0.31753681176735343,0.2758957016986146,NEGATIVE,False,False,True
