apartment_id,elementary_name,school_premium_core_score,school_premium_confidence,data_quality_flag,transaction_count,price_window_used,recent_market_price,baseline_expected_price,gap_confidence,comparable_count,school_value_gap_pct,gap_method_agreement,large_method_disagreement,model_residual,flag_low_transaction,flag_price_outlier,flag_confidence_c,flag_school_mapping,original_sanity_flag,flag_comparable_shortage,flag_method_disagreement,flag_old_price_window,flag_missing_control,sanity_flag_reason,sanity_severity
A61205003,센텀초등학교,89.52671081677705,A,OK,6.0,6M,1500000000.0,1018670854.1384816,HIGH,10.0,-45.49114452492064,STRONG_NEGATIVE,False,0.10861922794516765,False,False,False,False,False,False,False,False,False,NONE,NONE
A61271204,센텀초등학교,89.52671081677705,A,OK,45.0,6M,1297000000.0,840517362.0978272,HIGH,10.0,-69.63432390207761,STRONG_NEGATIVE,True,0.39205758669138113,False,False,False,False,False,False,False,False,False,NONE,NONE
A61271302,센텀초등학교,89.52671081677705,A,OK,10.0,6M,1112500000.0,648358538.1090267,MEDIUM,6.0,-49.635544410093736,STRONG_NEGATIVE,False,0.3609622137808337,False,False,False,False,False,False,False,False,False,NONE,NONE
A61176513,남문초등학교,89.40375275938192,B,OK,27.0,6M,510000000.0,377289893.4609948,LOW,9.0,3.494882573201416,MIXED_POSITIVE_COMPARABLE,False,0.02296328884811949,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61176612,남문초등학교,89.40375275938192,B,OK,35.0,6M,620000000.0,375830151.6725612,LOW,9.0,-20.79578004342304,MIXED_POSITIVE_COMPARABLE,False,0.1864773040436445,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61176709,남문초등학교,89.40375275938192,B,OK,15.0,6M,600000000.0,344957083.582162,LOW,9.0,-21.83659676077992,MIXED_POSITIVE_COMPARABLE,True,0.29082205474497513,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A10024982,여고초등학교,89.16280353200884,B,OK,20.0,6M,965000000.0,492447087.0409175,MEDIUM,8.0,-86.58337765709842,STRONG_NEGATIVE,False,0.39868366820842027,False,False,False,False,False,False,False,False,False,NONE,NONE
A10027054,여고초등학교,89.16280353200884,B,OK,16.0,6M,1138500000.0,500908604.3215919,MEDIUM,5.0,-79.85039098181113,STRONG_NEGATIVE,True,0.5184275745048659,False,False,False,False,False,False,False,False,False,NONE,NONE
A60778608,예원초등학교,84.42207505518763,B,OK,59.0,6M,550000000.0,457780826.985732,LOW,8.0,12.118787738666985,MIXED_POSITIVE_COMPARABLE,False,-0.13451316748872522,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A10020020,,84.39039735099338,C,MIDDLE_OPTION_MISSING,,,,,LOW,,,INSUFFICIENT,False,,True,False,True,True,True,True,False,False,False,LOW_TRANSACTION;CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;COMPARABLE_SHORTAGE,MAJOR
A10020264,,84.39039735099338,C,MIDDLE_OPTION_MISSING,,,,,LOW,,,INSUFFICIENT,False,,True,False,True,True,True,True,False,False,False,LOW_TRANSACTION;CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;COMPARABLE_SHORTAGE,MAJOR
A10020378,,84.39039735099338,C,MIDDLE_OPTION_MISSING,,,,,LOW,,,INSUFFICIENT,False,,True,False,True,True,True,True,False,False,False,LOW_TRANSACTION;CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;COMPARABLE_SHORTAGE,MAJOR
A10020569,,84.39039735099338,C,MIDDLE_OPTION_MISSING,,,,,LOW,,,INSUFFICIENT,False,,True,False,True,True,True,True,False,False,False,LOW_TRANSACTION;CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;COMPARABLE_SHORTAGE,MAJOR
A10020645,,84.39039735099338,C,MIDDLE_OPTION_MISSING,2.0,24M,532000000.0,480804980.463652,LOW,17.0,-2.0967809022376294,MIXED_POSITIVE_RESIDUAL,False,-0.054390399504891995,True,False,True,True,True,False,True,True,False,LOW_TRANSACTION;CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;METHOD_DISAGREEMENT;OLD_PRICE_WINDOW,MAJOR
A10020649,,84.39039735099338,C,MIDDLE_OPTION_MISSING,,,,,LOW,,,INSUFFICIENT,False,,True,False,True,True,True,True,False,False,False,LOW_TRANSACTION;CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;COMPARABLE_SHORTAGE,MAJOR
A10022541,,84.39039735099338,C,MIDDLE_OPTION_MISSING,3.0,12M,749000000.0,675658905.4275539,LOW,0.0,4.852893870474006,INSUFFICIENT,False,-0.052909927708386206,False,False,True,True,True,True,False,False,False,CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;COMPARABLE_SHORTAGE,MAJOR
A10022696,,84.39039735099338,C,MIDDLE_OPTION_MISSING,3.0,24M,629000000.0,491068781.4950568,LOW,21.0,-21.4727566923658,STRONG_NEGATIVE,False,0.0006513537525467683,False,False,True,True,True,False,False,True,False,CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;OLD_PRICE_WINDOW,MAJOR
A10023417,온천초등학교,83.8975165562914,B,OK,12.0,6M,715000000.0,692452421.4056482,MEDIUM,8.0,7.766837260498594,STRONG_POSITIVE,False,-0.020785038076437168,False,False,False,False,False,False,False,False,False,NONE,NONE
A10024005,온천초등학교,83.8975165562914,B,OK,38.0,6M,504000000.0,620403875.5962573,MEDIUM,8.0,32.954245223919784,STRONG_POSITIVE,False,-0.2987677324740572,False,False,False,False,False,False,False,False,False,NONE,NONE
A60783306,온천초등학교,83.8975165562914,B,OK,6.0,6M,544000000.0,609771546.9532702,MEDIUM,8.0,35.64267554086719,STRONG_POSITIVE,False,-0.24514000246918588,False,False,False,False,False,False,False,False,False,NONE,NONE
A10022002,금정초등학교,83.79271523178808,B,OK,26.0,6M,946500000.0,815583756.8488723,MEDIUM,8.0,-18.118712604063838,STRONG_NEGATIVE,False,0.06332537534784244,False,False,False,False,False,False,False,False,False,NONE,NONE
A10026780,금정초등학교,83.79271523178808,B,OK,44.0,6M,766000000.0,545731818.9563904,LOW,0.0,-24.94735200206284,INSUFFICIENT,False,0.17121264896266375,False,False,False,False,False,True,False,False,False,COMPARABLE_SHORTAGE,MAJOR
A10020870,양정초등학교,83.05761589403974,B,OK,13.0,6M,717000000.0,568360607.1624187,MEDIUM,7.0,-28.93937341168884,STRONG_NEGATIVE,False,0.2533349155570388,False,False,False,False,False,False,False,False,False,NONE,NONE
