apartment_id,apartment_name,legal_dong,gu,household_count,school_premium_core_score,school_premium_confidence,recent_market_price,baseline_non_school_price,expected_school_premium_pct,expected_school_premium_amount,expected_fair_price,observed_market_premium_pct,school_value_gap_pct,total_value_gap_pct,comparable_count,comparable_rule,comparable_method_gap_pct,residual_method_gap_pct,gap_confidence,transaction_count,price_window_used,school_data_quality_flag,data_quality_flag,as_of_date,sample,rank
A61283410,장산동국,재송동,해운대구,536.0,47.1682119205298,B,118500000.0,367080890.3813344,-1.1941597297085993,-4383532.168389678,362697358.2129448,-70.7258116919938,69.5316519622852,206.07372001092384,5.0,RELAXED_SAME_DONG_2,72.53917678756106,66.52412713700933,MEDIUM,6.0,6M,MIDDLE_SCORE_PARTIAL,OK,2026-08-28,ALL,1
A60712204,한신,사직동,동래구,710.0,80.76136865342164,B,205000000.0,331163211.4753878,13.9398931241155,46163797.74605763,377327009.22144544,-50.74706693763329,64.68696006174879,84.06195571777826,8.0,ALL_SAME_DONG,77.33703823263187,52.03688189086573,MEDIUM,11.0,6M,OK,OK,2026-08-28,ALL,2
A61477302,서면노르웨이아침,전포동,부산진구,512.0,47.90739514348786,B,55000000.0,125452961.23703904,-0.8838298478144213,-1108790.71638,124344170.52065904,-62.068108117992,61.18427827017758,126.08031003756186,6.0,ALL_SAME_DONG,67.0935197162856,55.27503682406955,MEDIUM,5.0,6M,OK,OK,2026-08-28,ALL,3
A61180503,유림아시아드,거제동,연제구,1330.0,79.81103752759383,B,320000000.0,509946212.3865785,13.481452234165236,68748155.04283136,578694367.4294099,-46.97728171109323,60.45873394525846,80.84198982169058,9.0,ALL_SAME_DONG,70.18773186233761,50.7297360281793,MEDIUM,29.0,6M,OK,OK,2026-08-28,ALL,4
A60875509,대우그린1,대연동,남구,691.0,38.21296909492274,B,221000000.0,434609443.5276196,-4.877519399907715,-21198159.921890616,413411283.605729,-62.27298337241271,57.395463972505,87.06392923336152,11.0,ALL_SAME_DONG,70.51869997776353,44.27222796724645,HIGH,4.0,6M,OK,OK,2026-08-28,ALL,5
A61484004,협성피닉스타운,부암동,부산진구,774.0,70.84387417218544,B,237000000.0,335597356.35615546,9.245479063447458,31027583.31939155,366624939.675547,-46.13935485550415,55.3848339189516,54.69406737364852,11.0,ALL_SAME_DONG,72.14453053557553,38.62513730232769,HIGH,5.0,6M,OK,OK,2026-08-28,ALL,6
A61404203,서면대우디오빌2,전포동,부산진구,751.0,53.49387417218543,B,68000000.0,132963411.23811775,1.4932674751597874,1985499.373881772,134948910.61199954,-53.31028160157892,54.80354907673871,98.45428031176404,6.0,ALL_SAME_DONG,59.25571953842072,50.35137861505671,MEDIUM,9.0,6M,OK,OK,2026-08-28,ALL,7
A60877710,삼익그린,대연동,남구,725.0,38.21296909492274,B,172000000.0,324657618.4458721,-4.877519399907726,-15835238.322975814,308822380.1228963,-58.68530105625904,53.80778165635131,79.54789542028855,11.0,ALL_SAME_DONG,65.47197192622549,42.14359138647712,HIGH,14.0,6M,OK,OK,2026-08-28,ALL,8
A60877907,청구,대연동,남구,604.0,38.21296909492274,B,302500000.0,527488349.7770755,-4.877519399907692,-25728346.59262979,501760003.18444574,-57.11452023450833,52.23700083460064,65.87107543287462,11.0,ALL_SAME_DONG,66.69875918874536,37.77524248045592,HIGH,4.0,6M,OK,OK,2026-08-28,ALL,9
A60980506,구서우성,구서동,금정구,1118.0,66.87472406181016,B,225000000.0,343755680.6906017,7.421342152450339,25511285.23253423,369266965.923136,-44.29554347296349,51.71688562541383,64.11865152139376,6.0,ALL_SAME_DONG,61.46589289219079,41.96787835863688,MEDIUM,9.0,6M,OK,OK,2026-08-28,ALL,10
A60782005,삼정그린코아,사직동,동래구,874.0,80.76136865342164,B,215000000.0,256770246.80021667,13.939893124115477,35793497.97847772,292563744.7786944,-37.58307751000926,51.52297063412474,36.07616036218344,8.0,ALL_SAME_DONG,72.83849093268007,30.2074503355694,MEDIUM,13.0,6M,OK,OK,2026-08-28,ALL,11
A61482303,백양푸른채,당감동,부산진구,1116.0,66.89039735099338,B,120000000.0,220824509.83404157,7.428485025184339,16403915.644958496,237228425.47900003,-43.890209895581066,51.3186949207654,97.69035456583336,9.0,ALL_SAME_DONG,49.55069870968956,53.08669113184124,MEDIUM,22.0,6M,OK,OK,2026-08-28,ALL,12
A60975404,뉴그린1,부곡동,금정구,990.0,52.94050772626932,B,127000000.0,222386215.46713695,1.2552832680640114,2791576.953239739,225177792.42037672,-48.06219703433126,49.31748030239528,77.30534836250136,7.0,ALL_SAME_DONG,54.48753347485456,44.14742712993599,MEDIUM,9.0,6M,OK,OK,2026-08-28,ALL,13
