rank,apartment_id,apartment,legal_dong,elementary_school,school_premium_core_score,expected_school_premium_pct,school_value_gap_pct,residual_method_gap_pct,comparable_method_gap_pct,gap_method_agreement,gap_6m,gap_12m,gap_24m,temporal_stability,gap_positive_probability,bootstrap_stability,gap_confidence,sanity_flag_reason,sanity_severity,candidate_tier,tier_reason,failed_tier1_conditions,transaction_count
1,A60712204,한신,사직동,사직초등학교,80.76136865342164,13.9398931241155,64.68696006174879,52.03688189086573,77.33703823263187,STRONG_POSITIVE,64.6869600617488,64.07754975058394,62.21065473101409,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,11.0
2,A61180503,유림아시아드,거제동,거제초등학교,79.81103752759383,13.481452234165236,60.45873394525846,50.7297360281793,70.18773186233761,STRONG_POSITIVE,59.815154951074824,60.0123787761973,58.33722879418428,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,29.0
3,A61484004,협성피닉스타운,부암동,동평초등학교,70.84387417218544,9.245479063447458,55.3848339189516,38.62513730232769,72.14453053557553,STRONG_POSITIVE,55.38483391895161,55.54347059624972,54.21512693241263,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,HIGH,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,5.0
4,A60980506,구서우성,구서동,구서초등학교,66.87472406181016,7.421342152450339,51.71688562541383,41.96787835863688,61.46589289219079,STRONG_POSITIVE,51.71688562541383,52.78822648928083,50.48436283417222,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,9.0
5,A61482303,백양푸른채,당감동,동양초등학교;동원초등학교,66.89039735099338,7.428485025184339,51.3186949207654,53.08669113184124,49.55069870968956,STRONG_POSITIVE,51.3186949207654,52.256512025839385,51.55907899625262,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,22.0
6,A60782005,삼정그린코아,사직동,사직초등학교,80.76136865342164,13.939893124115477,51.52297063412474,30.2074503355694,72.83849093268007,STRONG_POSITIVE,51.52297063412473,50.70995345940361,52.69868580718524,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,13.0
7,A60712001,사직2차삼정그린코아,사직동,사직초등학교,80.76136865342164,13.939893124115454,48.0926280153876,31.909873821869937,64.27538220890528,STRONG_POSITIVE,48.09262801538761,47.73337877558322,51.4815538133757,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,12.0
8,A61485906,연지2청구,연지동,연지초등학교,67.58669977924946,7.746294409844512,47.84342965649007,42.058509103196506,53.62835020978365,STRONG_POSITIVE,47.84342965649007,48.3277154299671,47.987883685118994,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,18.0
9,A61482302,"백양뜨란채,주공아파트(1단지)",당감동,동양초등학교;동원초등학교,66.89039735099338,7.428485025184317,44.22911075239124,42.6419015252221,45.81631997956036,STRONG_POSITIVE,44.229110752391236,46.86869473065613,48.438460768539514,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,16.0
10,A61176411,연산엘지,연산동,연천초등학교,69.14166666666668,8.459417486960685,46.648956889678985,41.50168621457102,51.79622756478695,STRONG_POSITIVE,46.648956889678985,46.30721970824344,45.93798237953467,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,HIGH,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,32.0
11,A61282705,센텀센시빌,우동,강동초등학교,65.61307947019867,6.847921108681931,38.89249758252501,28.24721632152748,49.53777884352254,STRONG_POSITIVE,38.89249758252501,39.49899531989968,39.01757404875402,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,13.0
12,A60783306,벽산아스타,온천동,온천초등학교,83.8975165562914,15.465955809686172,35.64267554086719,26.25221621850623,45.03313486322814,STRONG_POSITIVE,35.64267554086719,39.36707137261064,36.90557982269837,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,6.0
13,A61286810,반도보라빌,우동,해림초등학교,72.85044150110376,10.179409993571786,34.177990646184504,25.527401092153823,42.82858020021519,STRONG_POSITIVE,34.78225926922217,34.16600790102338,33.02762862665918,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,HIGH,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,14.0
14,A61476403,벽산1,가야동,가평초등학교,71.48399558498896,9.542552216435162,33.897658503068484,30.683107638386097,37.11220936775088,STRONG_POSITIVE,33.897658503068484,32.706841165528395,32.17646167034211,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,HIGH,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,17.0
15,A10024005,동래3차SKVIEW,온천동,온천초등학교,83.8975165562914,15.465955809686193,32.954245223919784,34.22855226903035,31.67993817880921,STRONG_POSITIVE,32.954245223919784,31.742483156292444,30.679660917547682,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,38.0
16,A10022365,연산포레서희스타힐스,연산동,연동초등학교,73.0110927152318,10.25452733524801,25.6813631100681,33.99286157557549,17.369864644560717,STRONG_POSITIVE,25.681363110068105,27.929966142792196,29.748125825064058,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,14.0
17,A61206114,센텀롯데캐슬2차,반여동,무정초등학교,75.30364238410596,11.332075238285633,26.053881424513325,24.768414454491666,27.33934839453499,STRONG_POSITIVE,26.053881424513328,27.119810721629094,27.885758258901006,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,24.0
18,A61202011,센텀두산위브,우동,강동초등학교,65.61307947019867,6.847921108681909,26.042009088189005,22.57788728021485,29.506130896163164,STRONG_POSITIVE,26.350621593045013,26.857322511926824,26.876991393835425,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,9.0
19,A10024606,일광대성베르힐,일광읍삼성리,해빛초등학교,75.63647902869756,11.489388683813262,23.0159009363874,18.633519703645383,27.39828216912941,STRONG_POSITIVE,23.015900936387396,22.42468935258105,22.100155997525444,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,14.0
