apartment_id,apartment_name,gu,legal_dong,household_count,elementary_school_name,elementary_demand_score,school_premium_core_score,school_premium_confidence,estimated_school_premium_pct,school_value_gap_pct,residual_method_gap_pct,comparable_method_gap_pct,gap_confidence,data_quality_flag,comparable_count,gap_method_agreement,gap_6m,gap_12m,gap_24m,temporal_sign_pattern,temporal_stability,gap_positive_probability,bootstrap_gap_median,bootstrap_gap_p05,bootstrap_gap_p95,bootstrap_stability,original_sanity_flag,sanity_flag_reason,sanity_severity,candidate_tier,tier_reason,original_phase145_candidate
A10020002,드파인 광안,수영구,광안동,1233.0,호암초등학교,64.94271523178807,64.94271523178807,B,,,,,LOW,RECENT_PRICE_MISSING,,INSUFFICIENT,,,,NANANA,INSUFFICIENT,,,,,,True,LOW_TRANSACTION;COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10020004,롯데캐슬인피니엘,남구,문현동,715.0,성동초등학교,57.40093818984548,57.40093818984548,B,,,,,LOW,MODEL_PRICE_MISSING,7.0,INSUFFICIENT,,,,NANANA,INSUFFICIENT,,,,,,True,SCHOOL_MAPPING_QUALITY;MISSING_CONTROL,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,강서구,강동동,972.0,,84.39039735099338,84.39039735099338,C,,,,,LOW,RECENT_PRICE_MISSING,,INSUFFICIENT,,,,NANANA,INSUFFICIENT,,,,,,True,LOW_TRANSACTION;CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10020213,가야역롯데캐슬스카이엘,부산진구,가야동,725.0,가남초등학교,46.08741721854304,46.08741721854304,B,-1.64615959918184,-38.60890401562369,-45.62661125381664,-31.591196777430746,MEDIUM,OK,9.0,STRONG_NEGATIVE,-38.60890401562369,-45.71150661028743,-45.62661125381664,---,STABLE_NEGATIVE,0.0,-45.71150661028743,-57.23946908916713,-28.42603502775469,VERY_STABLE_NEGATIVE,True,LOW_TRANSACTION;OLD_PRICE_WINDOW,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10020264,에코델타 더 베르힐 아파트,강서구,강동동,1120.0,,84.39039735099338,84.39039735099338,C,,,,,LOW,RECENT_PRICE_MISSING,,INSUFFICIENT,,,,NANANA,INSUFFICIENT,,,,,,True,LOW_TRANSACTION;CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10020289,두산위브더제니스 오션시티 ,남구,우암동,3048.0,우암초등학교,62.45943708609272,62.45943708609272,B,,,,,LOW,RECENT_PRICE_MISSING,,INSUFFICIENT,,,,NANANA,INSUFFICIENT,,,,,,True,LOW_TRANSACTION;SCHOOL_MAPPING_QUALITY;COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10020313,일광동원로얄듀크,기장군,일광읍,1134.0,일광초등학교,70.97770419426048,70.97770419426048,B,,,,,LOW,RECENT_PRICE_MISSING,,INSUFFICIENT,,,,NANANA,INSUFFICIENT,,,,,,True,LOW_TRANSACTION;COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10020378,에코델타시티 푸르지오린,강서구,강동동,895.0,,84.39039735099338,84.39039735099338,C,,,,,LOW,RECENT_PRICE_MISSING,,INSUFFICIENT,,,,NANANA,INSUFFICIENT,,,,,,True,LOW_TRANSACTION;CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10020498,시청앞 행복주택1단지,연제구,연산동,589.0,연산초등학교,32.301821192052984,32.301821192052984,B,,,,,LOW,RECENT_PRICE_MISSING,,INSUFFICIENT,,,,NANANA,INSUFFICIENT,,,,,,True,LOW_TRANSACTION;COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10020569,에코델타시티 푸르지오 센터파크,강서구,강동동,972.0,,84.39039735099338,84.39039735099338,C,,,,,LOW,RECENT_PRICE_MISSING,,INSUFFICIENT,,,,NANANA,INSUFFICIENT,,,,,,True,LOW_TRANSACTION;CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
