school_score,predicted_log_price,relative_price_effect_pct,lower_ci_pct,upper_ci_pct,reference_score,selected_model
0.0,-0.2121181140094653,-19.113084685476718,-26.654598666488006,-10.796137860800528,50.0,LINEAR
1.0,-0.207875751729276,-18.7692041698743,-26.19845876377676,-10.592081402807855,50.0,LINEAR
2.0,-0.20363338944908668,-18.42386168964446,-25.739482096836774,-10.387558159666538,50.0,LINEAR
3.0,-0.1993910271688974,-18.077051029429036,-25.27765102364366,-10.182567063591819,50.0,LINEAR
4.0,-0.19514866488870805,-17.728765947446036,-24.812947792456093,-9.977107044356352,50.0,LINEAR
5.0,-0.19090630260851876,-17.379000175377335,-24.345354541133542,-9.77117702928462,50.0,LINEAR
6.0,-0.18666394032832948,-17.02774741825585,-23.874853296449594,-9.564775943247326,50.0,LINEAR
7.0,-0.18242157804814016,-16.675001354352222,-23.401425973401167,-9.35790270865578,50.0,LINEAR
8.0,-0.17817921576795087,-16.320755635061065,-22.92505437451335,-9.150556245456281,50.0,LINEAR
9.0,-0.17393685348776153,-15.9650038847867,-22.445720189139955,-8.942735471124465,50.0,LINEAR
10.0,-0.16969449120757224,-15.607739700828404,-21.96340499275963,-8.734439300659682,50.0,LINEAR
11.0,-0.16545212892738292,-15.248956653265186,-21.47809024626773,-8.525666646579284,50.0,LINEAR
12.0,-0.1612097666471936,-14.888648284840048,-20.9897572952637,-8.316416418912992,50.0,LINEAR
13.0,-0.15696740436700432,-14.526808110843787,-20.498387369334015,-8.106687525197184,50.0,LINEAR
14.0,-0.15272504208681503,-14.163429618998272,-20.003961581330724,-7.896478870469201,50.0,LINEAR
15.0,-0.14848267980662572,-13.798506269339242,-19.506460926645442,-7.685789357261605,50.0,LINEAR
16.0,-0.1442403175264364,-13.432031494098604,-19.00586628247887,-7.474617885596491,50.0,LINEAR
17.0,-0.13999795524624709,-13.063998697586232,-18.50215840710575,-7.262963352979715,50.0,LINEAR
18.0,-0.1357555929660578,-12.694401256071252,-17.995317939135273,-7.050824654395142,50.0,LINEAR
19.0,-0.13151323068586848,-12.323232517662836,-17.48532539676686,-6.83820068229888,50.0,LINEAR
20.0,-0.1272708684056792,-11.950485802190478,-16.9721611770413,-6.625090326613506,50.0,LINEAR
21.0,-0.12302850612548986,-11.576154401083766,-16.455805555087327,-6.4114924747222455,50.0,LINEAR
22.0,-0.11878614384530056,-11.20023157725166,-15.936238683363351,-6.197406011463201,50.0,LINEAR
23.0,-0.11454378156511127,-10.82271056496122,-15.413440590894641,-5.982829819123496,50.0,LINEAR
24.0,-0.11030141928492196,-10.443584569715842,-14.887391182505633,-5.767762777433454,50.0,LINEAR
25.0,-0.10605905700473264,-10.062846768132982,-14.358070238047535,-5.552203763560755,50.0,LINEAR
26.0,-0.10181669472454334,-9.680490307821344,-13.825457411621137,-5.336151652104561,50.0,LINEAR
27.0,-0.09757433244435403,-9.296508307257561,-13.289532230794707,-5.119605315089646,50.0,LINEAR
28.0,-0.09333197016416474,-8.910893855662328,-12.75027409581712,-4.902563621960517,50.0,LINEAR
29.0,-0.08908960788397544,-8.52364001287604,-12.207662278826039,-4.6850254395754884,50.0,LINEAR
30.0,-0.08484724560378612,-8.134739809233874,-11.661675923051169,-4.466989632200788,50.0,LINEAR
31.0,-0.0806048833235968,-7.744186245440362,-11.112294042012593,-4.248455061504616,50.0,LINEAR
32.0,-0.07636252104340752,-7.351972292443415,-10.559495518714076,-4.029420586551213,50.0,LINEAR
33.0,-0.0721201587632182,-6.958090891307804,-10.003259104831393,-3.8098850637948822,50.0,LINEAR
34.0,-0.0678777964830289,-6.5625349530881465,-9.443563419895588,-3.589847347074044,50.0,LINEAR
35.0,-0.0636354342028396,-6.165297358701284,-8.880386950471143,-3.369306287605233,50.0,LINEAR
36.0,-0.05939307192265028,-5.766370958798186,-8.313708049329072,-3.148260733977111,50.0,LINEAR
37.0,-0.05515070964246098,-5.3657485736352655,-7.743504934614838,-2.9267095321444536,50.0,LINEAR
38.0,-0.05090834736227167,-4.963422992945157,-7.169755689011104,-2.7046515254221215,50.0,LINEAR
39.0,-0.04666598508208237,-4.559386975806954,-6.592438258895293,-2.4820855544790255,50.0,LINEAR
40.0,-0.04242362280189306,-4.1536332505158935,-6.011530453491886,-2.2590104573320717,50.0,LINEAR
41.0,-0.03818126052170376,-3.746154514452471,-5.427009944019469,-2.0354250693400977,50.0,LINEAR
42.0,-0.03393889824151445,-3.3369434339510167,-4.838854262832452,-1.811328223197786,50.0,LINEAR
43.0,-0.02969653596132514,-2.9259926441677107,-4.247040802557477,-1.5867187489295786,50.0,LINEAR
44.0,-0.025454173681135835,-2.513294748948027,-3.6515468152244304,-1.3615954738835616,50.0,LINEAR
45.0,-0.02121181140094653,-2.0988423206936195,-3.052349411392071,-1.1359572227253452,50.0,LINEAR
46.0,-0.016969449120757225,-1.6826279002286477,-2.4494255592682084,-0.9098028174319284,50.0,LINEAR
47.0,-0.012727086840567918,-1.264643996665524,-1.8427520838244111,-0.6831310772855473,50.0,LINEAR
48.0,-0.008484724560378612,-0.8448830872700992,-1.2323056659052145,-0.45594081886751214,50.0,LINEAR
49.0,-0.004242362280189306,-0.42333761732626696,-0.6180628413317829,-0.22823085605202728,50.0,LINEAR
50.0,0.0,0.0,0.0,0.0,50.0,LINEAR
51.0,0.004242362280189306,0.42513738379719723,0.2287529408471669,0.6219066150270495,50.0,LINEAR
52.0,0.008484724560378612,0.8520821855454136,0.4580291607737962,1.2476809084322427,50.0,LINEAR
