apartment_id,bootstrap_modal_cluster,assignment_stability,bootstrap_iterations
A10020721,0,1.0,100
A10020870,1,1.0,100
A10022002,1,1.0,100
A10022267,1,1.0,100
A10022280,1,1.0,100
A10022365,1,1.0,100
A10022405,1,1.0,100
A10022434,1,1.0,100
A10022568,0,0.68,100
A10022574,1,1.0,100
A10022591,1,1.0,100
A10022844,0,1.0,100
A10022847,1,1.0,100
A10022890,1,1.0,100
A10022905,1,1.0,100
A10022999,1,1.0,100
A10023021,1,1.0,100
A10023040,1,1.0,100
A10023104,0,1.0,100
A10023208,1,1.0,100
A10023409,1,1.0,100
A10023417,0,1.0,100
A10023420,1,1.0,100
A10023436,0,1.0,100
A10023440,0,1.0,100
A10023526,1,1.0,100
A10023533,0,1.0,100
A10023542,1,1.0,100
A10023544,0,1.0,100
A10023571,0,1.0,100
A10023607,1,1.0,100
A10023616,1,1.0,100
A10023625,1,1.0,100
A10023627,1,1.0,100
A10023647,0,1.0,100
A10023684,0,1.0,100
A10023692,0,1.0,100
A10023704,0,1.0,100
A10023725,0,1.0,100
A10023750,1,1.0,100
A10023781,1,1.0,100
A10023790,1,1.0,100
A10023837,0,1.0,100
A10023872,1,1.0,100
A10023912,0,1.0,100
A10023928,0,1.0,100
A10023963,0,1.0,100
A10023969,0,1.0,100
A10023975,1,1.0,100
A10024005,1,1.0,100
A10024201,1,1.0,100
A10024226,1,1.0,100
A10024249,0,1.0,100
A10024303,0,1.0,100
A10024318,0,1.0,100
A10024328,0,1.0,100
A10024341,1,1.0,100
A10024383,0,1.0,100
A10024476,0,1.0,100
A10024535,0,1.0,100
A10024591,1,1.0,100
A10024602,1,1.0,100
A10024606,0,1.0,100
A10024627,1,1.0,100
A10024664,0,1.0,100
A10024695,1,1.0,100
A10024697,0,1.0,100
A10024704,0,1.0,100
A10024875,0,1.0,100
A10024909,0,1.0,100
A10024919,0,1.0,100
A10024933,0,1.0,100
A10024953,1,1.0,100
A10024982,1,1.0,100
A10024998,1,1.0,100
A10025042,0,1.0,100
A10025075,1,1.0,100
A10025135,0,1.0,100
A10025154,0,0.8,100
A10025181,1,1.0,100
A10025214,1,1.0,100
A10025235,0,1.0,100
A10025342,1,1.0,100
A10025359,0,1.0,100
A10025380,0,1.0,100
A10025433,1,1.0,100
A10025434,0,1.0,100
A10025463,1,1.0,100
A10025508,1,1.0,100
A10025540,1,1.0,100
A10025559,1,1.0,100
A10025593,1,1.0,100
A10025662,0,1.0,100
A10025687,1,1.0,100
A10025776,0,1.0,100
A10025950,1,1.0,100
A10025994,1,1.0,100
A10026034,1,1.0,100
A10026094,1,1.0,100
A10026157,0,1.0,100
A10026184,1,1.0,100
A10026316,1,1.0,100
A10026360,0,1.0,100
A10026363,0,1.0,100
A10026391,1,1.0,100
A10026445,0,1.0,100
A10026452,1,1.0,100
A10026484,1,1.0,100
A10026557,1,1.0,100
A10026651,0,1.0,100
A10026746,0,1.0,100
A10026760,1,1.0,100
A10026780,1,1.0,100
A10026861,0,1.0,100
A10026865,0,1.0,100
A10026902,0,1.0,100
A10026975,0,1.0,100
A10027026,2,1.0,100
A10027052,0,1.0,100
A10027054,1,1.0,100
A10027085,1,1.0,100
A10027139,0,1.0,100
A10027159,0,0.82,100
A10027236,0,1.0,100
A10027280,0,1.0,100
A10027282,0,1.0,100
A10027306,0,1.0,100
A10027325,1,1.0,100
A10027341,1,1.0,100
A10027503,2,1.0,100
A10027581,0,1.0,100
A10027621,0,1.0,100
A10027656,0,1.0,100
A10027690,1,1.0,100
A10027698,0,1.0,100
A10027790,1,1.0,100
A10027832,0,1.0,100
A10027918,0,1.0,100
A10027937,1,1.0,100
A10027953,0,1.0,100
A10027972,0,1.0,100
A10027989,0,1.0,100
A10028028,0,1.0,100
A10028037,0,1.0,100
A10028069,2,1.0,100
A10028117,0,1.0,100
A10028138,0,1.0,100
A10028142,2,1.0,100
A10028145,1,1.0,100
A10028147,0,1.0,100
A10028182,0,1.0,100
A60106001,0,1.0,100
A60106002,0,1.0,100
A60270501,2,1.0,100
A60275104,2,1.0,100
A60402003,0,1.0,100
A60403002,2,1.0,100
A60405001,0,1.0,100
A60405002,0,1.0,100
A60471810,1,1.0,100
A60472901,0,1.0,100
A60474002,2,1.0,100
A60474307,2,1.0,100
A60474516,2,1.0,100
A60474905,2,1.0,100
A60475305,2,1.0,100
A60475408,2,1.0,100
A60475412,2,1.0,100
A60475507,2,0.98,100
A60475509,2,1.0,100
A60475612,2,1.0,100
A60475710,0,1.0,100
A60475903,2,1.0,100
A60476101,2,1.0,100
A60476206,2,1.0,100
A60476511,2,1.0,100
A60476604,2,1.0,100
A60476805,2,1.0,100
A60477315,2,1.0,100
A60480608,2,1.0,100
A60481703,2,1.0,100
A60482013,2,1.0,100
A60482708,0,1.0,100
A60483404,2,1.0,100
A60484514,2,1.0,100
A60607003,2,1.0,100
A60607004,0,1.0,100
A60608002,2,1.0,100
A60608303,2,1.0,100
A60675110,2,1.0,100
A60675801,2,1.0,100
A60680909,0,1.0,100
A60680912,2,1.0,100
A60681702,0,1.0,100
A60701003,1,1.0,100
A60701004,1,1.0,100
A60702002,0,1.0,100
A60710004,0,1.0,100
A60712001,0,1.0,100
A60712204,2,1.0,100
A60775306,1,1.0,100
A60775407,0,1.0,100
A60775605,0,1.0,100
A60776006,2,0.97,100
A60776402,1,1.0,100
A60777205,0,1.0,100
A60777604,0,1.0,100
A60778502,1,1.0,100
A60778608,1,1.0,100
A60780104,0,1.0,100
A60780108,0,1.0,100
A60782005,0,1.0,100
A60782701,2,1.0,100
A60783306,0,1.0,100
A60784207,1,1.0,100
A60802001,1,1.0,100
A60804003,0,1.0,100
A60809002,1,1.0,100
A60809003,0,1.0,100
A60809004,0,1.0,100
A60871104,0,1.0,100
A60872101,2,1.0,100
A60874408,0,0.52,100
A60875305,2,1.0,100
A60875509,2,1.0,100
A60876301,0,1.0,100
A60876402,0,1.0,100
A60877107,2,1.0,100
A60877710,2,1.0,100
A60877907,2,0.94,100
A60879704,0,1.0,100
A60880104,2,1.0,100
A60883003,0,1.0,100
A60883203,0,1.0,100
A60931004,0,1.0,100
A60931207,0,1.0,100
A60932003,0,1.0,100
A60939002,0,1.0,100
A60939003,0,1.0,100
A60939004,0,1.0,100
A60939005,0,1.0,100
A60970301,0,1.0,100
A60971101,0,1.0,100
A60975204,2,1.0,100
A60975303,0,1.0,100
A60975404,2,1.0,100
A60975502,0,1.0,100
A60976105,2,1.0,100
A60976502,2,1.0,100
A60976902,2,1.0,100
A60980506,2,1.0,100
A60982103,2,0.83,100
A61175110,2,1.0,100
A61175209,0,1.0,100
A61175804,0,1.0,100
A61175901,1,1.0,100
A61176308,0,1.0,100
A61176411,0,1.0,100
A61176513,1,1.0,100
A61176612,1,1.0,100
A61176709,1,1.0,100
A61176911,0,1.0,100
A61177214,0,1.0,100
A61180503,0,1.0,100
A61201007,1,1.0,100
A61202004,0,1.0,100
A61202007,1,1.0,100
A61202008,0,1.0,100
A61202009,1,1.0,100
A61202011,1,1.0,100
A61203012,1,1.0,100
A61203013,1,1.0,100
A61203014,1,1.0,100
A61203015,0,1.0,100
A61203016,1,1.0,100
A61203017,1,1.0,100
A61203018,1,1.0,100
A61203019,1,1.0,100
A61203020,1,1.0,100
A61203021,0,1.0,100
A61203022,1,1.0,100
A61203023,0,1.0,100
A61203024,1,1.0,100
A61203025,1,1.0,100
A61203026,1,1.0,100
A61203027,1,1.0,100
A61203028,1,1.0,100
A61203029,1,1.0,100
A61203031,0,1.0,100
A61203032,1,1.0,100
A61203033,0,1.0,100
A61203034,1,1.0,100
A61203035,0,1.0,100
A61203036,1,1.0,100
A61203037,1,1.0,100
A61203038,0,1.0,100
A61203039,1,1.0,100
A61205002,0,1.0,100
A61205003,1,1.0,100
A61206110,0,1.0,100
A61206113,0,1.0,100
A61206114,0,1.0,100
A61206118,0,1.0,100
A61270515,0,1.0,100
A61271101,1,1.0,100
A61271204,1,1.0,100
A61271302,1,1.0,100
A61271919,0,1.0,100
A61273306,2,1.0,100
A61273507,2,1.0,100
A61274011,1,1.0,100
A61274013,0,1.0,100
A61274114,1,1.0,100
A61274213,1,1.0,100
A61274508,1,1.0,100
A61274707,1,1.0,100
A61274815,2,1.0,100
A61275302,1,1.0,100
A61278214,2,1.0,100
A61278912,1,1.0,100
A61279802,2,1.0,100
A61279804,0,1.0,100
A61280805,2,1.0,100
A61281117,0,1.0,100
A61281512,1,1.0,100
A61282215,1,1.0,100
A61282705,1,0.79,100
A61283211,2,1.0,100
A61283410,2,1.0,100
A61286403,1,1.0,100
A61286810,0,1.0,100
A61288603,1,1.0,100
A61301003,1,1.0,100
A61310007,1,1.0,100
A61313001,2,1.0,100
A61313002,1,1.0,100
A61313203,1,1.0,100
A61375202,0,1.0,100
A61375603,0,1.0,100
A61375702,1,1.0,100
A61377105,0,1.0,100
A61377106,1,1.0,100
A61377204,0,1.0,100
A61381805,1,1.0,100
A61381903,1,1.0,100
A61383101,1,1.0,100
A61402003,2,1.0,100
A61403001,0,1.0,100
A61404006,0,1.0,100
A61404007,1,1.0,100
A61404203,2,1.0,100
A61409002,0,1.0,100
A61409003,0,1.0,100
A61409004,0,1.0,100
A61409005,0,1.0,100
A61409302,0,1.0,100
A61410304,2,1.0,100
A61473002,2,1.0,100
A61475202,0,1.0,100
A61475403,0,1.0,100
A61475512,2,1.0,100
A61475903,0,1.0,100
A61476002,1,1.0,100
A61476403,2,1.0,100
A61477009,2,1.0,100
A61477105,0,1.0,100
A61477302,2,1.0,100
A61477403,2,1.0,100
A61477806,2,1.0,100
A61478807,0,1.0,100
A61478901,0,1.0,100
A61479104,0,1.0,100
A61479403,0,1.0,100
A61479502,0,1.0,100
A61479605,0,1.0,100
A61479902,0,1.0,100
A61480908,2,1.0,100
A61481111,0,1.0,100
A61482207,2,1.0,100
A61482302,2,1.0,100
A61482303,2,1.0,100
A61483202,0,1.0,100
A61484004,2,1.0,100
A61484005,0,1.0,100
A61485906,0,1.0,100
A61486005,0,1.0,100
A61486008,0,1.0,100
A61486301,0,1.0,100
A61609002,0,1.0,100
A61609206,2,1.0,100
A61610003,2,1.0,100
A61612010,0,1.0,100
A61612011,0,1.0,100
A61612013,1,1.0,100
A61612016,0,1.0,100
A61612017,1,1.0,100
A61612018,1,1.0,100
A61612019,0,1.0,100
A61670501,0,1.0,100
A61673103,0,1.0,100
A61673302,0,1.0,100
A61673304,0,1.0,100
A61673305,2,1.0,100
A61673308,0,1.0,100
A61673902,0,1.0,100
A61674912,0,1.0,100
A61675601,2,1.0,100
A61675806,2,1.0,100
A61676006,2,1.0,100
A61676316,2,1.0,100
A61676509,2,1.0,100
A61676605,2,1.0,100
A61676814,2,1.0,100
A61677013,0,1.0,100
A61677608,2,1.0,100
A61678209,2,1.0,100
A61678706,2,1.0,100
A61678804,2,1.0,100
A61679206,0,1.0,100
A61679207,2,1.0,100
A61679208,0,1.0,100
A61680705,0,1.0,100
A61680707,2,1.0,100
A61681107,2,1.0,100
A61681108,2,1.0,100
A61682303,2,1.0,100
A61682607,2,1.0,100
A61682907,2,1.0,100
A61682908,2,1.0,100
A61683305,2,1.0,100
A61684110,0,1.0,100
A61685214,1,1.0,100
A61701002,0,0.96,100
A61775202,2,1.0,100
A61775401,2,1.0,100
A61775706,2,1.0,100
A61776003,0,1.0,100
A61776104,2,1.0,100
A61776303,2,1.0,100
A61776508,2,1.0,100
A61776509,0,1.0,100
A61776710,2,1.0,100
A61776811,2,1.0,100
A61776907,2,1.0,100
A61777010,2,1.0,100
A61777105,2,1.0,100
A61777312,2,1.0,100
A61777409,2,1.0,100
A61777411,0,1.0,100
A61777711,2,1.0,100
A61777806,2,1.0,100
A61777903,0,1.0,100
A61778507,2,1.0,100
A61778608,2,1.0,100
A61780802,0,1.0,100
A61781005,2,1.0,100
A61781805,2,0.8,100
A61781807,2,1.0,100
A61781808,2,1.0,100
A61783202,2,1.0,100
A61783203,2,1.0,100
A61783402,2,1.0,100
A61784208,2,1.0,100
A61784213,2,1.0,100
A61820001,0,1.0,100
A61823002,2,1.0,100
A61829001,2,1.0,100
A61870404,0,1.0,100
A61870405,0,1.0,100
A61870406,0,1.0,100
A61870410,0,1.0,100
A61870411,0,1.0,100
A61872202,0,1.0,100
A61881402,0,1.0,100
A61970112,2,1.0,100
