k,silhouette,calinski_harabasz,davies_bouldin,minimum_cluster_size,maximum_cluster_size,cluster_size_rule_pass,mean_intra_distance_km,fragmented_cluster_count,selected
3,0.19679575430185206,179.26422253621143,1.590346811452483,133,220,True,10.741930004917428,3,True
4,0.16161215367614926,144.39629694366326,1.6773643265231049,100,159,True,10.822048454695336,4,False
5,0.18042577163729404,124.26919181696032,1.659595665916432,47,165,True,10.75214722391973,5,False
6,0.1534782576040741,113.40927783945673,1.6675542358698616,45,133,True,10.705248220854157,6,False
7,0.14547628508709956,104.8363462779662,1.6893922122711373,45,113,True,10.668016517871502,6,False
8,0.1451163702523342,97.65684530701266,1.6484327389338054,42,79,True,10.699603158013606,7,False
9,0.1426247469994264,92.00033070266974,1.654957879029997,34,87,True,10.548039629424894,8,False
10,0.14044084244213806,86.07455653121926,1.6472646470558014,25,68,True,10.495065965346159,9,False
11,0.14897490094208174,81.76211643171425,1.6435532155868173,24,78,True,10.406336529900479,9,False
12,0.13936144762901895,78.38157701953075,1.5334373342206933,7,68,False,10.254462547242007,9,False
13,0.13738218476144856,75.04166538842533,1.6172426498837804,7,65,False,10.42638569145505,10,False
14,0.13563571569658703,72.28434999645216,1.6138460134594115,7,60,False,10.312173917604845,10,False
15,0.13530432867574807,69.9612858773076,1.6250897257850943,7,57,False,10.436203992727677,11,False
