gu,legal_dong,apartment_count,market_id,apartments_in_market,share,relationship_type
강서구,명지동,22,ALG00,220,1.0,MULTI_DONG_MARKET
강서구,신호동,1,ALG00,220,0.5,MIXED
강서구,신호동,1,ALG02,133,0.5,MIXED
강서구,지사동,3,ALG02,133,1.0,MULTI_DONG_MARKET
강서구,화전동,1,ALG00,220,1.0,MULTI_DONG_MARKET
금정구,구서동,3,ALG00,220,0.42857142857142855,MIXED
금정구,구서동,1,ALG01,141,0.14285714285714285,MIXED
금정구,구서동,3,ALG02,133,0.42857142857142855,MIXED
금정구,부곡동,4,ALG00,220,0.5,MIXED
금정구,부곡동,1,ALG01,141,0.125,MIXED
금정구,부곡동,3,ALG02,133,0.375,MIXED
금정구,장전동,4,ALG00,220,0.8,MIXED
금정구,장전동,1,ALG01,141,0.2,MIXED
금정구,청룡동,1,ALG02,133,1.0,MULTI_DONG_MARKET
기장군,기장읍교리,1,ALG00,220,1.0,MULTI_DONG_MARKET
기장군,기장읍내리,1,ALG00,220,1.0,MULTI_DONG_MARKET
기장군,기장읍동부리,1,ALG02,133,1.0,MULTI_DONG_MARKET
기장군,기장읍서부리,1,ALG02,133,1.0,MULTI_DONG_MARKET
기장군,기장읍청강리,1,ALG00,220,0.25,MIXED
기장군,기장읍청강리,3,ALG02,133,0.75,MIXED
기장군,일광읍삼성리,6,ALG00,220,1.0,MULTI_DONG_MARKET
기장군,일광읍이천리,1,ALG00,220,1.0,MULTI_DONG_MARKET
기장군,정관읍달산리,2,ALG00,220,1.0,MULTI_DONG_MARKET
기장군,정관읍매학리,1,ALG00,220,1.0,MULTI_DONG_MARKET
기장군,정관읍모전리,6,ALG00,220,1.0,MULTI_DONG_MARKET
기장군,정관읍방곡리,1,ALG02,133,1.0,MULTI_DONG_MARKET
기장군,정관읍용수리,5,ALG00,220,0.8333333333333334,MIXED
기장군,정관읍용수리,1,ALG02,133,0.16666666666666666,MIXED
남구,감만동,2,ALG02,133,1.0,MULTI_DONG_MARKET
남구,대연동,9,ALG01,141,0.75,MIXED
남구,대연동,3,ALG02,133,0.25,MIXED
남구,문현동,4,ALG00,220,0.5714285714285714,MIXED
남구,문현동,2,ALG01,141,0.2857142857142857,MIXED
남구,문현동,1,ALG02,133,0.14285714285714285,MIXED
남구,용당동,2,ALG00,220,1.0,MULTI_DONG_MARKET
남구,용호동,7,ALG00,220,0.7777777777777778,MIXED
남구,용호동,2,ALG01,141,0.2222222222222222,MIXED
남구,우암동,1,ALG02,133,1.0,MULTI_DONG_MARKET
동구,범일동,3,ALG00,220,0.75,MIXED
동구,범일동,1,ALG01,141,0.25,MIXED
동구,수정동,1,ALG00,220,1.0,MULTI_DONG_MARKET
동구,좌천동,1,ALG00,220,1.0,MULTI_DONG_MARKET
동구,초량동,1,ALG00,220,0.5,MIXED
동구,초량동,1,ALG01,141,0.5,MIXED
동래구,낙민동,5,ALG00,220,0.8333333333333334,MIXED
동래구,낙민동,1,ALG02,133,0.16666666666666666,MIXED
동래구,명륜동,5,ALG01,141,1.0,MULTI_DONG_MARKET
동래구,명장동,1,ALG00,220,0.5,MIXED
동래구,명장동,1,ALG01,141,0.5,MIXED
동래구,복천동,1,ALG00,220,1.0,MULTI_DONG_MARKET
동래구,사직동,2,ALG00,220,0.2222222222222222,MIXED
동래구,사직동,6,ALG01,141,0.6666666666666666,MIXED
동래구,사직동,1,ALG02,133,0.1111111111111111,MIXED
동래구,안락동,4,ALG00,220,0.6666666666666666,MIXED
동래구,안락동,1,ALG01,141,0.16666666666666666,MIXED
동래구,안락동,1,ALG02,133,0.16666666666666666,MIXED
동래구,온천동,2,ALG00,220,0.2222222222222222,MIXED
동래구,온천동,7,ALG01,141,0.7777777777777778,MIXED
부산진구,가야동,1,ALG00,220,0.3333333333333333,MIXED
부산진구,가야동,1,ALG01,141,0.3333333333333333,MIXED
부산진구,가야동,1,ALG02,133,0.3333333333333333,MIXED
부산진구,개금동,3,ALG00,220,0.375,MIXED
부산진구,개금동,1,ALG01,141,0.125,MIXED
부산진구,개금동,4,ALG02,133,0.5,MIXED
부산진구,당감동,4,ALG00,220,0.4,MIXED
부산진구,당감동,1,ALG01,141,0.1,MIXED
부산진구,당감동,5,ALG02,133,0.5,MIXED
부산진구,범전동,1,ALG01,141,1.0,MULTI_DONG_MARKET
부산진구,범천동,2,ALG00,220,0.4,MIXED
부산진구,범천동,2,ALG01,141,0.4,MIXED
부산진구,범천동,1,ALG02,133,0.2,MIXED
부산진구,부암동,11,ALG00,220,0.9166666666666666,MIXED
부산진구,부암동,1,ALG02,133,0.08333333333333333,MIXED
부산진구,부전동,1,ALG00,220,0.5,MIXED
부산진구,부전동,1,ALG02,133,0.5,MIXED
부산진구,양정동,3,ALG00,220,0.6,MIXED
부산진구,양정동,2,ALG01,141,0.4,MIXED
부산진구,연지동,5,ALG00,220,0.8333333333333334,MIXED
부산진구,연지동,1,ALG01,141,0.16666666666666666,MIXED
부산진구,전포동,2,ALG00,220,0.2857142857142857,MIXED
부산진구,전포동,3,ALG01,141,0.42857142857142855,MIXED
부산진구,전포동,2,ALG02,133,0.2857142857142857,MIXED
부산진구,초읍동,2,ALG01,141,1.0,MULTI_DONG_MARKET
북구,구포동,2,ALG00,220,0.4,MIXED
북구,구포동,1,ALG01,141,0.2,MIXED
북구,구포동,2,ALG02,133,0.4,MIXED
북구,금곡동,6,ALG00,220,0.46153846153846156,MIXED
북구,금곡동,7,ALG02,133,0.5384615384615384,MIXED
북구,덕천동,2,ALG00,220,0.3333333333333333,MIXED
북구,덕천동,1,ALG01,141,0.16666666666666666,MIXED
북구,덕천동,3,ALG02,133,0.5,MIXED
북구,만덕동,5,ALG00,220,0.38461538461538464,MIXED
북구,만덕동,8,ALG02,133,0.6153846153846154,MIXED
북구,화명동,9,ALG00,220,0.5,MIXED
북구,화명동,6,ALG01,141,0.3333333333333333,MIXED
북구,화명동,3,ALG02,133,0.16666666666666666,MIXED
사상구,괘법동,3,ALG00,220,1.0,MULTI_DONG_MARKET
사상구,덕포동,2,ALG00,220,0.6666666666666666,MIXED
사상구,덕포동,1,ALG02,133,0.3333333333333333,MIXED
사상구,모라동,6,ALG02,133,1.0,MULTI_DONG_MARKET
사상구,엄궁동,1,ALG00,220,0.2,MIXED
사상구,엄궁동,4,ALG02,133,0.8,MIXED
사상구,주례동,3,ALG00,220,0.3333333333333333,MIXED
사상구,주례동,6,ALG02,133,0.6666666666666666,MIXED
사상구,학장동,1,ALG00,220,0.1,MIXED
사상구,학장동,9,ALG02,133,0.9,MIXED
사하구,감천동,1,ALG02,133,1.0,MULTI_DONG_MARKET
사하구,괴정동,3,ALG00,220,1.0,MULTI_DONG_MARKET
사하구,구평동,2,ALG00,220,0.6666666666666666,MIXED
사하구,구평동,1,ALG02,133,0.3333333333333333,MIXED
사하구,다대동,5,ALG00,220,0.3333333333333333,MIXED
사하구,다대동,10,ALG02,133,0.6666666666666666,MIXED
사하구,당리동,1,ALG01,141,1.0,MULTI_DONG_MARKET
사하구,신평동,2,ALG00,220,0.3333333333333333,MIXED
사하구,신평동,4,ALG02,133,0.6666666666666666,MIXED
사하구,장림동,1,ALG01,141,0.2,MIXED
사하구,장림동,4,ALG02,133,0.8,MIXED
사하구,하단동,1,ALG00,220,0.25,MIXED
사하구,하단동,3,ALG02,133,0.75,MIXED
서구,동대신동1가,1,ALG00,220,1.0,MULTI_DONG_MARKET
서구,동대신동3가,1,ALG00,220,1.0,MULTI_DONG_MARKET
