apartment,legal_dong,local_market,issue_type,issue_detail,recommended_action
드파인 광안,광안동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
롯데캐슬인피니엘,문현동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산에코델타시티 디에트르 더 퍼스트아파트,강동동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
가야역롯데캐슬스카이엘,가야동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
에코델타 더 베르힐 아파트,강동동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
두산위브더제니스 오션시티 ,우암동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
일광동원로얄듀크,일광읍,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
에코델타시티 푸르지오린,강동동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
시청앞 행복주택1단지,연산동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
에코델타시티 푸르지오 센터파크,강동동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
강서자이에코델타,강동동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
e편한세상 에코델타 센터포인트,강동동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
양정자이더샵SKVIEW아파트(2단지),양정동,LM045,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
오션라이프에일린의뜰1단지,동삼동,LM082,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
두산위브더제니스센트럴사하,장림동,LM066,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
e편한세상송도더퍼스트비치,암남동,LM074,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
에코델타스마트시티수자인,강동동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
해운대경동리인뷰2차,우동,LM089,LOW_ASSIGNMENT_STABILITY,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
초읍하늘채포레스원,초읍동,LM048,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
에코델타호반써밋스마트시티,강동동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
포레나부산덕천2차,덕천동,LM051,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
경동포레스트힐 행복주택 아미,아미동2가,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
시청앞 행복주택2단지,연산동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
양정포레힐즈스위첸1단지,양정동,LM045,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
사상중흥에스-클래스그랜드센트럴,덕포동,LM055,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
두산위브더제니스하버시티,범일동,LM027,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
금호센트럴베이 행복주택 일광,일광읍,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
이진젠시티개금,개금동,LM039,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
남천자이,남천동,LM076,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
힐스테이트사하역,괴정동,LM061,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
오션파라곤아파트,문현동,LM023,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
센트럴스타힐스,괘법동,LM054,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
주례롯데캐슬골드스마트,주례동,LM058,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
더샵남천프레스티지,남천동,LM076,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
래미안어반파크2단지,연지동,LM046,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
e편한세상시민공원2단지,전포동,LM047,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
가야롯데캐슬골드아너,가야동,LM038,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
포레나부산덕천1차,덕천동,LM051,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
웨이브리즈,기장읍청강리,LM013,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
대신해모로센트럴아파트,서대신동2가,LM072,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
e편한세상서면더센트럴,범천동,LM042,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
이지더원2차포레온아파트,일광읍,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
힐스테이트명륜트라디움,명륜동,LM032,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
힐스테이트이진베이시티아파트,암남동,LM074,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산오션시티푸르지오,동삼동,LM082,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
대연양우내안애퍼스트,문현동,LM023,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
일광한신더휴센트럴포레2단지,일광읍삼성리,LM014,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
사하코오롱하늘채,신평동,LM065,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산항일동미라주더오션(1지구),좌천동,LM029,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
괴정한신더휴,괴정동,LM061,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산사하중흥S-클래스,구평동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
리버파크반도유보라,구포동,LM049,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
삼한골든뷰에듀스테이션,부곡동,LM006,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
영도센트럴에일린의뜰,봉래동4가,LM084,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
동대신역비스타동원아파트,동대신동1가,LM068,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
사하역비스타동원,괴정동,LM061,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
일광신도시비스타동원2차,일광읍이천리,LM015,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
대신푸르지오2차,서대신동2가,LM072,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
롯데캐슬스타,중동,LM092,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
서면아이파크1단지,전포동,LM047,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
일광대성베르힐,일광읍삼성리,LM014,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
광안자이,광안동,LM075,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
문현경동리인아파트,문현동,LM023,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
브라운스톤하이포레,동대신동3가,LM069,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
일광자이푸르지오2단지,일광읍삼성리,LM014,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
일광신도시비스타동원1차,일광읍삼성리,LM014,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
이지더원1차오션포레,일광읍삼성리,LM014,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
포레나부산초읍,초읍동,LM048,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
범양레우스센트럴베이,초량동,LM030,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
e편한세상일광,일광읍삼성리,LM014,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
e편한세상오션테라스3단지,민락동,LM078,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
명지화전우방아이유쉘,화전동,LM004,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
엘시티,중동,LM092,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
아시아드코오롱하늘채,거제동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
e편한세상동래명장1단지,명장동,LM033,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
e편한세상부산항,초량동,LM030,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
협성휴포레부산진역오션뷰,수정동,LM028,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
수영SKVIEW1단지,망미동,LM077,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
베스티움,문현동,LM023,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
