local_market_id,local_market_name,apartment_count,transaction_count_12m,transaction_count_24m,median_price_per_m2,price_iqr,median_age,median_households,median_turnover,median_school_core_score,main_gu,legal_dong_list,dominant_dong,spatial_coherence,time_stability,bootstrap_stability,market_confidence,representative_apartments
LM001,강서구|명지동,22,1081,2057,5077954.837155041,1750287.5028096992,10.0,1006.5,0.0508114667071136,53.05883002207506,강서구,명지동,명지동,1.4623276217938046,1.0,1.0,HIGH,명지대방노블랜드오션뷰1차;명지국제신도시호반베르디움2차;부산명지중흥S-클래스에듀오션;명지더웨스턴;에일린의 뜰
LM002,강서구|신호동,2,34,58,2532687.087878276,94766.50510502886,16.0,1029.5,0.023795616676043758,25.37323399558499,강서구,신호동,신호동,0.4297573858860857,1.0,1.0,LOW,부산신호사랑으로부영2차;부산신호윌더하임
LM003,강서구|지사동,3,179,322,2269208.1798280743,178289.9275600519,11.0,1111.0,0.05490549054905491,24.00115894039736,강서구,지사동,지사동,0.24993310301636704,1.0,1.0,LOW,협성·DS엘리시안;지사금강펜테리움;지사과학삼정그린코아
LM004,강서구|화전동,1,8,16,2956227.786536971,0.0,6.0,1515.0,0.005280528052805281,10.338024282560706,강서구,화전동,화전동,0.0,0.0,0.8,LOW,명지화전우방아이유쉘
LM005,금정구|구서동,7,250,471,5648387.85596611,2298312.0068300096,20.0,809.0,0.02843016069221261,68.62759381898455,금정구,구서동,구서동,0.905860159315301,1.0,1.0,MEDIUM,구서동롯데캐슬골드1단지(1051);구서SKVIEW1단지;선경3;구서동롯데캐슬골드2단지(1049);구서동쌍용예가2단지
LM006,금정구|부곡동,8,282,505,4590194.836348053,1603518.295176941,29.0,937.5,0.03161839939499088,57.95491169977925,금정구,부곡동,부곡동,0.9995094253624808,1.0,1.0,MEDIUM,에스케이아파트;경남한신;우신뉴타운;대우;부곡동푸르지오
LM007,금정구|장전동,5,363,632,6337978.437926652,639341.864049131,13.0,1306.0,0.057829759584145546,60.48051876379692,금정구,장전동,장전동,1.080022732663593,1.0,1.0,MEDIUM,벽산블루밍장전디자인시티2단지;장전동금정산SKVIEW;금정산2차쌍용예가;금정산쌍용예가;래미안장전
LM008,금정구|청룡동,1,14,26,2570314.3464901913,0.0,28.0,612.0,0.02287581699346405,50.54679911699779,금정구,청룡동,청룡동,0.0,1.0,1.0,LOW,경동
LM009,기장군|기장읍교리,1,30,39,4084301.5353460377,0.0,15.0,620.0,0.04838709677419355,50.171467991169976,기장군,기장읍교리,기장읍교리,0.0,1.0,1.0,LOW,이진캐스빌블루1차
LM010,기장군|기장읍내리,1,16,30,5165392.575718891,0.0,9.0,549.0,0.029143897996357013,28.77825607064017,기장군,기장읍내리,기장읍내리,0.0,1.0,1.0,LOW,동부산관광단지삼정그린코아더베스트
LM011,기장군|기장읍동부리,1,37,70,2588692.122139201,0.0,31.0,1131.0,0.032714412024756855,64.57853200883002,기장군,기장읍동부리,기장읍동부리,0.0,1.0,1.0,LOW,한신
LM012,기장군|기장읍서부리,1,19,43,3471295.060080107,0.0,25.0,702.0,0.027065527065527065,64.57853200883002,기장군,기장읍서부리,기장읍서부리,0.0,1.0,1.0,LOW,서부주공
LM013,기장군|기장읍청강리,4,88,151,2929982.201367528,609782.866387371,28.0,626.0,0.028049331035048836,65.05954746136865,기장군,기장읍청강리,기장읍청강리,0.8791447274984096,1.0,1.0,LOW,현대;웨이브리즈;우신네오빌;청강주공
LM014,기장군|일광읍삼성리,6,308,514,5809416.445579609,777405.71895005,6.0,807.0,0.06659379087476544,70.97770419426048,기장군,일광읍삼성리,일광읍삼성리,0.606154009813902,1.0,1.0,MEDIUM,일광자이푸르지오2단지;e편한세상일광;일광대성베르힐;이지더원1차오션포레;일광한신더휴센트럴포레2단지
LM015,기장군|일광읍이천리,1,33,58,6429572.193539719,0.0,5.0,917.0,0.03598691384950927,70.97770419426048,기장군,일광읍이천리,일광읍이천리,0.0,1.0,1.0,LOW,일광신도시비스타동원2차
LM016,기장군|정관읍달산리,2,58,113,3393271.598624361,125800.0437563723,14.5,808.0,0.03403345774107308,44.07157836644592,기장군,정관읍달산리,정관읍달산리,0.6256680663994,1.0,1.0,LOW,정관1차동원로얄듀크;정관센트럴파크
LM017,기장군|정관읍매학리,1,61,103,4235328.996827032,0.0,13.0,1249.0,0.0488390712570056,72.22753863134659,기장군,정관읍매학리,정관읍매학리,0.0,1.0,1.0,LOW,정관2차동원로얄듀크
LM018,기장군|정관읍모전리,6,236,447,3263252.310847844,151194.86159599246,13.0,944.5,0.03313208927918039,62.49368101545254,기장군,정관읍모전리,정관읍모전리,0.6966038691613738,1.0,1.0,MEDIUM,이지더원;정관동일스위트2차;동일스위트3차;정관롯데캐슬2차;이지더원2차
LM019,기장군|정관읍방곡리,1,21,49,2885415.6416213703,0.0,11.0,560.0,0.0375,58.230187637969095,기장군,정관읍방곡리,정관읍방곡리,0.0,1.0,1.0,LOW,가화만사성정관타운
LM020,기장군|정관읍용수리,6,224,423,3397410.376425016,338108.45605868613,15.0,762.0,0.03893634827646102,65.0599889624724,기장군,정관읍용수리,정관읍용수리,0.6268334726408052,1.0,1.0,MEDIUM,정관신도시롯데캐슬;이진캐스빌;정관신도시한진해모로;정관신동아파밀리에;정관동일스위트1차
