apartment_id,apartment_name,legal_dong,issue_type,model_confidence,recommended_action
A10020002,드파인 광안,광안동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020002,드파인 광안,광안동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020004,롯데캐슬인피니엘,문현동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,강동동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,강동동,SCHOOL_DATA_LOW_CONFIDENCE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,강동동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020213,가야역롯데캐슬스카이엘,가야동,INSUFFICIENT_RECENT_TRANSACTIONS,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A10020213,가야역롯데캐슬스카이엘,가야동,SYSTEMATIC_RESIDUAL,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A10020264,에코델타 더 베르힐 아파트,강동동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020264,에코델타 더 베르힐 아파트,강동동,SCHOOL_DATA_LOW_CONFIDENCE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020264,에코델타 더 베르힐 아파트,강동동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020289,두산위브더제니스 오션시티 ,우암동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020289,두산위브더제니스 오션시티 ,우암동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020313,일광동원로얄듀크,일광읍,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020313,일광동원로얄듀크,일광읍,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020378,에코델타시티 푸르지오린,강동동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020378,에코델타시티 푸르지오린,강동동,SCHOOL_DATA_LOW_CONFIDENCE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020378,에코델타시티 푸르지오린,강동동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020498,시청앞 행복주택1단지,연산동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020498,시청앞 행복주택1단지,연산동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020569,에코델타시티 푸르지오 센터파크,강동동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020569,에코델타시티 푸르지오 센터파크,강동동,SCHOOL_DATA_LOW_CONFIDENCE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020569,에코델타시티 푸르지오 센터파크,강동동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020645,강서자이에코델타,강동동,INSUFFICIENT_RECENT_TRANSACTIONS,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A10020645,강서자이에코델타,강동동,SCHOOL_DATA_LOW_CONFIDENCE,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A10020649,e편한세상 에코델타 센터포인트,강동동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10020649,e편한세상 에코델타 센터포인트,강동동,SCHOOL_DATA_LOW_CONFIDENCE,LOW,Phase 15.3 confidence filter 또는 별도 검토
